Impact Detail for  Output ,,,,,
Sector,Description,Direct,Indirect,Induced,Total
0,Total,-123897.91,-28115.056840249421,-17176.000067804347,-169188.96690805382
1,"11 Ag, Forestry, Fish & Hunting",0,-6.1292579960376932,-38.640450518329644,-44.769708514367338
20,21 Mining,0,-204.21080437268151,-73.09601927165734,-277.30682364433886
41,22 Utilities,0,-421.2664397534673,-196.14463316814076,-617.41107292160802
52,23 Construction,0,-333.86464034182399,-117.97125732983213,-451.83589767165608
65,31-33 Manufacturing,0,-97.59447139402981,-17.734833709476284,-115.32930510350606
395,42 Wholesale Trade,-123897.91,-1685.2468763482611,-479.69275313499526,-126062.84962948326
396,44-45 Retail trade,0,-250.77551831512179,-2079.5149192411245,-2330.2904375562466
408,48-49 Transportation & Warehousing,0,-4770.2378381495619,-353.69668270501631,-5123.9345208545783
417,51-56 Professional Services,0,-13964.606378613318,-6805.3713099282431,-20769.977688541567
472,"61-72 Educational, Health, Recreation Service",0,-2121.9173967890629,-5800.1208808910969,-7922.0382776801616
520,92 Government & non NAICs,0,-4259.2072181760523,-1214.0163279064375,-5473.2235460824895
