Impact Detail for  Employment ,,,,,
Sector,Description,Direct,Indirect,Induced,Total
0,Total,-8.6803216934204102,-4.7088283575158263,-3.7751265866311901,-17.164276637567426
1,"11 Ag, Forestry, Fish & Hunting",0,-0.00075896715415972875,-0.010756015421365775,-0.011514982575525508
20,21 Mining,0,-0.0583827108641259,-0.041908677267797338,-0.10029138813192325
41,22 Utilities,0,-0.017631138538560027,-0.012261961359549222,-0.029893099898109246
52,23 Construction,0,-0.08989084902121755,-0.045514739837420437,-0.13540558885863799
65,31-33 Manufacturing,0,-0.056944238976671821,-0.0199798881322273,-0.076924127108899149
395,42 Wholesale Trade,-8.6803216934204102,-0.20751170725524432,-0.084627028621853187,-8.9724604292975076
396,44-45 Retail trade,0,-0.078789013055909796,-0.57075402599840219,-0.6495430390543121
408,48-49 Transportation & Warehousing,0,-0.70207519657838613,-0.066278689511109101,-0.76835388608949518
417,51-56 Professional Services,0,-2.7904360634291425,-0.93436171925973399,-3.7247977826888761
472,"61-72 Educational, Health, Recreation Service",0,-0.70627041719304395,-1.9884416818324149,-2.6947120990254589
520,92 Government & non NAICs,0,-0.00013805544936492154,-0.00024215938931703131,-0.00038021483868195285
