Impact Detail for  Employment ,,,,,
Sector,Description,Direct,Indirect,Induced,Total
0,Total,-3.960209846496582,-1.329261191816653,-2.6757722434828963,-7.9652432817961323
1,"11 Ag, Forestry, Fish & Hunting",0,-0.00043975574033286154,-0.012235414867607986,-0.012675170607940847
20,21 Mining,0,-0.00042365051421084483,-0.00070127956095215047,-0.0011249300751629953
41,22 Utilities,0,-0.0073960874685951254,-0.011060368692543189,-0.018456456161138311
52,23 Construction,0,-0.016204851455283907,-0.022789432615570284,-0.038994284070854188
65,31-33 Manufacturing,0,-0.012144002758890608,-0.0093012777042864904,-0.021445280463177105
395,42 Wholesale Trade,-3.960209846496582,-0.082557407884582573,-0.085349116342314402,-4.1281163707234789
396,44-45 Retail trade,0,-0.018451326473609482,-0.45832643758576364,-0.47677776405937311
408,48-49 Transportation & Warehousing,0,-0.23181152561277857,-0.069833194237926263,-0.30164471985070485
417,51-56 Professional Services,0,-0.79560253642281031,-0.49424623268294726,-1.2898487691057579
472,"61-72 Educational, Health, Recreation Service",0,-0.16423004748555869,-1.5119294891929844,-1.6761595366785438
520,92 Government & non NAICs,0,0,0,0
