Impact Detail for  Output ,,,,,
Sector,Description,Direct,Indirect,Induced,Total
0,Total,-1246613.3000000001,-145892.62177967775,-320279.23847591243,-1712785.1602555902
1,"11 Ag, Forestry, Fish & Hunting",0,-99.866595606573881,-2403.5730154213061,-2503.4396110278794
20,21 Mining,0,-133.76899656758829,-195.33996785514057,-329.10896442272889
41,22 Utilities,0,-9990.3423966147366,-14166.492965254332,-24156.835361869074
52,23 Construction,0,-2114.4992492557344,-3147.2387867974621,-5261.738036053197
65,31-33 Manufacturing,0,-2145.5677282415695,-4345.8628406152129,-6491.4305688567829
395,42 Wholesale Trade,-1246613.3000000001,-25987.804035842419,-26866.590981602221,-1299467.6950174447
396,44-45 Retail trade,0,-1312.7607775131694,-33020.078523839889,-34332.839301353066
408,48-49 Transportation & Warehousing,0,-21430.989719335179,-8417.3029778272521,-29848.292697162433
417,51-56 Professional Services,0,-69420.137519201526,-119730.94969813616,-189151.08721733769
472,"61-72 Educational, Health, Recreation Service",0,-13256.884761499239,-107985.80871856347,-121242.69348006275
520,92 Government & non NAICs,0,0,0,0
