Impact Detail for  Employment ,,,,,
Sector,Description,Direct,Indirect,Induced,Total
0,Total,-1.7073525190353394,-0.5977310041703906,-0.34882499490382141,-2.6539085181095516
1,"11 Ag, Forestry, Fish & Hunting",0,-0.00021514461106075878,-0.0033914908792452695,-0.0036066354903060284
20,21 Mining,0,-0.00065372770617400046,-0.00037735822561705108,-0.0010310859317910516
41,22 Utilities,0,-0.00054191127710199463,-0.00024488146005953562,-0.0007867927371615303
52,23 Construction,0,-0.013114707364822318,-0.0051132163044879577,-0.018227923669310277
65,31-33 Manufacturing,0,-0.0067329288331206601,-0.00075339493206796253,-0.0074863237651886204
395,42 Wholesale Trade,-1.7073525190353394,-0.018266005435054355,-0.0060504830947290793,-1.7316690075651227
396,44-45 Retail trade,0,-0.0090140867908399674,-0.076120815285891735,-0.085134902076731689
408,48-49 Transportation & Warehousing,0,-0.06289988473682577,-0.0054379484448889518,-0.068337833181714727
417,51-56 Professional Services,0,-0.40893051135060077,-0.072620405727083975,-0.4815509170776846
472,"61-72 Educational, Health, Recreation Service",0,-0.07518847103880727,-0.17749060992326399,-0.2526790809620712
520,92 Government & non NAICs,0,-0.0021736250259828328,-0.0012243906264859101,-0.003398015652468743
