Impact Detail for  Output ,,,,,
Sector,Description,Direct,Indirect,Induced,Total
0,Total,-323094.81,-57965.823326663252,-36513.158600304479,-417573.7919269678
1,"11 Ag, Forestry, Fish & Hunting",0,-17.945162292091123,-189.37289840680347,-207.31806069889453
20,21 Mining,0,-104.23991650854401,-59.658295109150636,-163.89821161769464
41,22 Utilities,0,-757.86619455230345,-341.679787038764,-1099.5459815910674
52,23 Construction,0,-1699.783754677298,-695.64043113477487,-2395.4241858120727
65,31-33 Manufacturing,0,-936.74149187251362,-248.40346162803536,-1185.1449535005493
395,42 Wholesale Trade,-323094.81,-3456.6096929848427,-1144.9771318005321,-327696.39682478539
396,44-45 Retail trade,0,-645.08418357318214,-5621.8271360072058,-6266.9113195803875
408,48-49 Transportation & Warehousing,0,-7062.5859915185911,-734.37337209922998,-7796.9593636178215
417,51-56 Professional Services,0,-38059.320649531721,-17552.26560497567,-55611.586254507398
472,"61-72 Educational, Health, Recreation Service",0,-4649.5384298657727,-9600.4421984430501,-14249.980628308816
520,92 Government & non NAICs,0,-576.10785928639348,-324.51828366126608,-900.62614294765956
