Impact Detail for  Employment ,,,,,
Sector,Description,Direct,Indirect,Induced,Total
0,Total,-1.5853457450866699,-0.57530500738701862,-0.43807159877897578,-2.5987223512526643
1,"11 Ag, Forestry, Fish & Hunting",0,-0.0001384066444417007,-0.0011228206664921968,-0.0012612273109338977
20,21 Mining,0,-0.00080053169208428772,-0.00056376085486274749,-0.0013642925469470356
41,22 Utilities,0,-0.0031969220437641655,-0.0016801179560978262,-0.0048770399998619924
52,23 Construction,0,-0.0073145016828340811,-0.0053400490658775147,-0.012654550748711597
65,31-33 Manufacturing,0,-0.0016838085485799824,-0.00041631338975113845,-0.0021001219383311202
395,42 Wholesale Trade,-1.5853457450866699,-0.018639880956142097,-0.0069870889833117192,-1.6109727150261237
396,44-45 Retail trade,0,-0.0079265652458269577,-0.085146890387630375,-0.093073455633457342
408,48-49 Transportation & Warehousing,0,-0.094684262489684368,-0.011426011177922359,-0.10611027366760671
417,51-56 Professional Services,0,-0.36971381310129448,-0.10166862387598721,-0.4713824369772816
472,"61-72 Educational, Health, Recreation Service",0,-0.069784932286112017,-0.22260079708417749,-0.29238572937028939
520,92 Government & non NAICs,0,-0.0014213826962544938,-0.0011191253368651745,-0.0025405080331196684
