Impact Detail for  Employment ,,,,,
Sector,Description,Direct,Indirect,Induced,Total
0,Total,-16.699386596679688,-9.2977219482311675,-8.5223251089455836,-34.519433653856446
1,"11 Ag, Forestry, Fish & Hunting",0,-0.00062193616602551833,-0.0039085711217720486,-0.0045305072877975666
20,21 Mining,0,-0.0082099794939858462,-0.0033069184491291148,-0.011516897943114961
41,22 Utilities,0,-0.010604380115020056,-0.0073432817495026025,-0.017947661864522658
52,23 Construction,0,-0.11493041564825461,-0.069660800014084728,-0.18459121566233933
65,31-33 Manufacturing,0,-0.060607746838883987,-0.01194172639331848,-0.07254947323220251
395,42 Wholesale Trade,-16.699386596679688,-0.22386863109731628,-0.11910268031235796,-17.042357908089365
396,44-45 Retail trade,0,-0.12098314525608522,-1.3469341324936361,-1.4679172777497214
408,48-49 Transportation & Warehousing,0,-1.2698577961484172,-0.16337698616768681,-1.4332347823161042
417,51-56 Professional Services,0,-6.2082599757077084,-1.9782368263518702,-8.1864968020595796
472,"61-72 Educational, Health, Recreation Service",0,-1.2797779417594697,-4.8185131858922245,-6.0982911276516969
520,92 Government & non NAICs,0,0,0,0
