Impact Detail for  Output ,,,,,
Sector,Description,Direct,Indirect,Induced,Total
0,Total,-3921967.2999999998,-1210286.640845286,-1002684.0298688781,-6134937.970714163
1,"11 Ag, Forestry, Fish & Hunting",0,-46.801431619300189,-250.19030541707079,-296.99173703637098
20,21 Mining,0,-1135.0197711302651,-480.59585612040519,-1615.6156272506705
41,22 Utilities,0,-6908.8747575100642,-4615.2150374860157,-11524.089794996082
52,23 Construction,0,-18861.913827868721,-11842.673512049489,-30704.587339918213
65,31-33 Manufacturing,0,-10254.781250380212,-6439.4199206231733,-16694.201171003384
395,42 Wholesale Trade,-3921967.2999999998,-52577.108703708742,-27972.09479055498,-4002516.5034942636
396,44-45 Retail trade,0,-9142.8026775645794,-103704.1164786093,-112846.9191561739
408,48-49 Transportation & Warehousing,0,-160843.55601265599,-19481.248935571773,-180324.80494822777
417,51-56 Professional Services,0,-873423.29617147462,-481843.34749251418,-1355266.6436639887
472,"61-72 Educational, Health, Recreation Service",0,-77092.486241373423,-346055.12753993168,-423147.61378130509
520,92 Government & non NAICs,0,0,0,0
