Impact Detail for  Employment ,,,,,
Sector,Description,Direct,Indirect,Induced,Total
0,Total,-1.7563891410827637,-0.83265512543742704,-0.27994540779074145,-2.868989674310932
1,"11 Ag, Forestry, Fish & Hunting",0,-0.00019331276989549334,-0.0013091818808381563,-0.0015024946507336495
20,21 Mining,0,-0.00050243671136214843,-0.00025187977495769398,-0.00075431648631984225
41,22 Utilities,0,-0.0050750805586664352,-0.003059452661100926,-0.0081345332197673599
52,23 Construction,0,-0.011605792169178973,-0.003934142279701674,-0.015539934448880646
65,31-33 Manufacturing,0,-0.0029889542143364798,-0.00035178563088631885,-0.0033407398452227986
395,42 Wholesale Trade,-1.7563891410827637,-0.012879253476866068,-0.0036189443276240631,-1.7728873388872537
396,44-45 Retail trade,0,-0.0079896851797646717,-0.065606980747503457,-0.073596665927268115
408,48-49 Transportation & Warehousing,0,-0.18015594524780981,-0.0092188159002939175,-0.1893747611481037
417,51-56 Professional Services,0,-0.56820949652066621,-0.076886022875253868,-0.64509551939592003
472,"61-72 Educational, Health, Recreation Service",0,-0.043055168588880685,-0.11570820171258139,-0.15876337030146201
520,92 Government & non NAICs,0,0,0,0
