Impact Detail for  Output ,,,,,
Sector,Description,Direct,Indirect,Induced,Total
0,Total,-315921.03000000003,-54535.24507042476,-31744.109883021691,-402200.38495344651
1,"11 Ag, Forestry, Fish & Hunting",0,-25.095480178828979,-157.40300165530877,-182.49848183413778
20,21 Mining,0,-83.777611386705559,-42.146396885288013,-125.92400827199359
41,22 Utilities,0,-4184.6175090383822,-1755.8149235955552,-5940.4324326339374
52,23 Construction,0,-1602.8703518298669,-568.67175542445091,-2171.5421072543177
65,31-33 Manufacturing,0,-400.01763561742513,-99.933352313861164,-499.95098793128608
395,42 Wholesale Trade,-315921.03000000003,-2316.5863033962087,-650.93810578276634,-318888.55440917902
396,44-45 Retail trade,0,-556.85189618058359,-4756.4152089516465,-5313.2671051322304
408,48-49 Transportation & Warehousing,0,-12906.502429860229,-1125.2107554045513,-14031.71318526478
417,51-56 Professional Services,0,-28740.267581337117,-15115.149642829356,-43855.417224166456
472,"61-72 Educational, Health, Recreation Service",0,-3718.6582715994123,-7472.4267401789066,-11191.085011778319
520,92 Government & non NAICs,0,0,0,0
