Impact Detail for  Output ,,,,,
Sector,Description,Direct,Indirect,Induced,Total
0,Total,-260824.22,-29007.733776800458,-31503.404644762875,-321335.35842156323
1,"11 Ag, Forestry, Fish & Hunting",0,-3.2681234763272475,-170.79353099516047,-174.06165447148769
20,21 Mining,0,-290.56786965911175,-318.0055473344421,-608.57341699355379
41,22 Utilities,0,-957.97030068189315,-789.97732317079169,-1747.947623852685
52,23 Construction,0,-1158.232669273686,-788.47119177621437,-1946.7038610499003
65,31-33 Manufacturing,0,-126.21121220890962,-47.008816337250209,-173.22002854615988
395,42 Wholesale Trade,-260824.22,-4857.2658090805926,-2362.6302326636678,-268044.11604174424
396,44-45 Retail trade,0,-225.20429074419133,-3661.5961042056288,-3886.8003949498197
408,48-49 Transportation & Warehousing,0,-4311.0596185691775,-1067.9012742392706,-5378.9608928084481
417,51-56 Professional Services,0,-13848.914990873169,-15405.845598835249,-29254.760589708407
472,"61-72 Educational, Health, Recreation Service",0,-3229.0388922334014,-6891.1750252051997,-10120.213917438601
520,92 Government & non NAICs,0,0,0,0
