Impact Detail for  Employment ,,,,,
Sector,Description,Direct,Indirect,Induced,Total
0,Total,-0.85904794931411743,-0.32345066044712728,-0.068568907714930669,-1.2510675174761756
1,"11 Ag, Forestry, Fish & Hunting",0,-0.00017097906447227168,-0.0004603652787833559,-0.00063134434325562764
20,21 Mining,0,-0.00041056274678205796,-8.9899189709363766E-05,-0.00050046193649142174
41,22 Utilities,0,-0.00025523532441129544,-5.9411284112342103E-05,-0.00031464660852363754
52,23 Construction,0,-0.0083836694631116478,-0.001230465073570912,-0.0096141345366825611
65,31-33 Manufacturing,0,-0.00029248602596034716,-3.2663372493013514E-05,-0.00032514939845336075
395,42 Wholesale Trade,-0.85904794931411743,-0.022553698686501263,-0.0036398485623221114,-0.88524149656294082
396,44-45 Retail trade,0,-0.0044746649890134585,-0.013288966797494592,-0.017763631786508052
408,48-49 Transportation & Warehousing,0,-0.11516114137485407,-0.0018878550960124856,-0.11704899647086656
417,51-56 Professional Services,0,-0.1423803487496568,-0.012425668687570347,-0.15480601743722713
472,"61-72 Educational, Health, Recreation Service",0,-0.029367874022364088,-0.035453764372862143,-0.064821638395226241
520,92 Government & non NAICs,0,0,0,0
