Impact Detail for  Employment ,,,,,
Sector,Description,Direct,Indirect,Induced,Total
0,Total,-1.4423785209655762,-0.63877941159637364,-0.18518495321482006,-2.2663428857767705
1,"11 Ag, Forestry, Fish & Hunting",0,-0.00018940575751689323,-0.00076189587442350047,-0.00095130163194039378
20,21 Mining,0,-0.0039876772993799143,-0.00089988867997983822,-0.004887565979359753
41,22 Utilities,0,-0.00061441703354219856,-0.00015294414944258067,-0.00076736118298477928
52,23 Construction,0,-0.0096058487019903063,-0.0022543947333646189,-0.011860243435354925
65,31-33 Manufacturing,0,-0.00046233200904911902,-5.406349696526261E-05,-0.00051639550601438166
395,42 Wholesale Trade,-1.4423785209655762,-0.022870737166827918,-0.0049496713062088631,-1.4701989294386131
396,44-45 Retail trade,0,-0.0050902716258491663,-0.027396599534887493,-0.032486871160736661
408,48-49 Transportation & Warehousing,0,-0.094672677404883887,-0.0035093990601718517,-0.098182076465055737
417,51-56 Professional Services,0,-0.38282433868755589,-0.043829860961315387,-0.42665419964887147
472,"61-72 Educational, Health, Recreation Service",0,-0.071207688381938611,-0.09208583951849969,-0.16329352790043838
520,92 Government & non NAICs,0,-0.047254017527839733,-0.009290395899560976,-0.056544413427400707
