Impact Detail for  Output ,,,,,
Sector,Description,Direct,Indirect,Induced,Total
0,Total,-3310016,-788058.40339260048,-675346.38363411359,-4773420.7870267136
1,"11 Ag, Forestry, Fish & Hunting",0,-23.44926147110575,-121.2992593556137,-144.74852082671944
20,21 Mining,0,-50.054855323200172,-48.301644642766355,-98.35649996596652
41,22 Utilities,0,-7622.3662519690988,-4830.567776459261,-12452.934028428361
52,23 Construction,0,-19743.224262895063,-12203.695014243227,-31946.919277138291
65,31-33 Manufacturing,0,-17988.366276988068,-15719.118740263582,-33707.485017251653
395,42 Wholesale Trade,-3310016,-62918.101699829102,-34069.564403690747,-3407003.66610352
396,44-45 Retail trade,0,-6646.1946841922472,-78621.96684694993,-85268.161531142177
408,48-49 Transportation & Warehousing,0,-89946.004574148072,-18266.732327952101,-108212.73690210018
417,51-56 Professional Services,0,-528626.02787044283,-344218.88442826248,-872844.9122987052
472,"61-72 Educational, Health, Recreation Service",0,-51677.695376707146,-164468.34565017012,-216146.0410268773
520,92 Government & non NAICs,0,-2816.9182786345482,-2777.9075421238522,-5594.8258207584004
