Impact Detail for  Employment ,,,,,
Sector,Description,Direct,Indirect,Induced,Total
0,Total,-0.51173388957977295,-0.15928044174092021,-0.086626400620234134,-0.75764073194092718
1,"11 Ag, Forestry, Fish & Hunting",0,-2.8301772960295243E-05,-6.7913607591250558E-05,-9.6215380551545801E-05
20,21 Mining,0,-0.00045489281121688981,-0.00019938248891239748,-0.00065427530012928715
41,22 Utilities,0,-0.00041384270312414993,-0.00019672166849567241,-0.00061056437161982223
52,23 Construction,0,-0.0025307959974458318,-0.00087051589176596889,-0.0034013118892118007
65,31-33 Manufacturing,0,-9.2895514253198182E-05,-6.3361146813858751E-05,-0.00015625666106705691
395,42 Wholesale Trade,-0.51173388957977295,-0.0063541785511607518,-0.0017055727765604054,-0.51979364090749403
396,44-45 Retail trade,0,-0.0021274482870300001,-0.017144087925153147,-0.019271536212183145
408,48-49 Transportation & Warehousing,0,-0.040385784785888786,-0.0019237618740795752,-0.042309546659968354
417,51-56 Professional Services,0,-0.067382517432601541,-0.015749085903857783,-0.083131603336459317
472,"61-72 Educational, Health, Recreation Service",0,-0.028470067089067404,-0.045618293173798855,-0.074088360262866262
520,92 Government & non NAICs,0,-0.011039716796171366,-0.0030877041632052264,-0.014127420959376594
