Impact Detail for  Output ,,,,,
Sector,Description,Direct,Indirect,Induced,Total
0,Total,-174435.14000000001,-29291.08839661126,-17586.597181925867,-221312.8255785371
1,"11 Ag, Forestry, Fish & Hunting",0,-1.7549491532450681,-49.676191174678053,-51.431140327923131
20,21 Mining,0,-318.13767137209038,-87.752250796031674,-405.88992216812204
41,22 Utilities,0,0,0,0
52,23 Construction,0,-488.01881556860178,-149.78913200909125,-637.80794757769308
65,31-33 Manufacturing,0,-910.19033464981214,-70.212571620650579,-980.40290627046249
395,42 Wholesale Trade,-174435.14000000001,-1865.0605847525585,-461.40216532522851,-176761.60275007782
396,44-45 Retail trade,0,-326.56255200375654,-2420.1283061396084,-2746.6908581433654
408,48-49 Transportation & Warehousing,0,-5491.3170215773844,-444.97185429419551,-5936.2888758715799
417,51-56 Professional Services,0,-10479.475191820011,-7122.7415182440418,-17602.216710064051
472,"61-72 Educational, Health, Recreation Service",0,-2051.4463660833881,-5014.8294426455013,-7066.2758087288885
520,92 Government & non NAICs,0,-7359.1249096304182,-1765.0937496768408,-9124.2186593072583
