Impact Detail for  Employment ,,,,,
Sector,Description,Direct,Indirect,Induced,Total
0,Total,-3.8978312015533447,-1.6252305140143677,-1.5883946104657909,-7.1114563260335037
1,"11 Ag, Forestry, Fish & Hunting",0,-0.000114729903542106,-0.0017170404088094453,-0.0018317703123515512
20,21 Mining,0,-0.00095690845760106828,-0.00045891724797662706,-0.0014158257055776958
41,22 Utilities,0,-0.009837062775598017,-0.005864134699814688,-0.015701197475412706
52,23 Construction,0,-0.029800758454951861,-0.016730017863771412,-0.046530776318723273
65,31-33 Manufacturing,0,-0.0084672616228651139,-0.001606971786073187,-0.010074233408938302
395,42 Wholesale Trade,-3.8978312015533447,-0.063227828955327164,-0.028285605457911062,-3.989344635966583
396,44-45 Retail trade,0,-0.028664651117633978,-0.29017026068122342,-0.31883491179885737
408,48-49 Transportation & Warehousing,0,-0.39075008760659985,-0.052556285595308845,-0.44330637320190869
417,51-56 Professional Services,0,-0.83517902438006553,-0.27958102962685244,-1.114760054006918
472,"61-72 Educational, Health, Recreation Service",0,-0.25639708609893891,-0.90956222616351468,-1.1659593122624536
520,92 Government & non NAICs,0,-0.0018351146412442601,-0.0018621209345349762,-0.003697235575779236
