Impact Detail for  Output ,,,,,
Sector,Description,Direct,Indirect,Induced,Total
0,Total,-140985.73000000001,-31508.629435047234,-23468.731509050125,-195963.09094409738
1,"11 Ag, Forestry, Fish & Hunting",0,-9.2728015380585305,-139.71104540483171,-148.98384694289021
20,21 Mining,0,-80.320833088290641,-52.184559901395296,-132.50539298968593
41,22 Utilities,0,-1558.6113554907338,-869.86527519055335,-2428.4766306812871
52,23 Construction,0,-605.06366219116808,-267.61507955061768,-872.67874174178576
65,31-33 Manufacturing,0,-92.547612848383395,-399.37188152104017,-491.9194943694236
395,42 Wholesale Trade,-140985.73000000001,-738.67604961752659,-284.76585118190201,-142009.17190079944
396,44-45 Retail trade,0,-327.68829404783105,-3276.0578336901826,-3603.746127738013
408,48-49 Transportation & Warehousing,0,-8212.8013082026519,-722.57198240384469,-8935.3732906064979
417,51-56 Professional Services,0,-17360.828359160314,-10488.414309972055,-27849.242669132382
472,"61-72 Educational, Health, Recreation Service",0,-2522.8191588622758,-6968.1736902337034,-9490.9928490959792
520,92 Government & non NAICs,0,0,0,0
