Impact Detail for  Output ,,,,,
Sector,Description,Direct,Indirect,Induced,Total
0,Total,-295090.40999999997,-46049.302548638487,-34730.784732574102,-375870.49728121259
1,"11 Ag, Forestry, Fish & Hunting",0,-9.2376964195844344,-35.307819626436192,-44.545516046020637
20,21 Mining,0,-45.388039058267438,-33.948899871878758,-79.336938930146204
41,22 Utilities,0,0,0,0
52,23 Construction,0,-532.62377246999199,-253.71999980898977,-786.34377227898187
65,31-33 Manufacturing,0,-205.46354084465364,-34.302229908399724,-239.76577075305332
395,42 Wholesale Trade,-295090.40999999997,-4927.9833372223657,-1837.236154371325,-301855.62949159369
396,44-45 Retail trade,0,-336.25192150587782,-4109.5518056709625,-4445.8037271768399
408,48-49 Transportation & Warehousing,0,-6374.7305660088896,-850.64776589908706,-7225.3783319079776
417,51-56 Professional Services,0,-18703.153874828462,-14974.516241286034,-33677.670116114503
472,"61-72 Educational, Health, Recreation Service",0,-4875.6536844916836,-8703.3325146813495,-13578.986199173032
520,92 Government & non NAICs,0,-10038.816115788704,-3898.2213014496356,-13937.03741723834
