Impact Detail for  Employment ,,,,,
Sector,Description,Direct,Indirect,Induced,Total
0,Total,-2.6449036598205566,-0.94987095169478952,-0.85401363109644268,-4.448788242611788
1,"11 Ag, Forestry, Fish & Hunting",0,-0.00033091861352750639,-0.0032446989569375486,-0.0035756175704650555
20,21 Mining,0,-0.00046750640921637169,-0.00017718726487221,-0.00064469367408858161
41,22 Utilities,0,-0.0017618194421071855,-0.00089265105338180348,-0.0026544704954889892
52,23 Construction,0,-0.020315828903592653,-0.0099345053110715641,-0.030250334214664214
65,31-33 Manufacturing,0,-0.045818492241679207,-0.00418323975562797,-0.050001731997307175
395,42 Wholesale Trade,-2.6449036598205566,-0.018270205511688505,-0.0073192939521093282,-2.6704931592843542
396,44-45 Retail trade,0,-0.016619378217606721,-0.13413773691499573,-0.15075711513260243
408,48-49 Transportation & Warehousing,0,-0.12548204432890078,-0.0069106596513151836,-0.13239270398021596
417,51-56 Professional Services,0,-0.60449549009611458,-0.14660929859123947,-0.75110478868735386
472,"61-72 Educational, Health, Recreation Service",0,-0.11630926793035598,-0.54060435964489184,-0.65691362757524763
520,92 Government & non NAICs,0,0,0,0
