Impact Detail for  Output ,,,,,
Sector,Description,Direct,Indirect,Induced,Total
0,Total,-539369.18999999994,-120465.47367510913,-93836.621957632073,-753671.28563274106
1,"11 Ag, Forestry, Fish & Hunting",0,-11.516178641670239,-127.29110003469198,-138.80727867636225
20,21 Mining,0,-76.380573483573201,-36.331752983865272,-112.71232646743849
41,22 Utilities,0,-2367.1259979176707,-1193.5712398013927,-3560.6972377190637
52,23 Construction,0,-3166.7688154363382,-1614.1236257787055,-4780.8924412150436
65,31-33 Manufacturing,0,-8797.8502407362084,-2989.7941770423845,-11787.644417778594
395,42 Wholesale Trade,-539369.18999999994,-3725.8013586688321,-1492.6069295618572,-544587.5982882306
396,44-45 Retail trade,0,-1189.2531149852809,-9724.8348479583474,-10914.087962943626
408,48-49 Transportation & Warehousing,0,-15704.753378703084,-869.35277797297647,-16574.106156676062
417,51-56 Professional Services,0,-77545.661890671559,-37866.035998658379,-115411.69788932997
472,"61-72 Educational, Health, Recreation Service",0,-7880.3621258649082,-37922.679507839464,-45803.041633704372
520,92 Government & non NAICs,0,0,0,0
