Impact Detail for  Employment ,,,,,
Sector,Description,Direct,Indirect,Induced,Total
0,Total,-1.9908665418624878,-0.61300490559448206,-0.49027137705532564,-3.0941428245122955
1,"11 Ag, Forestry, Fish & Hunting",0,-0.00028836410394712889,-0.0043254792945557887,-0.0046138433985029184
20,21 Mining,0,-0.00045174183675474034,-0.00034213897140190761,-0.000793880808156648
41,22 Utilities,0,-0.002828104197215962,-0.0017360954833474311,-0.0045641996805633927
52,23 Construction,0,-0.013574207426429822,-0.0060467086816686604,-0.019620916108098484
65,31-33 Manufacturing,0,-0.052584720173639868,-0.0031206939426019942,-0.055705414116241851
395,42 Wholesale Trade,-1.9908665418624878,-0.020794123118115203,-0.0078652709878883603,-2.0195259359684914
396,44-45 Retail trade,0,-0.013179191886061734,-0.094668029229131576,-0.10784722111519331
408,48-49 Transportation & Warehousing,0,-0.11927146943070488,-0.013304617998723557,-0.13257608742942847
417,51-56 Professional Services,0,-0.28641252546951623,-0.068761868285879782,-0.35517439375539595
472,"61-72 Educational, Health, Recreation Service",0,-0.09607485772356697,-0.28565556727786556,-0.38173042500143245
520,92 Government & non NAICs,0,-0.0075456002285295915,-0.0044449069022610031,-0.011990507130790595
