Impact Detail for  Employment ,,,,,
Sector,Description,Direct,Indirect,Induced,Total
0,Total,-10.576825141906738,-4.2627443223487251,-4.4728824843740167,-19.31245194862948
1,"11 Ag, Forestry, Fish & Hunting",0,-0.00027827778727627472,-0.0032952033951674496,-0.0035734811824437245
20,21 Mining,0,-0.0024809098729538796,-0.002499641310424129,-0.0049805511833780096
41,22 Utilities,0,-0.0016319589625880661,-0.0026700816323113612,-0.0043020405948994275
52,23 Construction,0,-0.06820860656730432,-0.042681444934542664,-0.11089005150184698
65,31-33 Manufacturing,0,-0.074512635197146612,-0.0096528480619029588,-0.0841654832590496
395,42 Wholesale Trade,-10.576825141906738,-0.15970630689393833,-0.077139658765191382,-10.813671107565867
396,44-45 Retail trade,0,-0.074444767396733363,-0.74986519842463717,-0.82430996582137039
408,48-49 Transportation & Warehousing,0,-0.92648970986008961,-0.075203550853260609,-1.0016932607133502
417,51-56 Professional Services,0,-2.3490934075223002,-0.82621149063320465,-3.1753048981555048
472,"61-72 Educational, Health, Recreation Service",0,-0.60223839264661405,-2.6797920087928242,-3.2820304014394375
520,92 Government & non NAICs,0,-0.0036593496417799748,-0.0038713575705503554,-0.0075307072123303297
