Impact Detail for  Output ,,,,,
Sector,Description,Direct,Indirect,Induced,Total
0,Total,-2262317.5,-409793.45301726484,-468880.14479035983,-3140991.0978076248
1,"11 Ag, Forestry, Fish & Hunting",0,-14.983049041521969,-161.57788612788824,-176.56093516941019
20,21 Mining,0,-402.03338718864359,-413.77015827111097,-815.80354545975456
41,22 Utilities,0,-989.85493058979046,-1619.5220158166276,-2609.376946406418
52,23 Construction,0,-10234.786434293565,-6698.4071675614668,-16933.193601855033
65,31-33 Manufacturing,0,-12293.750756187306,-2593.1319176574852,-14886.882673844793
395,42 Wholesale Trade,-2262317.5,-34160.190360248089,-16499.695465962424,-2312977.3858262105
396,44-45 Retail trade,0,-5599.6871976891252,-56320.705464131875,-61920.392661821003
408,48-49 Transportation & Warehousing,0,-80385.753106889431,-9327.0983837838066,-89712.851490673231
417,51-56 Professional Services,0,-226618.25254538172,-181847.36063200096,-408465.61317738279
472,"61-72 Educational, Health, Recreation Service",0,-37959.923537516399,-192198.92483784739,-230158.8483753638
520,92 Government & non NAICs,0,-1134.2377122392645,-1199.950861198743,-2334.1885734380076
