Impact Detail for  Employment ,,,,,
Sector,Description,Direct,Indirect,Induced,Total
0,Total,-1.2119638919830322,-0.32547778605189548,-0.22422218596537361,-1.7616638640003013
1,"11 Ag, Forestry, Fish & Hunting",0,-0.00019862118756291337,-0.002153357968786857,-0.0023519791563497705
20,21 Mining,0,-0.00041549291955506328,-0.00020274487788315287,-0.00061823779743821604
41,22 Utilities,0,-0.0036987513540465799,-0.0015464739089630329,-0.0052452252630096133
52,23 Construction,0,-0.0095287544328961794,-0.0031124441720321739,-0.012641198604928353
65,31-33 Manufacturing,0,-0.0034134544552497773,-0.0003824419035143197,-0.0037958963587640978
395,42 Wholesale Trade,-1.2119638919830322,-0.0094413061353623429,-0.0028422005833938901,-1.2242473987017886
396,44-45 Retail trade,0,-0.0068073721341049198,-0.050044131465495321,-0.056851503599600249
408,48-49 Transportation & Warehousing,0,-0.071432647397835197,-0.0050974476743591429,-0.07653009507219434
417,51-56 Professional Services,0,-0.17305560489629041,-0.041130956865421224,-0.21418656176171155
472,"61-72 Educational, Health, Recreation Service",0,-0.047485781138992079,-0.11770998654552448,-0.16519576768451655
520,92 Government & non NAICs,0,0,0,0
