Impact Detail for  Output ,,,,,
Sector,Description,Direct,Indirect,Induced,Total
0,Total,-88263024,-27751668.718426462,-33669596.854639828,-149684289.57306629
1,"11 Ag, Forestry, Fish & Hunting",0,-1281.9874529662629,-5445.6329330732451,-6727.620386039509
20,21 Mining,0,-32215.103231744313,-42259.187273383555,-74474.290505127865
41,22 Utilities,0,-448741.42793094815,-442769.98120393627,-891511.40913488448
52,23 Construction,0,-402900.23475514865,-398090.46721454302,-800990.70196969179
65,31-33 Manufacturing,0,-373230.7851876372,-453994.07394355815,-827224.85913119605
395,42 Wholesale Trade,-88263024,-2132710.6535053253,-1748621.6362335889,-92144356.289738908
396,44-45 Retail trade,0,-174037.32832990738,-3042398.3791374601,-3216435.7074673669
408,48-49 Transportation & Warehousing,0,-2297187.9086139225,-554979.43120499153,-2852167.339818914
417,51-56 Professional Services,0,-20266835.755208421,-16660690.705818903,-36927526.461027339
472,"61-72 Educational, Health, Recreation Service",0,-1617808.7398909493,-10311987.63182755,-11929796.371718498
520,92 Government & non NAICs,0,-4718.7943194922409,-8359.7278488446609,-13078.522168336902
