Impact Detail for  Employment ,,,,,
Sector,Description,Direct,Indirect,Induced,Total
0,Total,-1.7318084239959717,-0.46817851391972098,-0.37365866451448709,-2.5736456024301799
1,"11 Ag, Forestry, Fish & Hunting",0,-0.00019781144691684638,-0.0037534473722696652,-0.0039512588191865112
20,21 Mining,0,-0.00065276547627120686,-0.00046367493758147239,-0.0011164404138526794
41,22 Utilities,0,-0.00033393112084240139,-0.00018853011168628992,-0.00052246123252869129
52,23 Construction,0,-0.011197643087120894,-0.0056064981336045126,-0.016804141220725405
65,31-33 Manufacturing,0,-0.0022712220832739514,-0.00038864889446422335,-0.0026598709777381742
395,42 Wholesale Trade,-1.7318084239959717,-0.030485504965176061,-0.01244062918658146,-1.7747345581477292
396,44-45 Retail trade,0,-0.0065842908739911776,-0.081530986977954092,-0.088115277851945284
408,48-49 Transportation & Warehousing,0,-0.12536630425315948,-0.0098786941431014061,-0.13524499839626092
417,51-56 Professional Services,0,-0.21082470658835217,-0.054790452287742986,-0.26561515887609521
472,"61-72 Educational, Health, Recreation Service",0,-0.080264334024616774,-0.20461710246950099,-0.28488143649411779
520,92 Government & non NAICs,0,0,0,0
