Impact Detail for  Output ,,,,,
Sector,Description,Direct,Indirect,Induced,Total
0,Total,-393733.15999999997,-43520.461037961097,-38692.477961939738,-475946.0989999008
1,"11 Ag, Forestry, Fish & Hunting",0,-16.075422133078867,-335.09226543700964,-351.1676875700885
20,21 Mining,0,-89.064059591872009,-66.490300409993679,-155.55436000186566
41,22 Utilities,0,-424.9126362736057,-239.89625935878581,-664.80889563239157
52,23 Construction,0,-1473.0354472111724,-779.81480827033317,-2252.8502554815054
65,31-33 Manufacturing,0,-330.31404807398314,-133.21500288629042,-463.52905096027359
395,42 Wholesale Trade,-393733.15999999997,-6930.9943363333005,-2828.4238864048907,-403492.57822273817
396,44-45 Retail trade,0,-438.40525169264743,-5342.445059539431,-5780.8503112320814
408,48-49 Transportation & Warehousing,0,-12934.63672910778,-1158.7939153318775,-14093.430644439659
417,51-56 Professional Services,0,-15468.113262273449,-17810.586599772672,-33278.699862046124
472,"61-72 Educational, Health, Recreation Service",0,-5414.9098452702056,-9997.719864528457,-15412.629709798664
520,92 Government & non NAICs,0,0,0,0
