Impact Detail for  Employment ,,,,,
Sector,Description,Direct,Indirect,Induced,Total
0,Total,-1.8038535118103027,-0.58217709441714915,-0.40253202755755352,-2.7885626337850056
1,"11 Ag, Forestry, Fish & Hunting",0,-0.00018788383988457767,-0.0016465369730325086,-0.0018344208129170861
20,21 Mining,0,-0.0014084351118143698,-0.00048844216923992682,-0.0018968772810542963
41,22 Utilities,0,-0.0017473160452718755,-0.00070647844182283848,-0.002453794487094714
52,23 Construction,0,-0.014678761782637322,-0.0049116335852481376,-0.019590395367885458
65,31-33 Manufacturing,0,-0.00090513918019397151,-0.00028938485409373574,-0.001194524034287707
395,42 Wholesale Trade,-1.8038535118103027,-0.050087931098572187,-0.014010371843472961,-1.867951814752348
396,44-45 Retail trade,0,-0.01289609466996932,-0.077377303091962557,-0.090273397761931884
408,48-49 Transportation & Warehousing,0,-0.15556169473851522,-0.010628509281457484,-0.1661902040199727
417,51-56 Professional Services,0,-0.2306466724263081,-0.062944309683790819,-0.29359098211009893
472,"61-72 Educational, Health, Recreation Service",0,-0.11405716552398226,-0.22952905763343257,-0.34358622315741483
520,92 Government & non NAICs,0,0,0,0
