Impact Detail for  Employment ,,,,,
Sector,Description,Direct,Indirect,Induced,Total
0,Total,-1.8943468332290649,-0.71636618082128733,-0.63898209820424023,-3.2496951122545923
1,"11 Ag, Forestry, Fish & Hunting",0,-0.00032089722942754088,-0.0035250049232259262,-0.0038459021526534676
20,21 Mining,0,-0.0057694388533228065,-0.004364060460211921,-0.010133499313534725
41,22 Utilities,0,-0.0022605617919787884,-0.0015022772041719339,-0.0037628389961507219
52,23 Construction,0,-0.011330909313893205,-0.0068467632619661298,-0.018177672575859335
65,31-33 Manufacturing,0,-0.0044505358513076123,-0.001132506853383298,-0.0055830427046909114
395,42 Wholesale Trade,-1.8943468332290649,-0.042341050126140339,-0.016779831245124718,-1.9534677146003299
396,44-45 Retail trade,0,-0.01077719282079162,-0.10992528369340958,-0.12070247651420119
408,48-49 Transportation & Warehousing,0,-0.13325325679542355,-0.013632934044192413,-0.14688619083961596
417,51-56 Professional Services,0,-0.38380460508108161,-0.11685299764300504,-0.50065760272408655
472,"61-72 Educational, Health, Recreation Service",0,-0.12205773295792022,-0.36442043887554926,-0.48647817183346953
520,92 Government & non NAICs,0,0,0,0
