Impact Detail for  Employment ,,,,,
Sector,Description,Direct,Indirect,Induced,Total
0,Total,-21.569419860839844,-7.8247346690389561,-7.6928406365811055,-37.086995166459907
1,"11 Ag, Forestry, Fish & Hunting",0,-0.0017125314413880361,-0.019229750651759817,-0.020942282093147847
20,21 Mining,0,-0.0011804087189920631,-0.00092164651417109527,-0.0021020552331631583
41,22 Utilities,0,-0.02905078341507206,-0.022041996651147443,-0.051092780066219506
52,23 Construction,0,-0.15871411999268803,-0.096887274166124665,-0.25560139415881272
65,31-33 Manufacturing,0,-0.074945754767769865,-0.027005928041745196,-0.10195168280951501
395,42 Wholesale Trade,-21.569419860839844,-0.40406561638515071,-0.1975392702863828,-22.171024747511378
396,44-45 Retail trade,0,-0.11438628740995509,-1.3139461988724057,-1.4283324862823605
408,48-49 Transportation & Warehousing,0,-0.71661664590752827,-0.14775536058208211,-0.86437200648961043
417,51-56 Professional Services,0,-5.022519071256256,-1.6388838515608761,-6.6614029228171301
472,"61-72 Educational, Health, Recreation Service",0,-1.3013447452406399,-4.2281038122447363,-5.5294485574853782
520,92 Government & non NAICs,0,-0.00019870450351601758,-0.0005255470096742227,-0.00072425151319024028
