Impact Detail for  Output ,,,,,
Sector,Description,Direct,Indirect,Induced,Total
0,Total,-36701.866999999998,-9371.6216919575963,-3727.3917630675132,-49800.880455025115
1,"11 Ag, Forestry, Fish & Hunting",0,-1.6777402876212983,-14.55534628220309,-16.233086569824387
20,21 Mining,0,-9.0197620734302344,-3.9294919333413669,-12.949254006771602
41,22 Utilities,0,-473.9227871096947,-156.24758564018433,-630.17037274987899
52,23 Construction,0,-195.22763142360284,-52.83489853930088,-248.06252996290374
65,31-33 Manufacturing,0,-25.706664151123988,-3.5896041193751347,-29.296268270499123
395,42 Wholesale Trade,-36701.866999999998,-206.4702279087287,-43.739027184854827,-36952.076255093583
396,44-45 Retail trade,0,-62.467606920223503,-416.04613122537853,-478.51373814560219
408,48-49 Transportation & Warehousing,0,-2498.6295042635124,-136.90725945760062,-2635.5367637211134
417,51-56 Professional Services,0,-5367.0837541870405,-1455.870972098516,-6822.9547262855558
472,"61-72 Educational, Health, Recreation Service",0,-531.41601363261782,-1443.6714465867583,-1975.0874602193765
520,92 Government & non NAICs,0,0,0,0
