Impact Detail for  Output ,,,,,
Sector,Description,Direct,Indirect,Induced,Total
0,Total,-3058119.7999999998,-708342.13757166138,-751241.89731176582,-4517703.8348834272
1,"11 Ag, Forestry, Fish & Hunting",0,-63.759905465146232,-333.66003719107073,-397.41994265621696
20,21 Mining,0,-837.70322725633707,-385.40550049296451,-1223.1087277493016
41,22 Utilities,0,0,0,0
52,23 Construction,0,-13132.985569392553,-8734.2896981288941,-21867.275267521447
65,31-33 Manufacturing,0,-19724.734871723587,-13185.712625035698,-32910.447496759269
395,42 Wholesale Trade,-3058119.7999999998,-61831.663017082028,-32031.464458299113,-3151982.9274753812
396,44-45 Retail trade,0,-7118.0420696597039,-82635.191720890944,-89753.233790550628
408,48-49 Transportation & Warehousing,0,-137962.90253297883,-24928.578281845541,-162891.48081482438
417,51-56 Professional Services,0,-411865.94021708611,-314289.57199190737,-726155.51220899343
472,"61-72 Educational, Health, Recreation Service",0,-55804.406161017083,-274718.02299797419,-330522.42915899126
520,92 Government & non NAICs,0,0,0,0
