Impact Detail for  Employment ,,,,,
Sector,Description,Direct,Indirect,Induced,Total
0,Total,-3.437938928604126,-1.5616414328215755,-0.84074611271719535,-5.8403264741428966
1,"11 Ag, Forestry, Fish & Hunting",0,-0.00037915528289103812,-0.0025325365194383601,-0.0029116918023293983
20,21 Mining,0,-0.00045656306815327545,-0.00025989827908930191,-0.00071646134724257741
41,22 Utilities,0,-0.00029948590962584741,-0.00048657968034570849,-0.00078606558997155584
52,23 Construction,0,-0.026334909837129227,-0.01121450956002425,-0.037549419397153477
65,31-33 Manufacturing,0,-0.0080223273909644736,-0.00086750633409679047,-0.008889833725061266
395,42 Wholesale Trade,-3.437938928604126,-0.087333627692291485,-0.031119317205523672,-3.5563918735019411
396,44-45 Retail trade,0,-0.020231384740908423,-0.17722387377009394,-0.19745525851100237
408,48-49 Transportation & Warehousing,0,-0.25525903664392008,-0.026289654462791939,-0.28154869110671205
417,51-56 Professional Services,0,-1.0299240425281027,-0.21359043363040781,-1.2435144761585102
472,"61-72 Educational, Health, Recreation Service",0,-0.13340089972758906,-0.37716180327538368,-0.51056270300297257
520,92 Government & non NAICs,0,0,0,0
