Impact Detail for  Output ,,,,,
Sector,Description,Direct,Indirect,Induced,Total
0,Total,-677552,-123544.20486867036,-92602.545852704978,-893698.75072137523
1,"11 Ag, Forestry, Fish & Hunting",0,-65.59678058251167,-304.78536191033919,-370.3821424928509
20,21 Mining,0,-79.498398544882548,-51.065725372880536,-130.56412391776308
41,22 Utilities,0,-70.468621461302973,-114.49152765778142,-184.96014911908441
52,23 Construction,0,-3528.0510722775944,-1580.163519857771,-5108.2145921353658
65,31-33 Manufacturing,0,-1087.8601272470096,-197.0484249685116,-1284.9085522155212
395,42 Wholesale Trade,-677552,-17211.788110733032,-6133.0223883444469,-700896.81049907743
396,44-45 Retail trade,0,-1475.4735972996568,-12877.274446757647,-14352.748044057304
408,48-49 Transportation & Warehousing,0,-18068.39841161533,-2472.021286985454,-20540.419698600788
417,51-56 Professional Services,0,-70032.659625026499,-40488.768168663402,-110521.4277936899
472,"61-72 Educational, Health, Recreation Service",0,-11924.410123882535,-28383.905002186744,-40308.315126069261
520,92 Government & non NAICs,0,0,0,0
