Impact Detail for  Output ,,,,,
Sector,Description,Direct,Indirect,Induced,Total
0,Total,-2339320.7999999998,-462368.46816161816,-571781.68071525102,-3373470.9488768685
1,"11 Ag, Forestry, Fish & Hunting",0,-25.396506650251112,-139.05943789928952,-164.45594454954065
20,21 Mining,0,-96.553949442439887,-100.65695933120172,-197.21090877364159
41,22 Utilities,0,-33391.802692121448,-29024.336226109928,-62416.138918231387
52,23 Construction,0,-11161.591721378582,-8326.094230330511,-19487.685951709092
65,31-33 Manufacturing,0,-3664.0900243839133,-1161.2235642009182,-4825.3135885848314
395,42 Wholesale Trade,-2339320.7999999998,-42239.137207603548,-26885.857052267536,-2408445.7942598709
396,44-45 Retail trade,0,-5179.6040991072277,-65598.650123496103,-70778.254222603326
408,48-49 Transportation & Warehousing,0,-92020.847125693792,-16400.149014812079,-108420.99614050587
417,51-56 Professional Services,0,-239516.28407936869,-230910.15177600057,-470426.4358553692
472,"61-72 Educational, Health, Recreation Service",0,-33093.045833408636,-190617.27521268229,-223710.32104609092
520,92 Government & non NAICs,0,-1980.1149224595631,-2618.2271181205515,-4598.3420405801144
