Impact Detail for  Employment ,,,,,
Sector,Description,Direct,Indirect,Induced,Total
0,Total,-2.1299135684967041,-0.72688646860022676,-0.57496876537761499,-3.4317688024745467
1,"11 Ag, Forestry, Fish & Hunting",0,-0.00024800221211226215,-0.0036546123895182595,-0.0039026146016305223
20,21 Mining,0,-0.00080207314355128072,-0.00065422109993842957,-0.0014562942434897103
41,22 Utilities,0,-0.00098332973380266492,-0.00062589515859318363,-0.0016092248923958487
52,23 Construction,0,-0.0094757715621202453,-0.0054021691575773887,-0.014877940719697634
65,31-33 Manufacturing,0,-0.022172734200946759,-0.002404171058848372,-0.024576905259795122
395,42 Wholesale Trade,-2.1299135684967041,-0.019688847648164181,-0.0082155980707224029,-2.1578180142155907
396,44-45 Retail trade,0,-0.010582230154184819,-0.10773931901693323,-0.11832154917111805
408,48-49 Transportation & Warehousing,0,-0.13813597063476052,-0.010065852570927169,-0.14820182320568767
417,51-56 Professional Services,0,-0.42330954984463465,-0.10135050548406056,-0.5246600553286952
472,"61-72 Educational, Health, Recreation Service",0,-0.10148795946594941,-0.33485642137049598,-0.43634438083644539
520,92 Government & non NAICs,0,0,0,0
