Impact Detail for  Output ,,,,,
Sector,Description,Direct,Indirect,Induced,Total
0,Total,-798954.31000000006,-121414.45487623826,-99454.267762184783,-1019823.032638423
1,"11 Ag, Forestry, Fish & Hunting",0,-53.173678681833003,-668.7299579443079,-721.90363662614095
20,21 Mining,0,-138.52890325135994,-89.69424082890157,-228.22314408026148
41,22 Utilities,0,-4380.7649767161292,-2546.7768521142284,-6927.5418288303581
52,23 Construction,0,-2995.0289717789728,-1413.7770968806933,-4408.8060686596664
65,31-33 Manufacturing,0,-1360.3059136772929,-253.21849254070827,-1613.5244062180013
395,42 Wholesale Trade,-798954.31000000006,-17059.505008454318,-6972.037929255278,-822985.85293770966
396,44-45 Retail trade,0,-1160.2421298616782,-12652.99381816266,-13813.235948024339
408,48-49 Transportation & Warehousing,0,-32815.598273247029,-3508.4231945886463,-36324.021467835672
417,51-56 Professional Services,0,-51805.879944908607,-42365.063895036539,-94170.943839945132
472,"61-72 Educational, Health, Recreation Service",0,-9645.4270756610385,-28983.552284832826,-38628.97936049386
520,92 Government & non NAICs,0,0,0,0
