Impact Detail for  Employment ,,,,,
Sector,Description,Direct,Indirect,Induced,Total
0,Total,-34.195949554443359,-15.680286430242463,-15.697130117262825,-65.573366101948636
1,"11 Ag, Forestry, Fish & Hunting",0,-0.0014478584004564152,-0.014910581791482873,-0.016358440191939286
20,21 Mining,0,-0.0016656108077207847,-0.001488130461730906,-0.0031537412694516908
41,22 Utilities,0,-0.038720887694413293,-0.031418671819818847,-0.070139559514232147
52,23 Construction,0,-0.13655236997093931,-0.090231808292958376,-0.22678417826389768
65,31-33 Manufacturing,0,-0.42798615308870441,-0.05055053060845778,-0.47853668369716246
395,42 Wholesale Trade,-34.195949554443359,-0.73209815483247975,-0.40804190656081962,-35.336089615836656
396,44-45 Retail trade,0,-0.21720328138510062,-2.6803246703248549,-2.8975279517099555
408,48-49 Transportation & Warehousing,0,-1.9475203787762263,-0.29484067601655856,-2.2423610547927848
417,51-56 Professional Services,0,-10.049441581699826,-3.2650426633623271,-13.314484245062154
472,"61-72 Educational, Health, Recreation Service",0,-2.1081697444914456,-8.8386985396128068,-10.946868284104248
520,92 Government & non NAICs,0,-0.0194804090951506,-0.021581938411008156,-0.041062347506158753
