Impact Detail for  Output ,,,,,
Sector,Description,Direct,Indirect,Induced,Total
0,Total,-8426548,-2270043.6779094129,-1945845.909901496,-12642437.587810913
1,"11 Ag, Forestry, Fish & Hunting",0,-60.260951406050999,-539.14969147785553,-599.41064288390646
20,21 Mining,0,-282.35487998646022,-265.52491108748211,-547.87979107394222
41,22 Utilities,0,-53651.375941224447,-39059.687915319053,-92711.063856543507
52,23 Construction,0,-22086.580395742902,-15200.845856420187,-37287.426252163088
65,31-33 Manufacturing,0,-64699.089899287996,-9828.6555040401672,-74527.745403328197
395,42 Wholesale Trade,-8426548,-180403.25425481796,-100549.47868671556,-8707500.7329415344
396,44-45 Retail trade,0,-17753.146884524693,-218272.44681715022,-236025.59370167489
408,48-49 Transportation & Warehousing,0,-240686.22933972371,-48855.20592341607,-289541.43526313972
417,51-56 Professional Services,0,-1570701.5920028272,-885851.34104591038,-2456552.9330487377
472,"61-72 Educational, Health, Recreation Service",0,-113767.23943219338,-620828.86336559569,-734596.10279778927
520,92 Government & non NAICs,0,-5952.5539276781492,-6594.7101843633709,-12547.264112041521
