Impact Detail for  Output ,,,,,
Sector,Description,Direct,Indirect,Induced,Total
0,Total,-30789566,-10258060.023605265,-9203790.0347349755,-50251416.058340229
1,"11 Ag, Forestry, Fish & Hunting",0,-99.297757643824909,-989.65988251937893,-1088.9576401632037
20,21 Mining,0,-10787.693281746919,-12304.1546115702,-23091.847893317121
41,22 Utilities,0,-340793.96658164111,-286814.95674738893,-627608.92332902993
52,23 Construction,0,-138008.22958536822,-99663.857084856747,-237672.08667022496
65,31-33 Manufacturing,0,-227619.84003018052,-312857.89488135284,-540477.73491153296
395,42 Wholesale Trade,-30789566,-596135.72848105431,-376070.0231357757,-31761771.751616828
396,44-45 Retail trade,0,-62146.440246428676,-847523.78499520279,-909670.2252416315
408,48-49 Transportation & Warehousing,0,-1717916.5583397267,-354451.55930296669,-2072368.1176426935
417,51-56 Professional Services,0,-6532009.1605934594,-3716491.4197119963,-10248500.580305453
472,"61-72 Educational, Health, Recreation Service",0,-631973.08998486691,-3195544.7500001234,-3827517.8399849916
520,92 Government & non NAICs,0,-570.01872314654429,-1077.9743812230131,-1647.9931043695574
