Impact Detail for  Employment ,,,,,
Sector,Description,Direct,Indirect,Induced,Total
0,Total,-0.87916678190231323,-0.33765313063422764,-0.26414621477467154,-1.4809661273112122
1,"11 Ag, Forestry, Fish & Hunting",0,-0.000140877600037737,-0.0018952147701257057,-0.0020360923701634431
20,21 Mining,0,-0.0003630999583669023,-0.00019691705122011995,-0.00056001700958702215
41,22 Utilities,0,-6.5231036902765524E-05,-9.1575195980293453E-05,-0.00015680623288305898
52,23 Construction,0,-0.0038771575293164691,-0.0017772293975953644,-0.0056543869269118337
65,31-33 Manufacturing,0,-0.0027359027001612104,-0.00060625777460194424,-0.0033421604747631535
395,42 Wholesale Trade,-0.87916678190231323,-0.0069721429500179243,-0.0025100946300000014,-0.8886490194823311
396,44-45 Retail trade,0,-0.0051776612883436979,-0.047565038867459102,-0.052742700155802798
408,48-49 Transportation & Warehousing,0,-0.056943104879299197,-0.0061496417015328422,-0.06309274658083204
417,51-56 Professional Services,0,-0.21472547604832876,-0.049466929679889977,-0.26419240572821862
472,"61-72 Educational, Health, Recreation Service",0,-0.046652476643452984,-0.15388731570626618,-0.20053979234971922
520,92 Government & non NAICs,0,0,0,0
