Regional SAM Balances IO Aggregated Accounts ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Receipts,Description,1,2,3,4,5,6,7,8,9,10,11,5001,6001,7001,8001,10001,10002,10003,10004,10005,10006,10007,10008,10009,11001,11002,11003,12001,12002,12003,13001,14001,14002,25001,28001
1,"11 Ag, Forestry, Fish & Hunting",25871489.685940672,597.39459042655812,207.55148642418408,649683.10898367548,42974398.623164214,4443.5149227270094,3112.8407444172199,13943.683789535369,145223.49603217843,90322.189110825493,,,,,,73889.394454646274,63777.312283688392,186541.23579151704,209486.17792368596,380105.47375950165,693856.70732302405,615938.75011837727,835827.92358463304,559029.85018634517,16.817794853712321,1844.3295923659673,0,52795.289868401669,7275.7198337847285,0,,0,1123616.8314486137,24748514.370380092,212344113.56443736
2,21 Mining,65617.686482936406,2262556.13902784,4735597.5632850882,2054789.9713505083,886673.87990566809,22155.324053615936,85348.909892868061,28119.97216491363,254745.68451136517,64838.815636500374,1648.8160405811748,,,,,6111.3891145479593,5280.6098271406863,18548.805970772635,21932.425309061386,41166.501431223245,74101.999309805396,63811.943380190911,79028.935472323123,40404.921072061414,3129.9030560800575,5880.007910449066,0,93943.339023093242,573.68339682483008,0,,2938872.1960795708,123475.42380141946,3046640.9120198512,17908495.220478959
3,22 Utilities,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,28417457.580566406
4,23 Construction,1281797.1812550421,1512681.7206844282,303373.64261506393,232046.18266033894,5763630.6630885703,790391.64439697634,642275.75583828939,1267248.8360347769,33074718.570818257,2325949.2564208973,181442.8898499436,,,,,0,0,0,0,0,0,0,0,0,542043.63250396261,509067.71774463577,965926.08771493332,5763685.9440370575,39659.041202325978,36996877.745269395,,304509579.1595217,0,114377.50281766057,43939369.227271527
5,31-33 Manufacturing,688488.2174453031,19716.07838538356,45475.809519679133,7726737.2652217932,15252681.479520887,5026883.9385280283,248389.04616621009,5751227.3742353348,10351662.241907079,3237197.6547960052,3641.6148766952315,,,,,73134.004313343699,56465.401187790092,183155.56834294708,206686.06758060242,378864.51792191173,696939.13378269156,647604.72910055821,883438.73815451632,561249.10365721688,21362.984374433065,87625.956908756882,562.33906938391499,362398.18124027061,69224.730652856975,355.21233771544183,,99351.609952567349,85969.130837986377,140963586.14351127,877064514.94228935
6,42 Wholesale Trade,9299053.6764460858,607739.47891533736,99737.235732462184,17152708.086819336,48603101.202316076,4937898.1613626247,2081197.5103456208,2496607.6901847809,6812234.7585874572,4739866.1937678345,66025.556610548549,,,,,1614008.2667844039,1026521.9079831516,4586168.2807985041,5087870.9581082035,7550274.0151411779,12846832.505351597,11456708.248207701,18130339.100210469,12993520.855185309,88367.745811855129,240138.47527860155,173894.69250912487,1141335.4653242654,146.21339372727951,255927.02976678973,,17570704.491893459,642616.28214622522,32836093.902587883,15001873.016357422
7,48-49 Transportation & Warehousing,2828097.4961162219,200150.26297785281,325016.65995451884,8087113.3222502479,19106003.40141286,3245305.7223927449,4250338.9526341632,4835289.9847037978,5089705.6305580372,1864077.6060875438,156035.88678529841,,,,,403929.91364509892,230591.82254380401,1124500.4746320024,1328559.7522639916,2289857.016134419,4447063.010241244,4219414.4623085437,6410558.3281793389,5140220.6198328417,64296.192064861956,242654.7943323332,27209.982820298661,684286.18712008605,193123.46839770177,59231.989803915036,,4900990.5378680667,288725.44564529887,10095362.954502165,5966157.3104328206
8,44-45 Retail trade,176306.98300999173,27649.360446267518,27049.283059011017,47904468.360905625,9999625.7288228869,182762.72815231161,1434136.6601419027,1189820.8950681358,5313118.6683344422,3267571.5763260168,,,,,,3645899.3540229462,2318820.4307566611,10359741.138214866,11493042.283352552,17055389.435411789,29019837.726422645,25879672.135904297,40954803.972573593,29351193.841607653,1205.1923139826945,112.6546989485678,0,15197.596614129943,69351.693652750211,0,,14618550.281208072,0,0,9663922.0714569055
9,51-56 Professional Services,5747076.0301342662,2078592.1036999982,700269.27700843231,21389939.832409795,32960334.404370219,28241014.284186453,7557820.4120559664,29892107.13330033,225169794.29949328,48161344.020677716,676062.02986882592,,,,,10798046.944223005,8320193.5797491251,26963050.47434951,30453893.543223862,54907120.910005614,98431692.986135885,90275611.618160561,124207621.69322079,84252357.7136323,804704.31810232031,2491537.3053856464,2322788.4255547314,7526847.5914566796,3231792.9499371643,691097.46766359382,,58897746.271854311,5965.6457459712728,26562436.588185899,112554796.74982388
