Regional SAM Balances IO Detail Accounts ,,,,
InstitutionPayments,TypeCodesAll.Description,InstitutionReceipts,TypeCodesAll_1.Description,Value
1,Oilseed farming,1,Oilseed farming,0.00011355297423821034
1,Oilseed farming,2,Grain farming,0.0004187947360754004
1,Oilseed farming,3,Vegetable and melon farming,4.9755720721105206E-06
1,Oilseed farming,4,Fruit farming,6.5268341444291514E-05
1,Oilseed farming,5,Tree nut farming,1.62936543511252E-07
1,Oilseed farming,6,"Greenhouse, nursery, and floriculture production",0.00013613968717504036
1,Oilseed farming,10,All other crop farming,0.0014534748890559224
1,Oilseed farming,11,"Beef cattle ranching and farming, including feedlots and dual-purpose ranching and farming",0.00075637468985412931
1,Oilseed farming,12,Dairy cattle and milk production,0.0013567070829300643
1,Oilseed farming,13,Poultry and egg production,1.1723292417555118E-05
1,Oilseed farming,14,"Animal production, except cattle and poultry and eggs",0.00026476755474933757
1,Oilseed farming,19,Support activities for agriculture and forestry,0.018554699996321533
1,Oilseed farming,20,Extraction of natural gas and crude petroleum,0.00023818421226110258
1,Oilseed farming,31,Sand and gravel mining,1.3035808871577357E-05
1,Oilseed farming,62,Maintenance and repair construction of nonresidential structures,0.0031053894268631976
1,Oilseed farming,134,Sawmills,1.7674716353390744E-05
1,Oilseed farming,154,Printing,1.485871989045993E-08
1,Oilseed farming,180,Polish and other sanitation good manufacturing,0.00029458712220906125
1,Oilseed farming,195,Other plastics product manufacturing,6.8673024252225927E-08
1,Oilseed farming,249,Machine shops,5.4559194397841709E-08
1,Oilseed farming,264,Construction machinery manufacturing,4.3800755222560793E-05
1,Oilseed farming,279,"Special tool, die, jig, and fixture manufacturing",1.0801050713161284E-09
1,Oilseed farming,280,Cutting tool and machine tool accessory manufacturing,4.6011528575387215E-09
1,Oilseed farming,394,All other miscellaneous manufacturing,9.7862915287423892E-08
1,Oilseed farming,395,Wholesale trade,0.0027951715120133475
1,Oilseed farming,397,Retail - Furniture and home furnishings stores,2.313167883165643E-07
1,Oilseed farming,398,Retail - Electronics and appliance stores,1.2883509193088059E-07
1,Oilseed farming,399,Retail - Building material and garden equipment and supplies stores,1.1323938173068786E-05
1,Oilseed farming,401,Retail - Health and personal care stores,8.6877133942987197E-06
1,Oilseed farming,402,Retail - Gasoline stores,1.4296802245259495E-05
1,Oilseed farming,403,Retail - Clothing and clothing accessories stores,1.8924470813033115E-05
1,Oilseed farming,404,"Retail - Sporting goods, hobby, musical instrument and book stores",2.4398919479795409E-06
1,Oilseed farming,405,Retail - General merchandise stores,1.1776229682052054E-06
1,Oilseed farming,406,Retail - Miscellaneous store retailers,1.5131602719912541E-05
1,Oilseed farming,407,Retail - Nonstore retailers,7.083963321133542E-05
1,Oilseed farming,408,Air transportation,3.3153866202345053E-05
1,Oilseed farming,411,Truck transportation,0.0020103073058831689
1,Oilseed farming,416,Warehousing and storage,0.00054240536495917674
1,Oilseed farming,429,"Satellite, telecommunications resellers, and all other telecommunications",1.0511084735893806E-05
1,Oilseed farming,433,Monetary authorities and depository credit intermediation,0.00035061546086300778
1,Oilseed farming,434,Nondepository credit intermediation and related activities,5.7354289968409927E-06
1,Oilseed farming,438,"Insurance agencies, brokerages, and related activities",0.00014934050269011737
1,Oilseed farming,440,Real estate,0.0047322470694388941
1,Oilseed farming,443,General and consumer goods rental except video tapes and discs,6.9549865306351658E-06
1,Oilseed farming,445,Commercial and industrial machinery and equipment rental and leasing,5.252153474106765E-05
1,Oilseed farming,446,Lessors of nonfinancial intangible assets,5.7308332200897922E-05
1,Oilseed farming,447,Legal services,1.339477154898948E-05
1,Oilseed farming,449,"Architectural, engineering, and related services",1.8970314078893633E-05
1,Oilseed farming,451,Custom computer programming services,2.3265248835932994E-08
1,Oilseed farming,452,Computer systems design services,3.614429224271063E-08
1,Oilseed farming,454,Management consulting services,4.2698078578058479E-06
1,Oilseed farming,464,Employment services,4.4465975755678671E-07
1,Oilseed farming,468,Services to buildings,8.9324149624528154E-06
1,Oilseed farming,469,Landscape and horticultural services,2.9983735312055467E-06
1,Oilseed farming,471,Waste management and remediation services,1.4844247067555239E-05
1,Oilseed farming,488,Performing arts companies,3.4619504982623014E-07
1,Oilseed farming,496,Other amusement and recreation industries,5.8624717745608783E-05
1,Oilseed farming,499,"Hotels and motels, including casino hotels",2.1733764394221114E-05
1,Oilseed farming,501,Full-service restaurants,2.3123945809510574E-06
1,Oilseed farming,502,Limited-service restaurants,4.2071325828938128E-05
1,Oilseed farming,503,All other food and drinking places,9.388423558963333E-06
