Regional SAM Balances IO Detail Accounts ,,,,
InstitutionPayments,TypeCodesAll.Description,InstitutionReceipts,TypeCodesAll_1.Description,Value
1,Oilseed farming,1,Oilseed farming,0.00078924796269681102
1,Oilseed farming,2,Grain farming,0.0010574918639456032
1,Oilseed farming,3,Vegetable and melon farming,6.9505441948248484E-05
1,Oilseed farming,4,Fruit farming,0.00030948508708895754
1,Oilseed farming,5,Tree nut farming,2.6143962702968894E-07
1,Oilseed farming,6,"Greenhouse, nursery, and floriculture production",0.00025040235762929103
1,Oilseed farming,10,All other crop farming,0.0058173253070999964
1,Oilseed farming,11,"Beef cattle ranching and farming, including feedlots and dual-purpose ranching and farming",0.0027645440101310148
1,Oilseed farming,12,Dairy cattle and milk production,0.0056337424527843349
1,Oilseed farming,13,Poultry and egg production,3.5453461556393326E-05
1,Oilseed farming,14,"Animal production, except cattle and poultry and eggs",0.00041117962114529602
1,Oilseed farming,19,Support activities for agriculture and forestry,0.069892521864999058
1,Oilseed farming,20,Extraction of natural gas and crude petroleum,0.0002297599867725434
1,Oilseed farming,30,Stone mining and quarrying,0.00084779752528958696
1,Oilseed farming,31,Sand and gravel mining,1.0062182431848788E-05
1,Oilseed farming,49,Electric power transmission and distribution,0.0013242702381623533
1,Oilseed farming,50,Natural gas distribution,0.00020724098039560327
1,Oilseed farming,62,Maintenance and repair construction of nonresidential structures,0.011236340224622443
1,Oilseed farming,134,Sawmills,1.6061047496342845E-05
1,Oilseed farming,138,Reconstituted wood product manufacturing,1.4096140726117444E-07
1,Oilseed farming,139,Wood windows and door manufacturing,2.8837996607134798E-06
1,Oilseed farming,141,"Other millwork, including flooring",1.893759473222767E-05
1,Oilseed farming,142,Wood container and pallet manufacturing,3.3324257156123674E-06
1,Oilseed farming,154,Printing,1.9865759614118284E-07
1,Oilseed farming,162,Industrial gas manufacturing,6.6686967488288639E-07
1,Oilseed farming,198,Other rubber product manufacturing,2.8252953734747424E-08
1,Oilseed farming,209,Other concrete product manufacturing,7.7955097566952857E-07
1,Oilseed farming,237,Prefabricated metal buildings and components manufacturing,1.6561366664169736E-05
1,Oilseed farming,249,Machine shops,3.3404821897659754E-07
1,Oilseed farming,262,Farm machinery and equipment manufacturing,0.011609244178506228
1,Oilseed farming,271,All other industrial machinery manufacturing,2.5092734999471124E-09
1,Oilseed farming,278,Industrial mold manufacturing,7.8087562682174055E-10
1,Oilseed farming,280,Cutting tool and machine tool accessory manufacturing,2.0634103119884915E-08
1,Oilseed farming,281,Machine tool manufacturing,4.6832154768235611E-10
1,Oilseed farming,285,Mechanical power transmission equipment manufacturing,1.9147081677705681E-07
1,Oilseed farming,291,Conveyor and conveying equipment manufacturing,3.3094469512163616E-07
1,Oilseed farming,350,Motor vehicle gasoline engine and engine parts manufacturing,1.0865874715425685E-08
1,Oilseed farming,351,Motor vehicle electrical and electronic equipment manufacturing,1.7428745998217623E-05
1,Oilseed farming,394,All other miscellaneous manufacturing,4.4820501995557639E-06
1,Oilseed farming,395,Wholesale trade,0.025500356372242905
1,Oilseed farming,397,Retail - Furniture and home furnishings stores,8.77112770019848E-06
1,Oilseed farming,398,Retail - Electronics and appliance stores,3.0945689526756164E-06
1,Oilseed farming,399,Retail - Building material and garden equipment and supplies stores,4.6192990679263688E-05
1,Oilseed farming,401,Retail - Health and personal care stores,8.3004105474841772E-05
1,Oilseed farming,402,Retail - Gasoline stores,4.9633312356529629E-05
1,Oilseed farming,403,Retail - Clothing and clothing accessories stores,9.5040809638966776E-05
1,Oilseed farming,404,"Retail - Sporting goods, hobby, musical instrument and book stores",2.4165738996955355E-05
1,Oilseed farming,405,Retail - General merchandise stores,0.00022728033244565765
1,Oilseed farming,406,Retail - Miscellaneous store retailers,6.0688504475360939E-05
1,Oilseed farming,407,Retail - Nonstore retailers,0.00018002683821078704
1,Oilseed farming,408,Air transportation,2.9039707685916179E-05
1,Oilseed farming,409,Rail transportation,0.00022006314351958982
1,Oilseed farming,411,Truck transportation,0.0076545079668194904
1,Oilseed farming,416,Warehousing and storage,0.0024139358146674783
1,Oilseed farming,427,Wired telecommunications carriers,0.00019955893376641561
1,Oilseed farming,433,Monetary authorities and depository credit intermediation,0.0064215672045916938
1,Oilseed farming,434,Nondepository credit intermediation and related activities,0.00014486056716769401
1,Oilseed farming,436,Other financial investment activities,4.3098064873538277E-05
1,Oilseed farming,437,Insurance carriers,0.0020673945972206759
1,Oilseed farming,438,"Insurance agencies, brokerages, and related activities",0.00058402266051127763
1,Oilseed farming,440,Real estate,0.016655111824324997
1,Oilseed farming,442,Automotive equipment rental and leasing,0.00050833368269095902
1,Oilseed farming,443,General and consumer goods rental except video tapes and discs,3.8357949223829569E-06
1,Oilseed farming,445,Commercial and industrial machinery and equipment rental and leasing,5.3535492277264046E-05
1,Oilseed farming,446,Lessors of nonfinancial intangible assets,7.0429602672033914E-06
1,Oilseed farming,447,Legal services,0.00011657836940084671
1,Oilseed farming,448,"Accounting, tax preparation, bookkeeping, and payroll services",0.0014277661560829699
1,Oilseed farming,449,"Architectural, engineering, and related services",3.5411803159834812E-05
1,Oilseed farming,451,Custom computer programming services,1.3904999428049215E-07
1,Oilseed farming,452,Computer systems design services,3.7124176078833404E-06
1,Oilseed farming,453,"Other computer related services, including facilities management",2.7844160863454379E-06
1,Oilseed farming,454,Management consulting services,7.7289172756297113E-07
1,Oilseed farming,460,"Marketing research and all other miscellaneous professional, scientific, and technical services",4.5428097474899164E-05
1,Oilseed farming,462,Office administrative services,1.6694780632118124E-05
1,Oilseed farming,464,Employment services,1.0831406084561856E-05
1,Oilseed farming,465,Business support services,4.7177757017749728E-05
1,Oilseed farming,468,Services to buildings,3.5070615485417083E-05
1,Oilseed farming,469,Landscape and horticultural services,1.1368748433458482E-05
1,Oilseed farming,470,Other support services,8.7728620318482098E-07
1,Oilseed farming,471,Waste management and remediation services,0.0003654800329694393
1,Oilseed farming,488,Performing arts companies,1.306270058941739E-06
1,Oilseed farming,491,Promoters of performing arts and sports and agents for public figures,7.4057044486011431E-05
1,Oilseed farming,496,Other amusement and recreation industries,0.00019221807481164567
1,Oilseed farming,499,"Hotels and motels, including casino hotels",7.1841039563153106E-05
1,Oilseed farming,500,Other accommodations,2.8674238077016045E-06
1,Oilseed farming,501,Full-service restaurants,2.4373011645583971E-05
1,Oilseed farming,502,Limited-service restaurants,0.00023786901044335271
1,Oilseed farming,503,All other food and drinking places,0.00014876726177453972
1,Oilseed farming,504,"Automotive repair and maintenance, except car washes",0.00053505015563240499
1,Oilseed farming,506,Electronic and precision equipment repair and maintenance,6.4701326920938579E-05
1,Oilseed farming,507,Commercial and industrial machinery and equipment repair and maintenance,8.7745331716671676E-05
1,Oilseed farming,515,Business and professional associations,0.0010497982602709621
1,Oilseed farming,518,Postal service,7.5300577066888131E-05
1,Oilseed farming,526,Other local government enterprises,0.0040251414570934285
1,Oilseed farming,5001,Employee Compensation,0.013138254173099995
1,Oilseed farming,6001,Proprietor Income,0.309029221534729
1,Oilseed farming,7001,Other Property Type Income,1.0599831342697144
1,Oilseed farming,8001,Tax on Production and Imports,0.029559517279267311
1,Oilseed farming,11001,Federal Government NonDefense,6.5369928944952906E-05
1,Oilseed farming,12001,State/Local Govt NonEducation,0.0049892581823011385
1,Oilseed farming,14002,Inventory Additions/Deletions,0.00022925324826105652
1,Oilseed farming,25001,Foreign Trade,0.029844805468017252
1,Oilseed farming,28001,Domestic Trade,0.26177979204675761
2,Grain farming,1,Oilseed farming,0.0048938267622048448
2,Grain farming,2,Grain farming,0.013035400029684174
2,Grain farming,3,Vegetable and melon farming,0.00048809608545002936
2,Grain farming,4,Fruit farming,0.0021733986974720176
2,Grain farming,5,Tree nut farming,1.8359934654835425E-06
2,Grain farming,6,"Greenhouse, nursery, and floriculture production",0.0017584290679174552
2,Grain farming,10,All other crop farming,0.020967850431478308
2,Grain farming,11,"Beef cattle ranching and farming, including feedlots and dual-purpose ranching and farming",0.02512395354393826
2,Grain farming,12,Dairy cattle and milk production,0.039562581246446626
2,Grain farming,13,Poultry and egg production,0.00024171766925373817
2,Grain farming,14,"Animal production, except cattle and poultry and eggs",0.0039175096240702256
2,Grain farming,19,Support activities for agriculture and forestry,0.49107333588381152
2,Grain farming,20,Extraction of natural gas and crude petroleum,0.0014917372481628444
2,Grain farming,30,Stone mining and quarrying,0.010286352834678381
2,Grain farming,31,Sand and gravel mining,0.00012208475656157528
2,Grain farming,49,Electric power transmission and distribution,0.0034933598034513347
2,Grain farming,50,Natural gas distribution,0.0047183556125164339
2,Grain farming,62,Maintenance and repair construction of nonresidential structures,0.033437977919604123
2,Grain farming,138,Reconstituted wood product manufacturing,6.246226057510392E-07
2,Grain farming,139,Wood windows and door manufacturing,2.7010713961985609E-08
2,Grain farming,142,Wood container and pallet manufacturing,2.0075821281003315E-05
2,Grain farming,154,Printing,1.5671835375668792E-06
2,Grain farming,162,Industrial gas manufacturing,1.8330186818509009E-06
2,Grain farming,198,Other rubber product manufacturing,1.3919995304738516E-07
2,Grain farming,237,Prefabricated metal buildings and components manufacturing,4.1118189207354355E-05
2,Grain farming,249,Machine shops,2.5612817283890356E-06
2,Grain farming,262,Farm machinery and equipment manufacturing,0.060136565992204183
2,Grain farming,271,All other industrial machinery manufacturing,1.9239607692526471E-08
2,Grain farming,278,Industrial mold manufacturing,5.9872867261031828E-09
2,Grain farming,280,Cutting tool and machine tool accessory manufacturing,9.1404336184855773E-08
2,Grain farming,281,Machine tool manufacturing,3.5908090896406142E-09
2,Grain farming,285,Mechanical power transmission equipment manufacturing,9.0865781050906546E-07
2,Grain farming,291,Conveyor and conveying equipment manufacturing,5.5976123541841586E-07
2,Grain farming,350,Motor vehicle gasoline engine and engine parts manufacturing,5.1571713144573964E-08
2,Grain farming,351,Motor vehicle electrical and electronic equipment manufacturing,8.1630940750539172E-05
2,Grain farming,394,All other miscellaneous manufacturing,2.2910452284045403E-05
2,Grain farming,395,Wholesale trade,0.1280544512599775
2,Grain farming,397,Retail - Furniture and home furnishings stores,5.0657166536695851E-05
2,Grain farming,398,Retail - Electronics and appliance stores,1.7872512827087593E-05
2,Grain farming,399,Retail - Building material and garden equipment and supplies stores,0.00026678508574216886
2,Grain farming,400,Retail - Food and beverage stores,0.00037642257228253512
2,Grain farming,401,Retail - Health and personal care stores,0.00047938564458685495
2,Grain farming,402,Retail - Gasoline stores,0.00028665446764762625
2,Grain farming,403,Retail - Clothing and clothing accessories stores,0.00054890295690249169
2,Grain farming,404,"Retail - Sporting goods, hobby, musical instrument and book stores",0.00013956789218602314
2,Grain farming,405,Retail - General merchandise stores,0.00074684972917987702
2,Grain farming,406,Retail - Miscellaneous store retailers,0.00035050312735111777
2,Grain farming,407,Retail - Nonstore retailers,0.0010397351509464636
2,Grain farming,408,Air transportation,0.00017653684249424595
2,Grain farming,409,Rail transportation,0.0016022377896668938
2,Grain farming,411,Truck transportation,0.028792967047253981
2,Grain farming,416,Warehousing and storage,0.0025644464945703271
2,Grain farming,417,Newspaper publishers,9.9037019947150872E-06
2,Grain farming,425,Radio and television broadcasting,1.8698940343549707E-05
2,Grain farming,427,Wired telecommunications carriers,0.00064141541449751205
2,Grain farming,430,"Data processing, hosting, and related services",2.0846148262641351E-06
2,Grain farming,433,Monetary authorities and depository credit intermediation,0.039906631561998474
2,Grain farming,434,Nondepository credit intermediation and related activities,0.0013256772338889056
2,Grain farming,436,Other financial investment activities,0.00017407965127278283
2,Grain farming,437,Insurance carriers,0.019012158950248548
2,Grain farming,438,"Insurance agencies, brokerages, and related activities",0.00092401845256848136
2,Grain farming,440,Real estate,0.12066218030575371
2,Grain farming,442,Automotive equipment rental and leasing,0.0085930002499634561
2,Grain farming,443,General and consumer goods rental except video tapes and discs,4.7186202234887967E-05
2,Grain farming,445,Commercial and industrial machinery and equipment rental and leasing,0.00065856920938921204
2,Grain farming,446,Lessors of nonfinancial intangible assets,7.604249841915503E-05
2,Grain farming,447,Legal services,0.0018387836123243129
2,Grain farming,448,"Accounting, tax preparation, bookkeeping, and payroll services",0.0051803978673140572
2,Grain farming,451,Custom computer programming services,7.3107571064447673E-06
2,Grain farming,452,Computer systems design services,0.00019518577743881521
2,Grain farming,453,"Other computer related services, including facilities management",0.000131199681854096
2,Grain farming,457,"Advertising, public relations, and related services",1.0924963681075415E-06
2,Grain farming,460,"Marketing research and all other miscellaneous professional, scientific, and technical services",0.0079117360616915988
2,Grain farming,462,Office administrative services,2.7239580445303883E-05
2,Grain farming,465,Business support services,0.00015534379314249142
2,Grain farming,466,Travel arrangement and reservation services,0.00024295521753144728
2,Grain farming,468,Services to buildings,0.0022664468091488366
2,Grain farming,469,Landscape and horticultural services,0.00073470810052922442
2,Grain farming,470,Other support services,2.5966004542680131E-05
2,Grain farming,488,Performing arts companies,4.3014222732091958E-06
2,Grain farming,491,Promoters of performing arts and sports and agents for public figures,0.00034837421760173376
2,Grain farming,496,Other amusement and recreation industries,0.00059654334586400903
2,Grain farming,499,"Hotels and motels, including casino hotels",0.00052047245160162514
2,Grain farming,500,Other accommodations,2.0773778345392017E-05
2,Grain farming,501,Full-service restaurants,8.009041839721065E-05
2,Grain farming,502,Limited-service restaurants,0.00083375407792916911
2,Grain farming,503,All other food and drinking places,0.00057032912017443427
2,Grain farming,504,"Automotive repair and maintenance, except car washes",0.0026698443094272384
2,Grain farming,506,Electronic and precision equipment repair and maintenance,0.00032213704551839473
