Regional SAM Balances IO Detail Accounts ,,,,
InstitutionPayments,TypeCodesAll.Description,InstitutionReceipts,TypeCodesAll_1.Description,Value
1,Oilseed farming,1,Oilseed farming,2.4024077144220684E-05
1,Oilseed farming,2,Grain farming,1.0883873715002607E-06
1,Oilseed farming,3,Vegetable and melon farming,5.4912541148707732E-07
1,Oilseed farming,4,Fruit farming,3.4365650572969317E-06
1,Oilseed farming,5,Tree nut farming,4.754658216281367E-08
1,Oilseed farming,6,"Greenhouse, nursery, and floriculture production",3.0700236350252752E-06
1,Oilseed farming,10,All other crop farming,2.0789967796004476E-05
1,Oilseed farming,11,"Beef cattle ranching and farming, including feedlots and dual-purpose ranching and farming",1.2069705458841215E-05
1,Oilseed farming,12,Dairy cattle and milk production,9.904831749635995E-06
1,Oilseed farming,13,Poultry and egg production,4.1577183826694533E-06
1,Oilseed farming,14,"Animal production, except cattle and poultry and eggs",2.864914103496542E-06
1,Oilseed farming,19,Support activities for agriculture and forestry,4.903034876543237E-05
1,Oilseed farming,20,Extraction of natural gas and crude petroleum,1.3159407449930851E-06
1,Oilseed farming,31,Sand and gravel mining,1.1043556925614234E-07
1,Oilseed farming,49,Electric power transmission and distribution,6.144804327757312E-06
1,Oilseed farming,50,Natural gas distribution,1.4866157498717576E-06
1,Oilseed farming,51,"Water, sewage and other systems",1.8327703254792321E-06
1,Oilseed farming,62,Maintenance and repair construction of nonresidential structures,5.3360765785272126E-05
1,Oilseed farming,134,Sawmills,5.2437655878982211E-08
1,Oilseed farming,141,"Other millwork, including flooring",2.4792720907154094E-08
1,Oilseed farming,147,Paper mills,9.8925299771520245E-10
1,Oilseed farming,154,Printing,1.4884282225807675E-09
1,Oilseed farming,163,Synthetic dye and pigment manufacturing,8.25313225583716E-09
1,Oilseed farming,172,Pesticide and other agricultural chemical manufacturing,0.0001501484526659283
1,Oilseed farming,239,Plate work manufacturing,2.07597062518743E-09
1,Oilseed farming,260,Fabricated pipe and pipe fitting manufacturing,8.8364522193949095E-11
1,Oilseed farming,263,Lawn and garden equipment manufacturing,1.8837241018140083E-07
1,Oilseed farming,281,Machine tool manufacturing,2.9437536507324736E-12
1,Oilseed farming,356,Other motor vehicle parts manufacturing,2.9958536435742198E-08
1,Oilseed farming,364,Boat building,2.4034697819700506E-11
1,Oilseed farming,388,Sign manufacturing,2.8907115525250153E-13
1,Oilseed farming,394,All other miscellaneous manufacturing,1.5696448097059845E-09
1,Oilseed farming,395,Wholesale trade,3.7236903843144162E-05
1,Oilseed farming,397,Retail - Furniture and home furnishings stores,1.6902904464539813E-08
1,Oilseed farming,398,Retail - Electronics and appliance stores,1.4856143428991668E-09
1,Oilseed farming,399,Retail - Building material and garden equipment and supplies stores,1.1106885670934285E-07
