Regional SAM Balances IO Detail Accounts ,,,,
InstitutionPayments,TypeCodesAll.Description,InstitutionReceipts,TypeCodesAll_1.Description,Value
1,Oilseed farming,1,Oilseed farming,5.3259093673826115E-07
1,Oilseed farming,2,Grain farming,1.807576094582067E-05
1,Oilseed farming,3,Vegetable and melon farming,2.4377608001665847E-05
1,Oilseed farming,4,Fruit farming,7.468494312261808E-06
1,Oilseed farming,5,Tree nut farming,1.4760968045207762E-08
1,Oilseed farming,6,"Greenhouse, nursery, and floriculture production",4.5696091591797803E-06
1,Oilseed farming,10,All other crop farming,0.00016717469503618656
1,Oilseed farming,11,"Beef cattle ranching and farming, including feedlots and dual-purpose ranching and farming",4.3652218972327177E-05
1,Oilseed farming,12,Dairy cattle and milk production,5.4169543897327095E-05
1,Oilseed farming,13,Poultry and egg production,3.067315235582456E-07
1,Oilseed farming,14,"Animal production, except cattle and poultry and eggs",1.9924858627809336E-06
1,Oilseed farming,19,Support activities for agriculture and forestry,0.00061107996300265033
1,Oilseed farming,20,Extraction of natural gas and crude petroleum,4.0520482817740268E-06
1,Oilseed farming,30,Stone mining and quarrying,2.0597505890616093E-05
1,Oilseed farming,31,Sand and gravel mining,1.0792293913467712E-07
1,Oilseed farming,49,Electric power transmission and distribution,1.9182712293389819E-05
1,Oilseed farming,50,Natural gas distribution,1.101347901787033E-05
1,Oilseed farming,62,Maintenance and repair construction of nonresidential structures,0.00041473096637044578
1,Oilseed farming,134,Sawmills,4.4390211321810541E-09
1,Oilseed farming,141,"Other millwork, including flooring",1.2036427511765121E-09
1,Oilseed farming,142,Wood container and pallet manufacturing,1.5062850642645266E-08
1,Oilseed farming,145,All other miscellaneous wood product manufacturing,2.8680702633644087E-08
1,Oilseed farming,147,Paper mills,1.2056001531344842E-07
1,Oilseed farming,154,Printing,1.7881646358339076E-08
1,Oilseed farming,162,Industrial gas manufacturing,3.8233015532119991E-08
1,Oilseed farming,164,Other basic inorganic chemical manufacturing,3.5852335863379488E-06
1,Oilseed farming,189,Unlaminated plastics profile shape manufacturing,1.7480369185598604E-10
1,Oilseed farming,190,Plastics pipe and pipe fitting manufacturing,6.1762396767375211E-11
1,Oilseed farming,192,Polystyrene foam product manufacturing,3.8073898573719636E-08
1,Oilseed farming,208,Concrete pipe manufacturing,4.914335131727261E-07
1,Oilseed farming,209,Other concrete product manufacturing,5.5919011532802199E-10
1,Oilseed farming,235,"Cutlery, utensil, pot, and pan manufacturing",3.4958464318962727E-08
1,Oilseed farming,239,Plate work manufacturing,8.105860035684875E-08
1,Oilseed farming,248,Spring and wire product manufacturing,1.3396757799682961E-09
1,Oilseed farming,249,Machine shops,6.6541516027923664E-08
1,Oilseed farming,267,Food product machinery manufacturing,1.0279626779006085E-12
1,Oilseed farming,271,All other industrial machinery manufacturing,2.7891351772426792E-11
1,Oilseed farming,276,Heating equipment (except warm air furnaces) manufacturing,5.7905953764977968E-12
1,Oilseed farming,350,Motor vehicle gasoline engine and engine parts manufacturing,1.1298571114222876E-08
1,Oilseed farming,364,Boat building,1.067484323313822E-10
1,Oilseed farming,385,Sporting and athletic goods manufacturing,3.0151947123668374E-11
1,Oilseed farming,388,Sign manufacturing,6.1565544654443161E-12
1,Oilseed farming,389,"Gasket, packing, and sealing device manufacturing",1.2203164961252488E-07
1,Oilseed farming,394,All other miscellaneous manufacturing,1.2987871171168172E-08
1,Oilseed farming,395,Wholesale trade,0.00033071605822530478
1,Oilseed farming,397,Retail - Furniture and home furnishings stores,2.2008192004061044E-07
1,Oilseed farming,398,Retail - Electronics and appliance stores,8.8130372527709687E-08
1,Oilseed farming,399,Retail - Building material and garden equipment and supplies stores,1.313540776770971E-06
1,Oilseed farming,401,Retail - Health and personal care stores,1.3260052019338346E-06
1,Oilseed farming,402,Retail - Gasoline stores,1.5105017725568516E-06
1,Oilseed farming,403,Retail - Clothing and clothing accessories stores,2.8564427469824694E-06
1,Oilseed farming,404,"Retail - Sporting goods, hobby, musical instrument and book stores",6.5933567409203966E-07
1,Oilseed farming,405,Retail - General merchandise stores,6.4643570989122328E-06
1,Oilseed farming,406,Retail - Miscellaneous store retailers,1.7275995542569145E-06
1,Oilseed farming,407,Retail - Nonstore retailers,5.6187084654511397E-06
1,Oilseed farming,408,Air transportation,3.1668691491334423E-07
1,Oilseed farming,409,Rail transportation,8.7629264484432277E-05
1,Oilseed farming,410,Water transportation,2.979948022111727E-05
1,Oilseed farming,411,Truck transportation,0.00025905465167578093
1,Oilseed farming,413,Pipeline transportation,1.1754313936341437E-05
1,Oilseed farming,416,Warehousing and storage,1.7105204821756784E-05
1,Oilseed farming,427,Wired telecommunications carriers,4.1800927366724848E-06
1,Oilseed farming,428,Wireless telecommunications carriers (except satellite),4.9123893138335679E-06
1,Oilseed farming,429,"Satellite, telecommunications resellers, and all other telecommunications",8.4076968973418371E-08
1,Oilseed farming,433,Monetary authorities and depository credit intermediation,0.00022795643239434046
1,Oilseed farming,434,Nondepository credit intermediation and related activities,4.6824239849561325E-06
1,Oilseed farming,436,Other financial investment activities,8.6068680700554994E-07
1,Oilseed farming,437,Insurance carriers,4.1869387819208105E-05
1,Oilseed farming,438,"Insurance agencies, brokerages, and related activities",1.6616249378957268E-05
1,Oilseed farming,440,Real estate,0.00023357792338734446
1,Oilseed farming,442,Automotive equipment rental and leasing,3.2822459253267744E-06
1,Oilseed farming,443,General and consumer goods rental except video tapes and discs,4.3026868306022398E-07
1,Oilseed farming,445,Commercial and industrial machinery and equipment rental and leasing,1.2984062083797748E-05
1,Oilseed farming,446,Lessors of nonfinancial intangible assets,3.8437135502964966E-06
1,Oilseed farming,447,Legal services,3.8806474518717892E-06
1,Oilseed farming,448,"Accounting, tax preparation, bookkeeping, and payroll services",4.71404308766076E-05
1,Oilseed farming,449,"Architectural, engineering, and related services",8.0150821650516285E-07
1,Oilseed farming,451,Custom computer programming services,7.0478425571130054E-09
1,Oilseed farming,452,Computer systems design services,5.825719186528584E-08
1,Oilseed farming,453,"Other computer related services, including facilities management",2.2109032244217971E-07
1,Oilseed farming,454,Management consulting services,4.4331140761090561E-07
1,Oilseed farming,460,"Marketing research and all other miscellaneous professional, scientific, and technical services",1.4150507629865801E-06
1,Oilseed farming,462,Office administrative services,2.7226526335368857E-06
1,Oilseed farming,463,Facilities support services,6.0384372352132712E-08
1,Oilseed farming,464,Employment services,3.0656926420948147E-07
1,Oilseed farming,465,Business support services,5.497352211977396E-07
1,Oilseed farming,468,Services to buildings,3.0710948155962363E-07
1,Oilseed farming,469,Landscape and horticultural services,1.8635121563827425E-07
1,Oilseed farming,470,Other support services,8.6104537241372259E-09
1,Oilseed farming,471,Waste management and remediation services,5.714867950263507E-06
1,Oilseed farming,488,Performing arts companies,7.8199018903255166E-08
1,Oilseed farming,491,Promoters of performing arts and sports and agents for public figures,2.2813500160780522E-07
1,Oilseed farming,496,Other amusement and recreation industries,6.9193324124077458E-06
1,Oilseed farming,499,"Hotels and motels, including casino hotels",4.9311453894249025E-06
1,Oilseed farming,500,Other accommodations,2.618829860458646E-08
1,Oilseed farming,501,Full-service restaurants,6.700823753437343E-07
1,Oilseed farming,502,Limited-service restaurants,9.3434806114865167E-06
1,Oilseed farming,503,All other food and drinking places,2.8976816611305867E-06
1,Oilseed farming,504,"Automotive repair and maintenance, except car washes",1.6416777159024201E-05
1,Oilseed farming,506,Electronic and precision equipment repair and maintenance,1.2777923466273302E-06
1,Oilseed farming,507,Commercial and industrial machinery and equipment repair and maintenance,2.521644189182017E-06
1,Oilseed farming,515,Business and professional associations,8.259967170110797E-05
1,Oilseed farming,518,Postal service,2.1941380678040698E-06
1,Oilseed farming,5001,Employee Compensation,0.00017827231204137206
1,Oilseed farming,6001,Proprietor Income,0.0089343590661883354
1,Oilseed farming,7001,Other Property Type Income,0.031053658574819565
1,Oilseed farming,8001,Tax on Production and Imports,0.00085459667025133967
1,Oilseed farming,11001,Federal Government NonDefense,2.8694115228629916E-06
1,Oilseed farming,12001,State/Local Govt NonEducation,7.9218956864859943E-05
1,Oilseed farming,14002,Inventory Additions/Deletions,4.1312846998333714E-06
1,Oilseed farming,25001,Foreign Trade,0.00085002214173805193
1,Oilseed farming,28001,Domestic Trade,0.0098619063471995939
2,Grain farming,1,Oilseed farming,8.3187964291346617E-05
2,Grain farming,2,Grain farming,0.0048707962041275032
2,Grain farming,3,Vegetable and melon farming,0.0042265776233846308
2,Grain farming,4,Fruit farming,0.0012949085532802662
2,Grain farming,5,Tree nut farming,2.5592985104783399E-06
2,Grain farming,6,"Greenhouse, nursery, and floriculture production",0.00079227662025421752
2,Grain farming,10,All other crop farming,0.014873978006734179
2,Grain farming,11,"Beef cattle ranching and farming, including feedlots and dual-purpose ranching and farming",0.0085205712530800337
2,Grain farming,12,Dairy cattle and milk production,0.0093919043884510556
2,Grain farming,13,Poultry and egg production,5.2382408621551649E-05
2,Grain farming,14,"Animal production, except cattle and poultry and eggs",0.00038818095279984782
2,Grain farming,19,Support activities for agriculture and forestry,0.10598385759908346
2,Grain farming,20,Extraction of natural gas and crude petroleum,0.00064940937304316937
2,Grain farming,30,Stone mining and quarrying,0.0061689318857077735
2,Grain farming,31,Sand and gravel mining,3.2322809866340649E-05
2,Grain farming,49,Electric power transmission and distribution,0.0012491159908080418
2,Grain farming,50,Natural gas distribution,0.0061896435028707675
2,Grain farming,62,Maintenance and repair construction of nonresidential structures,0.030465452594501397
2,Grain farming,128,Womens and girls cut and sew apparel manufacturing,2.8697914140834993E-09
2,Grain farming,142,Wood container and pallet manufacturing,2.2399898930497626E-06
2,Grain farming,145,All other miscellaneous wood product manufacturing,1.0496740293154715E-05
2,Grain farming,147,Paper mills,6.5797602292127447E-06
2,Grain farming,154,Printing,3.352339878033518E-06
2,Grain farming,162,Industrial gas manufacturing,2.594122681165217E-06
2,Grain farming,164,Other basic inorganic chemical manufacturing,0.00024361499636435177
2,Grain farming,189,Unlaminated plastics profile shape manufacturing,6.2437765480450116E-05
2,Grain farming,190,Plastics pipe and pipe fitting manufacturing,6.7556589191471763E-09
2,Grain farming,192,Polystyrene foam product manufacturing,4.409392075421857E-06
2,Grain farming,235,"Cutlery, utensil, pot, and pan manufacturing",3.8020328976365076E-06
2,Grain farming,239,Plate work manufacturing,4.9931162752917067E-06
2,Grain farming,248,Spring and wire product manufacturing,3.2651875596022929E-07
2,Grain farming,249,Machine shops,1.2594094508973234E-05
2,Grain farming,267,Food product machinery manufacturing,4.1691236926180124E-11
2,Grain farming,271,All other industrial machinery manufacturing,5.2789046591983087E-09
2,Grain farming,274,Other commercial service industry machinery manufacturing,1.4081596485920564E-10
2,Grain farming,276,Heating equipment (except warm air furnaces) manufacturing,1.4895791654549937E-07
2,Grain farming,350,Motor vehicle gasoline engine and engine parts manufacturing,1.3298571715209917E-06
2,Grain farming,364,Boat building,1.167629595361226E-08
2,Grain farming,385,Sporting and athletic goods manufacturing,3.2980627812272693E-09
2,Grain farming,388,Sign manufacturing,1.3434904693524462E-07
2,Grain farming,389,"Gasket, packing, and sealing device manufacturing",4.9324943461452088E-06
2,Grain farming,394,All other miscellaneous manufacturing,1.6387810956201095E-06
2,Grain farming,395,Wholesale trade,0.040994893127184184
2,Grain farming,397,Retail - Furniture and home furnishings stores,3.1375875264208052E-05
2,Grain farming,398,Retail - Electronics and appliance stores,1.2564265814998766E-05
2,Grain farming,399,Retail - Building material and garden equipment and supplies stores,0.00018726431651301667
2,Grain farming,400,Retail - Food and beverage stores,0.0002642719310209235
2,Grain farming,401,Retail - Health and personal care stores,0.00018904132405683782
2,Grain farming,402,Retail - Gasoline stores,0.00021534397578256911
2,Grain farming,403,Retail - Clothing and clothing accessories stores,0.00040722741716098243
2,Grain farming,404,"Retail - Sporting goods, hobby, musical instrument and book stores",9.3997882987693557E-05
2,Grain farming,405,Retail - General merchandise stores,0.00052435181725422886
