Regional SAM Balances IO Detail Accounts ,,,,
InstitutionPayments,TypeCodesAll.Description,InstitutionReceipts,TypeCodesAll_1.Description,Value
1,Oilseed farming,5001,Employee Compensation,0
1,Oilseed farming,6001,Proprietor Income,0
1,Oilseed farming,7001,Other Property Type Income,0
1,Oilseed farming,8001,Tax on Production and Imports,0
2,Grain farming,2,Grain farming,0.00047932866854101183
2,Grain farming,3,Vegetable and melon farming,0.0014799048657261615
2,Grain farming,4,Fruit farming,0.00048226158234996458
2,Grain farming,5,Tree nut farming,2.8432813054570029E-07
2,Grain farming,6,"Greenhouse, nursery, and floriculture production",5.4570886307231479E-05
2,Grain farming,9,Sugarcane and sugar beet farming,0.00056857827710875969
2,Grain farming,10,All other crop farming,0.0024129554068615111
2,Grain farming,11,"Beef cattle ranching and farming, including feedlots and dual-purpose ranching and farming",0.0035013104873644896
2,Grain farming,12,Dairy cattle and milk production,0.0019026754852474043
2,Grain farming,13,Poultry and egg production,0.00011574705874436899
2,Grain farming,14,"Animal production, except cattle and poultry and eggs",0.00020912417891252519
2,Grain farming,19,Support activities for agriculture and forestry,0.07453859256634221
2,Grain farming,20,Extraction of natural gas and crude petroleum,0.00021508370892870179
2,Grain farming,49,Electric power transmission and distribution,0.0015944054023286219
2,Grain farming,50,Natural gas distribution,0.000803624534669381
2,Grain farming,62,Maintenance and repair construction of nonresidential structures,0.0061754254005730314
2,Grain farming,123,Other textile product mills,5.2359010368076294E-11
2,Grain farming,138,Reconstituted wood product manufacturing,2.9385081529139441E-07
2,Grain farming,142,Wood container and pallet manufacturing,2.9354793073225896E-05
2,Grain farming,147,Paper mills,2.0692351718975502E-06
2,Grain farming,154,Printing,3.4709945764326781E-06
2,Grain farming,187,Other miscellaneous chemical product manufacturing,3.4936906859433636E-05
2,Grain farming,212,Abrasive product manufacturing,4.7501494183756692E-07
2,Grain farming,229,Ferrous metal foundries,4.4299157236707545E-07
2,Grain farming,238,Fabricated structural metal manufacturing,6.0861739059660698E-08
2,Grain farming,241,Sheet metal work manufacturing,2.5673291965435677E-09
2,Grain farming,249,Machine shops,2.3658465075487661E-08
2,Grain farming,261,Other fabricated metal manufacturing,1.8543319056556418E-06
2,Grain farming,264,Construction machinery manufacturing,0.0013660724329719876
2,Grain farming,280,Cutting tool and machine tool accessory manufacturing,1.4029611327966014E-08
2,Grain farming,281,Machine tool manufacturing,2.0221429162521112E-09
2,Grain farming,345,Heavy duty truck manufacturing,2.2800196464669876E-07
2,Grain farming,346,Motor vehicle body manufacturing,3.5857284788939615E-08
2,Grain farming,367,All other transportation equipment manufacturing,0.0001223461579291131
2,Grain farming,385,Sporting and athletic goods manufacturing,5.2344351369939295E-10
2,Grain farming,388,Sign manufacturing,3.8836349998783545E-08
2,Grain farming,395,Wholesale trade,0.011658094139305186
2,Grain farming,397,Retail - Furniture and home furnishings stores,1.5796533896884164E-06
2,Grain farming,398,Retail - Electronics and appliance stores,1.7904695265425456E-06
2,Grain farming,399,Retail - Building material and garden equipment and supplies stores,3.6776804468430756E-05
2,Grain farming,400,Retail - Food and beverage stores,5.1217173998067359E-05
2,Grain farming,401,Retail - Health and personal care stores,6.7745813571136806E-05
2,Grain farming,402,Retail - Gasoline stores,4.4625023449759455E-05
2,Grain farming,403,Retail - Clothing and clothing accessories stores,3.7838278745287376E-05
2,Grain farming,404,"Retail - Sporting goods, hobby, musical instrument and book stores",1.7859373511829165E-05
2,Grain farming,405,Retail - General merchandise stores,0.00010279759569053679
2,Grain farming,406,Retail - Miscellaneous store retailers,3.400854891140925E-05
2,Grain farming,407,Retail - Nonstore retailers,0.00014322184505510469
2,Grain farming,408,Air transportation,0.00023320556592439957
2,Grain farming,409,Rail transportation,0.00031332110207466651
2,Grain farming,411,Truck transportation,0.004431393134378403
2,Grain farming,416,Warehousing and storage,4.9054800735142887E-05
2,Grain farming,417,Newspaper publishers,8.221084712232754E-07
2,Grain farming,425,Radio and television broadcasting,8.2386061939263391E-07
2,Grain farming,427,Wired telecommunications carriers,4.7606556156465449E-05
2,Grain farming,428,Wireless telecommunications carriers (except satellite),0.0001920095939551749
2,Grain farming,429,"Satellite, telecommunications resellers, and all other telecommunications",2.5500319051583462E-06
2,Grain farming,430,"Data processing, hosting, and related services",2.3705586232090437E-07
2,Grain farming,433,Monetary authorities and depository credit intermediation,0.0051255267040986596
2,Grain farming,434,Nondepository credit intermediation and related activities,0.0004513467467427007
2,Grain farming,436,Other financial investment activities,3.7287328045023434E-05
2,Grain farming,437,Insurance carriers,0.00025944058471396095
2,Grain farming,438,"Insurance agencies, brokerages, and related activities",0.00012726779016910238
2,Grain farming,440,Real estate,0.0089770567458513639
2,Grain farming,443,General and consumer goods rental except video tapes and discs,9.6406626850050652E-06
2,Grain farming,445,Commercial and industrial machinery and equipment rental and leasing,0.0010445005185558132
2,Grain farming,447,Legal services,0.00024940252846923291
2,Grain farming,448,"Accounting, tax preparation, bookkeeping, and payroll services",0.00084273545581867171
2,Grain farming,451,Custom computer programming services,1.0678891455572794E-06
2,Grain farming,452,Computer systems design services,8.0347183712618613E-06
2,Grain farming,453,"Other computer related services, including facilities management",0.00010214052199419409
2,Grain farming,457,"Advertising, public relations, and related services",2.9522907903513606E-07
2,Grain farming,460,"Marketing research and all other miscellaneous professional, scientific, and technical services",0.0010358844968055836
2,Grain farming,462,Office administrative services,8.5873541338260008E-06
2,Grain farming,465,Business support services,3.1468156712330712E-06
2,Grain farming,466,Travel arrangement and reservation services,1.2578056819519319E-05
2,Grain farming,468,Services to buildings,0.00010507909100157011
2,Grain farming,469,Landscape and horticultural services,4.1206226058360627E-05
2,Grain farming,470,Other support services,4.5118391906484611E-06
2,Grain farming,473,"Junior colleges, colleges, universities, and professional schools",2.9896646592798793E-05
2,Grain farming,488,Performing arts companies,1.5233002490947439E-06
2,Grain farming,496,Other amusement and recreation industries,0.00010271225033898265
2,Grain farming,499,"Hotels and motels, including casino hotels",0.00020861413318942063
2,Grain farming,500,Other accommodations,7.8481007530103287E-07
2,Grain farming,501,Full-service restaurants,6.727482338847728E-06
