Regional SAM Balances IO Detail Accounts ,,,,
InstitutionPayments,TypeCodesAll.Description,InstitutionReceipts,TypeCodesAll_1.Description,Value
1,Oilseed farming,1,Oilseed farming,0.063341681507820269
1,Oilseed farming,2,Grain farming,0.042658516304401317
1,Oilseed farming,3,Vegetable and melon farming,0.0033032168825045116
1,Oilseed farming,4,Fruit farming,0.00085338437747758955
1,Oilseed farming,5,Tree nut farming,2.1213959004254042E-08
1,Oilseed farming,6,"Greenhouse, nursery, and floriculture production",0.0017865825416961412
1,Oilseed farming,10,All other crop farming,0.07337904782176885
1,Oilseed farming,11,"Beef cattle ranching and farming, including feedlots and dual-purpose ranching and farming",0.019958650189155769
1,Oilseed farming,12,Dairy cattle and milk production,0.013660353552654714
1,Oilseed farming,13,Poultry and egg production,0.00028107991997147058
1,Oilseed farming,14,"Animal production, except cattle and poultry and eggs",0.0067649011879228338
1,Oilseed farming,19,Support activities for agriculture and forestry,0.3168321732680468
1,Oilseed farming,20,Extraction of natural gas and crude petroleum,0.00095012492071125387
1,Oilseed farming,30,Stone mining and quarrying,0.009373633300937545
1,Oilseed farming,31,Sand and gravel mining,0.0003146853722883064
1,Oilseed farming,50,Natural gas distribution,0.00033888292343610404
1,Oilseed farming,62,Maintenance and repair construction of nonresidential structures,0.23668664253317928
1,Oilseed farming,123,Other textile product mills,3.5571415069472257E-08
1,Oilseed farming,134,Sawmills,3.6995147616831689E-06
1,Oilseed farming,141,"Other millwork, including flooring",3.5923247824272593E-06
1,Oilseed farming,142,Wood container and pallet manufacturing,0.0003774303918374286
1,Oilseed farming,145,All other miscellaneous wood product manufacturing,2.4091513142487659E-05
1,Oilseed farming,151,Stationery product manufacturing,3.1590173510436109E-08
1,Oilseed farming,152,Sanitary paper product manufacturing,0.00016653560231198392
1,Oilseed farming,154,Printing,2.4878742483201862E-06
1,Oilseed farming,185,Custom compounding of purchased resins,2.6629003669234965E-06
1,Oilseed farming,187,Other miscellaneous chemical product manufacturing,5.0110699149901079E-05
1,Oilseed farming,195,Other plastics product manufacturing,6.9484805489952381E-05
1,Oilseed farming,197,Rubber and plastics hoses and belting manufacturing,5.7968757816674252E-05
1,Oilseed farming,208,Concrete pipe manufacturing,0.00020910665249574897
1,Oilseed farming,209,Other concrete product manufacturing,8.8716131795150337E-07
1,Oilseed farming,213,Cut stone and stone product manufacturing,7.9726332434040814E-05
1,Oilseed farming,229,Ferrous metal foundries,8.3150114209397123E-08
1,Oilseed farming,234,Crown and closure manufacturing and metal stamping,2.9705478599298336E-07
1,Oilseed farming,236,Handtool manufacturing,9.3596686694032843E-06
1,Oilseed farming,239,Plate work manufacturing,4.6430060352993519E-05
1,Oilseed farming,246,"Metal barrels, drums and pails manufacturing",2.040630004547575E-07
1,Oilseed farming,248,Spring and wire product manufacturing,9.4376704660753975E-07
1,Oilseed farming,249,Machine shops,2.2784724324110975E-06
1,Oilseed farming,254,"Valve and fittings, other than plumbing, manufacturing",4.0856071511323613E-08
1,Oilseed farming,260,Fabricated pipe and pipe fitting manufacturing,1.9204596215387676E-07
1,Oilseed farming,261,Other fabricated metal manufacturing,4.7763433448454575E-06
1,Oilseed farming,262,Farm machinery and equipment manufacturing,0.0018521422061920645
1,Oilseed farming,271,All other industrial machinery manufacturing,3.7990818065212895E-08
1,Oilseed farming,278,Industrial mold manufacturing,9.2289394154111093E-08
1,Oilseed farming,279,"Special tool, die, jig, and fixture manufacturing",1.4549486217640639E-08
1,Oilseed farming,280,Cutting tool and machine tool accessory manufacturing,2.1540546795892527E-07
1,Oilseed farming,281,Machine tool manufacturing,8.1195339058331234E-09
1,Oilseed farming,291,Conveyor and conveying equipment manufacturing,2.8243321461043339E-07
1,Oilseed farming,292,"Overhead cranes, hoists, and monorail systems manufacturing",6.8380602997713115E-07
1,Oilseed farming,335,Relay and industrial control manufacturing,5.5157125291355748E-08
1,Oilseed farming,343,Automobile manufacturing,1.4262256992806721E-05
1,Oilseed farming,346,Motor vehicle body manufacturing,9.5893919455852667E-08
1,Oilseed farming,351,Motor vehicle electrical and electronic equipment manufacturing,9.9305924263146106E-05
1,Oilseed farming,353,Motor vehicle transmission and power train parts manufacturing,6.4647332536571175E-07
1,Oilseed farming,356,Other motor vehicle parts manufacturing,5.488872815395153E-05
1,Oilseed farming,364,Boat building,3.6701684016679533E-08
1,Oilseed farming,385,Sporting and athletic goods manufacturing,1.0492620998057292E-08
1,Oilseed farming,386,"Doll, toy, and game manufacturing",2.0502242348852145E-08
1,Oilseed farming,388,Sign manufacturing,1.0941998260353218E-08
1,Oilseed farming,394,All other miscellaneous manufacturing,1.1657467003001361E-05
1,Oilseed farming,395,Wholesale trade,0.21151821403346816
1,Oilseed farming,397,Retail - Furniture and home furnishings stores,3.5514382531478227E-05
1,Oilseed farming,398,Retail - Electronics and appliance stores,4.2089825886557422E-05
1,Oilseed farming,399,Retail - Building material and garden equipment and supplies stores,0.00072842415068150035
1,Oilseed farming,401,Retail - Health and personal care stores,0.00090387701581116919
1,Oilseed farming,402,Retail - Gasoline stores,0.00047782440847646268
1,Oilseed farming,403,Retail - Clothing and clothing accessories stores,0.0011785460537858117
1,Oilseed farming,404,"Retail - Sporting goods, hobby, musical instrument and book stores",0.00017370963115562188
1,Oilseed farming,405,Retail - General merchandise stores,0.0035860507836490974
1,Oilseed farming,406,Retail - Miscellaneous store retailers,0.00067713271925687324
1,Oilseed farming,407,Retail - Nonstore retailers,0.0024857544026146705
1,Oilseed farming,409,Rail transportation,0.024149522708212245
1,Oilseed farming,411,Truck transportation,0.1485412910400008
1,Oilseed farming,413,Pipeline transportation,0.0065052453580755065
1,Oilseed farming,416,Warehousing and storage,0.098345008498252895
1,Oilseed farming,418,Periodical publishers,0.00072281947269416114
1,Oilseed farming,422,Software publishers,3.7453988752621237E-06
1,Oilseed farming,427,Wired telecommunications carriers,0.0017778291258077617
1,Oilseed farming,428,Wireless telecommunications carriers (except satellite),0.0079630722288315248
1,Oilseed farming,429,"Satellite, telecommunications resellers, and all other telecommunications",3.581902665620966E-05
1,Oilseed farming,433,Monetary authorities and depository credit intermediation,0.054469175496367761
1,Oilseed farming,434,Nondepository credit intermediation and related activities,0.0030413033204559903
1,Oilseed farming,435,Securities and commodity contracts intermediation and brokerage,0.00025490288789606352
1,Oilseed farming,436,Other financial investment activities,0.003873244601948489
1,Oilseed farming,437,Insurance carriers,0.16659742206059036
1,Oilseed farming,438,"Insurance agencies, brokerages, and related activities",0.0012688707652948328
1,Oilseed farming,440,Real estate,0.25103778250620934
1,Oilseed farming,442,Automotive equipment rental and leasing,0.0044779593576033117
1,Oilseed farming,443,General and consumer goods rental except video tapes and discs,7.3599321429394099E-05
1,Oilseed farming,445,Commercial and industrial machinery and equipment rental and leasing,0.015144419559529609
1,Oilseed farming,446,Lessors of nonfinancial intangible assets,0.00064649346653629369
1,Oilseed farming,447,Legal services,0.00076002731503758969
1,Oilseed farming,448,"Accounting, tax preparation, bookkeeping, and payroll services",0.016306470823124197
1,Oilseed farming,449,"Architectural, engineering, and related services",0.0012963675151306253
1,Oilseed farming,451,Custom computer programming services,1.7032703912523914E-05
1,Oilseed farming,452,Computer systems design services,0.00024578100442436412
1,Oilseed farming,453,"Other computer related services, including facilities management",0.0004530461257271079
1,Oilseed farming,454,Management consulting services,0.00018234400745737595
1,Oilseed farming,460,"Marketing research and all other miscellaneous professional, scientific, and technical services",0.00024594768172288978
1,Oilseed farming,462,Office administrative services,7.3949945380673288E-05
1,Oilseed farming,463,Facilities support services,9.4748264114798142E-05
1,Oilseed farming,464,Employment services,0.00062396547772312905
1,Oilseed farming,465,Business support services,0.0011825359172566718
1,Oilseed farming,468,Services to buildings,0.00025436911034234372
1,Oilseed farming,469,Landscape and horticultural services,0.00023444530733086888
1,Oilseed farming,470,Other support services,2.3796792401628662E-05
1,Oilseed farming,471,Waste management and remediation services,0.0010239561546640519
1,Oilseed farming,473,"Junior colleges, colleges, universities, and professional schools",0.0019193300850200989
1,Oilseed farming,488,Performing arts companies,0.00038162152600839522
1,Oilseed farming,490,Racing and Track Operation,4.9333930296638698E-05
1,Oilseed farming,496,Other amusement and recreation industries,0.0011470307812816438
1,Oilseed farming,499,"Hotels and motels, including casino hotels",0.0023462895590609101
1,Oilseed farming,500,Other accommodations,4.9203024865622199E-07
1,Oilseed farming,501,Full-service restaurants,0.0003031385597321995
1,Oilseed farming,502,Limited-service restaurants,0.005759421902301054
1,Oilseed farming,503,All other food and drinking places,0.0014543967367267041
1,Oilseed farming,504,"Automotive repair and maintenance, except car washes",0.0080305941732672359
1,Oilseed farming,506,Electronic and precision equipment repair and maintenance,0.0027619183677757286
1,Oilseed farming,507,Commercial and industrial machinery and equipment repair and maintenance,0.00064035142859554528
1,Oilseed farming,515,Business and professional associations,0.061316625236669253
1,Oilseed farming,518,Postal service,0.00064423797675322581
1,Oilseed farming,526,Other local government enterprises,0.0059311810672318943
1,Oilseed farming,5001,Employee Compensation,0.17239929735660553
1,Oilseed farming,6001,Proprietor Income,4.9080324172973633
