Regional SAM Balances IO Detail Accounts ,,,,
InstitutionPayments,TypeCodesAll.Description,InstitutionReceipts,TypeCodesAll_1.Description,Value
1,Oilseed farming,1,Oilseed farming,1.084039774676647E-06
1,Oilseed farming,2,Grain farming,1.0884070852093791E-05
1,Oilseed farming,3,Vegetable and melon farming,3.1418002275345564E-05
1,Oilseed farming,4,Fruit farming,7.8570043158878193E-06
1,Oilseed farming,5,Tree nut farming,3.1631561435677932E-09
1,Oilseed farming,6,"Greenhouse, nursery, and floriculture production",8.4406669567627449E-05
1,Oilseed farming,10,All other crop farming,0.00011963259316263245
1,Oilseed farming,11,"Beef cattle ranching and farming, including feedlots and dual-purpose ranching and farming",8.724852816860678E-05
1,Oilseed farming,12,Dairy cattle and milk production,3.5780183957461473E-05
1,Oilseed farming,13,Poultry and egg production,3.8930825538276094E-06
1,Oilseed farming,14,"Animal production, except cattle and poultry and eggs",1.5204779924462143E-05
1,Oilseed farming,19,Support activities for agriculture and forestry,0.00018690003649502601
1,Oilseed farming,20,Extraction of natural gas and crude petroleum,1.8291994551549329E-06
1,Oilseed farming,31,Sand and gravel mining,1.946509190139832E-07
1,Oilseed farming,49,Electric power transmission and distribution,1.3003005906957904E-05
1,Oilseed farming,50,Natural gas distribution,9.3060279288357259E-06
1,Oilseed farming,62,Maintenance and repair construction of nonresidential structures,0.00018765345352153573
1,Oilseed farming,120,Curtain and linen mills,3.4092152972157813E-10
1,Oilseed farming,121,Textile bag and canvas mills,1.8934518535947897E-10
1,Oilseed farming,123,Other textile product mills,3.0536704876595907E-11
1,Oilseed farming,130,Apparel accessories and other apparel manufacturing,1.0323418083465657E-12
1,Oilseed farming,134,Sawmills,1.6235505671678802E-07
1,Oilseed farming,145,All other miscellaneous wood product manufacturing,1.2737318190895124E-06
1,Oilseed farming,154,Printing,4.7984734996101115E-08
1,Oilseed farming,167,Synthetic rubber manufacturing,7.2681453932372909E-08
1,Oilseed farming,188,Plastics packaging materials and unlaminated film and sheet manufacturing,5.9157231508851942E-10
1,Oilseed farming,195,Other plastics product manufacturing,2.159502148237359E-08
1,Oilseed farming,213,Cut stone and stone product manufacturing,3.5989166199885838E-08
1,Oilseed farming,238,Fabricated structural metal manufacturing,3.1297503750078516E-10
1,Oilseed farming,254,"Valve and fittings, other than plumbing, manufacturing",6.6078924099086821E-13
1,Oilseed farming,263,Lawn and garden equipment manufacturing,2.455853172159822E-07
1,Oilseed farming,275,Air purification and ventilation equipment manufacturing,1.7982597374078104E-11
1,Oilseed farming,279,"Special tool, die, jig, and fixture manufacturing",2.2796194169618272E-12
1,Oilseed farming,281,Machine tool manufacturing,1.7084329488066255E-11
1,Oilseed farming,300,"Scales, balances, and miscellaneous general purpose machinery manufacturing",5.8916049583623689E-10
1,Oilseed farming,333,Motor and generator manufacturing,2.0247707662844686E-09
1,Oilseed farming,356,Other motor vehicle parts manufacturing,1.757144444802653E-07
1,Oilseed farming,388,Sign manufacturing,3.0973189615600164E-12
1,Oilseed farming,394,All other miscellaneous manufacturing,2.4527361150852946E-08
1,Oilseed farming,395,Wholesale trade,0.00020472493486000352
1,Oilseed farming,397,Retail - Furniture and home furnishings stores,1.7673456271749805E-07
1,Oilseed farming,398,Retail - Electronics and appliance stores,5.6499054842616484E-08
1,Oilseed farming,399,Retail - Building material and garden equipment and supplies stores,9.3071483794092207E-07
1,Oilseed farming,401,Retail - Health and personal care stores,1.5119697544065304E-06
1,Oilseed farming,402,Retail - Gasoline stores,1.1277576896382086E-06
1,Oilseed farming,403,Retail - Clothing and clothing accessories stores,3.2535737147325588E-06
1,Oilseed farming,404,"Retail - Sporting goods, hobby, musical instrument and book stores",4.8690508580962889E-07
1,Oilseed farming,405,Retail - General merchandise stores,4.5750904998140393E-06
1,Oilseed farming,406,Retail - Miscellaneous store retailers,1.2188474970679811E-06
1,Oilseed farming,407,Retail - Nonstore retailers,2.5901749791570731E-06
1,Oilseed farming,408,Air transportation,4.102835822555965E-07
1,Oilseed farming,411,Truck transportation,8.2022471544497197E-05
1,Oilseed farming,413,Pipeline transportation,8.7238809091761038E-08
1,Oilseed farming,416,Warehousing and storage,4.2401084383408318E-05
1,Oilseed farming,422,Software publishers,6.2264392539935991E-09
1,Oilseed farming,427,Wired telecommunications carriers,3.8781716412167756E-06
1,Oilseed farming,428,Wireless telecommunications carriers (except satellite),2.5215968608739096E-05
1,Oilseed farming,433,Monetary authorities and depository credit intermediation,0.00011426728860780382
1,Oilseed farming,434,Nondepository credit intermediation and related activities,9.3009029929457801E-06
1,Oilseed farming,435,Securities and commodity contracts intermediation and brokerage,2.7248389052650482E-07
1,Oilseed farming,436,Other financial investment activities,6.8477321073160926E-07
1,Oilseed farming,437,Insurance carriers,2.7386183221819347E-05
1,Oilseed farming,438,"Insurance agencies, brokerages, and related activities",1.1683541836540767E-05
1,Oilseed farming,440,Real estate,0.00045336134049087096
1,Oilseed farming,442,Automotive equipment rental and leasing,1.9862667723044222E-05
1,Oilseed farming,443,General and consumer goods rental except video tapes and discs,5.5988243362551567E-07
1,Oilseed farming,445,Commercial and industrial machinery and equipment rental and leasing,2.3278087405318284E-05
1,Oilseed farming,446,Lessors of nonfinancial intangible assets,4.5474293238515168E-06
1,Oilseed farming,447,Legal services,2.9885159899705241E-06
1,Oilseed farming,448,"Accounting, tax preparation, bookkeeping, and payroll services",3.4374000871457413E-05
1,Oilseed farming,449,"Architectural, engineering, and related services",9.0699117751387925E-07
1,Oilseed farming,451,Custom computer programming services,1.117513545766906E-08
1,Oilseed farming,452,Computer systems design services,1.2248488073411699E-07
1,Oilseed farming,453,"Other computer related services, including facilities management",3.111854682982656E-07
1,Oilseed farming,454,Management consulting services,2.2313390786283E-07
1,Oilseed farming,460,"Marketing research and all other miscellaneous professional, scientific, and technical services",8.3464899402983512E-07
1,Oilseed farming,462,Office administrative services,2.3378977520163202E-07
1,Oilseed farming,463,Facilities support services,1.2433210940852391E-08
1,Oilseed farming,464,Employment services,7.9592046756228683E-07
1,Oilseed farming,465,Business support services,5.8448564915086843E-07
1,Oilseed farming,468,Services to buildings,4.585125550991713E-07
1,Oilseed farming,469,Landscape and horticultural services,4.6524025680667408E-07
1,Oilseed farming,470,Other support services,5.9755537994121394E-09
1,Oilseed farming,471,Waste management and remediation services,2.8577020573043168E-06
1,Oilseed farming,488,Performing arts companies,3.5417702677842606E-07
1,Oilseed farming,491,Promoters of performing arts and sports and agents for public figures,3.1424699393254346E-07
1,Oilseed farming,496,Other amusement and recreation industries,5.0728443056589781E-06
1,Oilseed farming,499,"Hotels and motels, including casino hotels",2.0395813170675202E-05
1,Oilseed farming,500,Other accommodations,6.2079824776045956E-08
1,Oilseed farming,501,Full-service restaurants,6.3654063773801355E-07
1,Oilseed farming,502,Limited-service restaurants,8.409811196417405E-06
1,Oilseed farming,503,All other food and drinking places,2.0778322469342376E-06
1,Oilseed farming,504,"Automotive repair and maintenance, except car washes",1.0486931941858192E-05
1,Oilseed farming,506,Electronic and precision equipment repair and maintenance,2.386589361614037E-06
1,Oilseed farming,507,Commercial and industrial machinery and equipment repair and maintenance,6.4496862388985297E-07
1,Oilseed farming,515,Business and professional associations,4.4422062921400853E-05
1,Oilseed farming,518,Postal service,1.5517500839267866E-06
1,Oilseed farming,526,Other local government enterprises,0.00018426187787752048
1,Oilseed farming,5001,Employee Compensation,0.00019712453649844974
1,Oilseed farming,6001,Proprietor Income,0.0062731844373047352
1,Oilseed farming,7001,Other Property Type Income,0.021658267825841904
1,Oilseed farming,8001,Tax on Production and Imports,0.00060004781698808074
1,Oilseed farming,11001,Federal Government NonDefense,1.2584998405006093E-06
1,Oilseed farming,12001,State/Local Govt NonEducation,0.00021970759362368645
1,Oilseed farming,14002,Inventory Additions/Deletions,2.4844790923019919E-06
1,Oilseed farming,25001,Foreign Trade,0.00060141288852931258
1,Oilseed farming,28001,Domestic Trade,0.0067131402309494543
2,Grain farming,1,Oilseed farming,5.0160047776252837E-05
2,Grain farming,2,Grain farming,0.00073107615156362687
2,Grain farming,3,Vegetable and melon farming,0.0015366781361810661
2,Grain farming,4,Fruit farming,0.00038429246948096935
2,Grain farming,5,Tree nut farming,1.5471253682606393E-07
2,Grain farming,6,"Greenhouse, nursery, and floriculture production",0.0041283938510568163
2,Grain farming,10,All other crop farming,0.0030017771872391241
2,Grain farming,11,"Beef cattle ranching and farming, including feedlots and dual-purpose ranching and farming",0.0053112722496727327
2,Grain farming,12,Dairy cattle and milk production,0.0017500359691835499
2,Grain farming,13,Poultry and egg production,0.00018715342173280473
2,Grain farming,14,"Animal production, except cattle and poultry and eggs",0.00091829224144265517
2,Grain farming,19,Support activities for agriculture and forestry,0.0091416247858258637
2,Grain farming,20,Extraction of natural gas and crude petroleum,8.2675599124355965E-05
2,Grain farming,31,Sand and gravel mining,1.6440844616553616E-05
2,Grain farming,49,Electric power transmission and distribution,0.00023878600100515034
2,Grain farming,50,Natural gas distribution,0.0014749515886170253
2,Grain farming,62,Maintenance and repair construction of nonresidential structures,0.0038874968606017468
2,Grain farming,120,Curtain and linen mills,1.2062615025107248E-08
2,Grain farming,121,Textile bag and canvas mills,1.3999225072105097E-08
2,Grain farming,123,Other textile product mills,3.2118081463569346E-11
2,Grain farming,145,All other miscellaneous wood product manufacturing,0.00013288859230016752
2,Grain farming,154,Printing,2.1199659965680533E-06
2,Grain farming,167,Synthetic rubber manufacturing,1.9487232621932078E-06
2,Grain farming,188,Plastics packaging materials and unlaminated film and sheet manufacturing,5.3384893741357468E-07
2,Grain farming,195,Other plastics product manufacturing,6.673436570038843E-07
2,Grain farming,213,Cut stone and stone product manufacturing,3.0390812564031318E-06
2,Grain farming,238,Fabricated structural metal manufacturing,5.4093595554020422E-09
2,Grain farming,263,Lawn and garden equipment manufacturing,8.0872814235365934E-06
2,Grain farming,275,Air purification and ventilation equipment manufacturing,6.6133410003467282E-10
2,Grain farming,279,"Special tool, die, jig, and fixture manufacturing",1.2167711552678709E-10
2,Grain farming,281,Machine tool manufacturing,9.1189425511293773E-10
2,Grain farming,300,"Scales, balances, and miscellaneous general purpose machinery manufacturing",2.000164941321112E-08
2,Grain farming,333,Motor and generator manufacturing,7.2049529544497235E-08
2,Grain farming,356,Other motor vehicle parts manufacturing,6.699245893032347E-06
2,Grain farming,388,Sign manufacturing,5.4817385170279034E-09
2,Grain farming,394,All other miscellaneous manufacturing,8.7278272459116372E-07
2,Grain farming,395,Wholesale trade,0.007156777853404156
2,Grain farming,397,Retail - Furniture and home furnishings stores,7.1056740592139974E-06
2,Grain farming,398,Retail - Electronics and appliance stores,2.2715641454829522E-06
2,Grain farming,399,Retail - Building material and garden equipment and supplies stores,3.7419713443648901E-05
2,Grain farming,400,Retail - Food and beverage stores,5.279872312093396E-05
2,Grain farming,401,Retail - Health and personal care stores,6.0789273339250001E-05
2,Grain farming,402,Retail - Gasoline stores,4.5341886249477409E-05
2,Grain farming,403,Retail - Clothing and clothing accessories stores,0.00013081107021474438
2,Grain farming,404,"Retail - Sporting goods, hobby, musical instrument and book stores",1.9576188160844426E-05
2,Grain farming,405,Retail - General merchandise stores,0.00010465728665008623
2,Grain farming,406,Retail - Miscellaneous store retailers,4.9004187115286217E-05
2,Grain farming,407,Retail - Nonstore retailers,0.00010413888238071985
2,Grain farming,408,Air transportation,1.7363033940234036E-05
2,Grain farming,411,Truck transportation,0.0021475461095994686
2,Grain farming,413,Pipeline transportation,6.2825309234808573E-06
2,Grain farming,416,Warehousing and storage,0.0003135763332646254
2,Grain farming,417,Newspaper publishers,2.3245264938609326E-06
2,Grain farming,422,Software publishers,2.516085936072319E-05
2,Grain farming,425,Radio and television broadcasting,1.5657961028139097E-06
2,Grain farming,427,Wired telecommunications carriers,8.6807054154539737E-05
2,Grain farming,428,Wireless telecommunications carriers (except satellite),0.00058856736967797044
2,Grain farming,430,"Data processing, hosting, and related services",6.21327556215563E-07
2,Grain farming,433,Monetary authorities and depository credit intermediation,0.0049560842962416418
2,Grain farming,434,Nondepository credit intermediation and related activities,0.00063985065322000323
2,Grain farming,435,Securities and commodity contracts intermediation and brokerage,3.4364391828630358E-05
2,Grain farming,436,Other financial investment activities,2.0478763858908081E-05
2,Grain farming,437,Insurance carriers,0.0017491186683513127
2,Grain farming,438,"Insurance agencies, brokerages, and related activities",0.00012868379543534269
2,Grain farming,440,Real estate,0.022864747917599737
2,Grain farming,442,Automotive equipment rental and leasing,0.0023373938277301137
2,Grain farming,443,General and consumer goods rental except video tapes and discs,4.7946277070589878E-05
2,Grain farming,445,Commercial and industrial machinery and equipment rental and leasing,0.0019934499831381763
2,Grain farming,446,Lessors of nonfinancial intangible assets,0.00034179481747191251
2,Grain farming,447,Legal services,0.00032814559976866893
2,Grain farming,448,"Accounting, tax preparation, bookkeeping, and payroll services",0.00086822940305431029
2,Grain farming,451,Custom computer programming services,4.0901808135520884E-06
2,Grain farming,452,Computer systems design services,4.483035551726606E-05
2,Grain farming,453,"Other computer related services, including facilities management",0.00010207615593655836
2,Grain farming,457,"Advertising, public relations, and related services",8.0165220239901893E-07
2,Grain farming,460,"Marketing research and all other miscellaneous professional, scientific, and technical services",0.0010119276792898424
2,Grain farming,462,Office administrative services,3.757763395411648E-06
2,Grain farming,463,Facilities support services,6.0686123051214856E-07
2,Grain farming,465,Business support services,1.3404359241308422E-05
2,Grain farming,466,Travel arrangement and reservation services,6.2017641500981553E-06
2,Grain farming,468,Services to buildings,0.00020627746059263038
2,Grain farming,469,Landscape and horticultural services,0.00020930413101963395
2,Grain farming,470,Other support services,1.4961292241570375E-06
2,Grain farming,488,Performing arts companies,8.1413675916236733E-06
2,Grain farming,491,Promoters of performing arts and sports and agents for public figures,1.439987232088936E-05
2,Grain farming,492,"Independent artists, writers, and performers",2.327173447460909E-06
2,Grain farming,496,Other amusement and recreation industries,0.00010959675291016737
2,Grain farming,499,"Hotels and motels, including casino hotels",0.001028644353058758
2,Grain farming,500,Other accommodations,3.1309232922276716E-06
2,Grain farming,501,Full-service restaurants,1.4561156381035249E-05
2,Grain farming,502,Limited-service restaurants,0.00020520348216333806
2,Grain farming,503,All other food and drinking places,5.5453253521072637E-05
2,Grain farming,504,"Automotive repair and maintenance, except car washes",0.00036428245663052208
2,Grain farming,506,Electronic and precision equipment repair and maintenance,8.2718662684333043E-05
2,Grain farming,507,Commercial and industrial machinery and equipment repair and maintenance,2.2950590507103707E-05
2,Grain farming,515,Business and professional associations,0.00015057564608355906
2,Grain farming,516,Labor and civic organizations,1.8418804478979058E-08
2,Grain farming,518,Postal service,5.5217539286104905E-05
2,Grain farming,526,Other local government enterprises,0.0097966534818275108
2,Grain farming,5001,Employee Compensation,0.0091952625662088394
2,Grain farming,6001,Proprietor Income,0.021575875580310822
2,Grain farming,7001,Other Property Type Income,0.11040948331356049
2,Grain farming,8001,Tax on Production and Imports,-0.060563024133443832
2,Grain farming,11001,Federal Government NonDefense,4.3761132271701462E-05
2,Grain farming,12001,State/Local Govt NonEducation,0.010758125786838714
2,Grain farming,14002,Inventory Additions/Deletions,7.518246862897864E-05
2,Grain farming,25001,Foreign Trade,0.026508003907048602
2,Grain farming,28001,Domestic Trade,0.28515426383200421
3,Vegetable and melon farming,1,Oilseed farming,1.0596865965030672E-05
3,Vegetable and melon farming,2,Grain farming,0.00011255736183591984
3,Vegetable and melon farming,3,Vegetable and melon farming,0.0018322343417404297
3,Vegetable and melon farming,4,Fruit farming,8.1250960401292507E-05
3,Vegetable and melon farming,5,Tree nut farming,3.2710873667444463E-08
3,Vegetable and melon farming,6,"Greenhouse, nursery, and floriculture production",0.00087286607583115378
3,Vegetable and melon farming,11,"Beef cattle ranching and farming, including feedlots and dual-purpose ranching and farming",0.00063026691215721173
3,Vegetable and melon farming,12,Dairy cattle and milk production,0.00037001002918447129
3,Vegetable and melon farming,13,Poultry and egg production,3.9569839953235587E-05
3,Vegetable and melon farming,14,"Animal production, except cattle and poultry and eggs",8.8005984338010781E-05
3,Vegetable and melon farming,19,Support activities for agriculture and forestry,0.0019328223042884563
3,Vegetable and melon farming,20,Extraction of natural gas and crude petroleum,9.7839734499867133E-06
3,Vegetable and melon farming,31,Sand and gravel mining,2.2734356835839336E-06
3,Vegetable and melon farming,49,Electric power transmission and distribution,0.00018097755026643889
3,Vegetable and melon farming,50,Natural gas distribution,5.3827543510860231E-05
3,Vegetable and melon farming,62,Maintenance and repair construction of nonresidential structures,0.0013071694159300235
3,Vegetable and melon farming,120,Curtain and linen mills,2.287563444573544E-09
3,Vegetable and melon farming,121,Textile bag and canvas mills,3.2718339424621948E-07
3,Vegetable and melon farming,123,Other textile product mills,3.5498430245178864E-10
3,Vegetable and melon farming,136,Veneer and plywood manufacturing,2.0498229314451121E-07
3,Vegetable and melon farming,145,All other miscellaneous wood product manufacturing,1.8056128582466416E-05
3,Vegetable and melon farming,154,Printing,1.9557665576414637E-06
3,Vegetable and melon farming,167,Synthetic rubber manufacturing,3.0973259888521853E-07
3,Vegetable and melon farming,188,Plastics packaging materials and unlaminated film and sheet manufacturing,1.1875504559240814E-06
3,Vegetable and melon farming,195,Other plastics product manufacturing,9.6972627239015758E-08
3,Vegetable and melon farming,213,Cut stone and stone product manufacturing,4.2018928599341359E-07
3,Vegetable and melon farming,238,Fabricated structural metal manufacturing,1.0560067744274551E-09
3,Vegetable and melon farming,263,Lawn and garden equipment manufacturing,8.9803956935354857E-07
3,Vegetable and melon farming,275,Air purification and ventilation equipment manufacturing,5.9658445620405084E-11
3,Vegetable and melon farming,279,"Special tool, die, jig, and fixture manufacturing",1.153747161138355E-11
3,Vegetable and melon farming,281,Machine tool manufacturing,8.6466164665583482E-11
3,Vegetable and melon farming,300,"Scales, balances, and miscellaneous general purpose machinery manufacturing",2.0299143057028245E-09
