Regional SAM Balances IO Detail Accounts ,,,,
InstitutionPayments,TypeCodesAll.Description,InstitutionReceipts,TypeCodesAll_1.Description,Value
1,Oilseed farming,5001,Employee Compensation,0
1,Oilseed farming,6001,Proprietor Income,0
1,Oilseed farming,7001,Other Property Type Income,0
1,Oilseed farming,8001,Tax on Production and Imports,0
2,Grain farming,2,Grain farming,7.6077933895978694E-05
2,Grain farming,3,Vegetable and melon farming,2.4065234899331954E-05
2,Grain farming,4,Fruit farming,0.00015662933104958025
2,Grain farming,5,Tree nut farming,2.9109942772718815E-07
2,Grain farming,6,"Greenhouse, nursery, and floriculture production",0.00022021585133239104
2,Grain farming,10,All other crop farming,0.0016192445767552882
2,Grain farming,11,"Beef cattle ranching and farming, including feedlots and dual-purpose ranching and farming",0.00030277992966383852
2,Grain farming,12,Dairy cattle and milk production,0.00027228191662848761
2,Grain farming,13,Poultry and egg production,4.9768556060864836E-06
2,Grain farming,14,"Animal production, except cattle and poultry and eggs",2.1554916442343905E-05
2,Grain farming,19,Support activities for agriculture and forestry,0.061434761623038625
2,Grain farming,20,Extraction of natural gas and crude petroleum,1.6835278821248842E-05
2,Grain farming,31,Sand and gravel mining,7.9093590220439929E-05
2,Grain farming,49,Electric power transmission and distribution,0.00086635963648937914
2,Grain farming,51,"Water, sewage and other systems",0.00075000738115885146
2,Grain farming,62,Maintenance and repair construction of nonresidential structures,0.0034763779772943038
2,Grain farming,123,Other textile product mills,7.5962697418209272E-08
2,Grain farming,145,All other miscellaneous wood product manufacturing,1.737517435210307E-06
2,Grain farming,154,Printing,3.595654311536039E-07
2,Grain farming,164,Other basic inorganic chemical manufacturing,1.7895503156562399E-05
2,Grain farming,166,Plastics material and resin manufacturing,9.7719046252462517E-07
2,Grain farming,195,Other plastics product manufacturing,3.2039304888493314E-07
2,Grain farming,239,Plate work manufacturing,7.1682393258372477E-07
2,Grain farming,249,Machine shops,2.6539199780266845E-07
2,Grain farming,250,"Turned product and screw, nut, and bolt manufacturing",1.0040628155249894E-09
2,Grain farming,264,Construction machinery manufacturing,0.00023761667113919756
2,Grain farming,274,Other commercial service industry machinery manufacturing,1.5447392308136904E-11
2,Grain farming,300,"Scales, balances, and miscellaneous general purpose machinery manufacturing",2.1905990583841892E-08
2,Grain farming,327,Small electrical appliance manufacturing,1.9070797301819231E-08
2,Grain farming,335,Relay and industrial control manufacturing,8.8982248618197569E-10
2,Grain farming,356,Other motor vehicle parts manufacturing,1.34265066985399E-07
2,Grain farming,394,All other miscellaneous manufacturing,2.6420232184103684E-06
2,Grain farming,395,Wholesale trade,0.0049224014620429801
2,Grain farming,397,Retail - Furniture and home furnishings stores,3.9446714454719237E-06
2,Grain farming,398,Retail - Electronics and appliance stores,3.505445828101163E-07
2,Grain farming,399,Retail - Building material and garden equipment and supplies stores,1.5726254553878063E-05
2,Grain farming,400,Retail - Food and beverage stores,2.9247457862314075E-05
2,Grain farming,401,Retail - Health and personal care stores,1.2891099612458265E-05
2,Grain farming,402,Retail - Gasoline stores,2.4514173087454528E-05
2,Grain farming,403,Retail - Clothing and clothing accessories stores,7.3542492778858742E-05
2,Grain farming,404,"Retail - Sporting goods, hobby, musical instrument and book stores",1.0842907110407895E-05
2,Grain farming,405,Retail - General merchandise stores,5.8171837337479392E-05
2,Grain farming,406,Retail - Miscellaneous store retailers,2.2156214233823995E-05
2,Grain farming,407,Retail - Nonstore retailers,8.4255779430605221E-05
2,Grain farming,409,Rail transportation,0.00030620088139763496
2,Grain farming,411,Truck transportation,0.00032010138044382547
2,Grain farming,416,Warehousing and storage,4.1321145116412356E-05
2,Grain farming,422,Software publishers,9.7570025607907805E-07
2,Grain farming,425,Radio and television broadcasting,9.8809466366979779E-07
2,Grain farming,427,Wired telecommunications carriers,3.3465178062445965E-05
2,Grain farming,429,"Satellite, telecommunications resellers, and all other telecommunications",6.2119133451070635E-06
2,Grain farming,430,"Data processing, hosting, and related services",6.1494258974053808E-07
2,Grain farming,433,Monetary authorities and depository credit intermediation,0.0024564601021670185
2,Grain farming,434,Nondepository credit intermediation and related activities,0.00023406190029262586
2,Grain farming,435,Securities and commodity contracts intermediation and brokerage,5.3974059216493724E-05
2,Grain farming,436,Other financial investment activities,7.0530201896705155E-05
2,Grain farming,437,Insurance carriers,0.0032934149972960181
2,Grain farming,438,"Insurance agencies, brokerages, and related activities",6.9542244934528083E-05
2,Grain farming,440,Real estate,0.0066669596602657588
2,Grain farming,442,Automotive equipment rental and leasing,0.00094865843973878511
2,Grain farming,443,General and consumer goods rental except video tapes and discs,4.0513064119123907E-05
2,Grain farming,445,Commercial and industrial machinery and equipment rental and leasing,0.00015876958938182938
2,Grain farming,446,Lessors of nonfinancial intangible assets,8.6182491077347809E-05
2,Grain farming,447,Legal services,7.8780400366560734E-05
2,Grain farming,448,"Accounting, tax preparation, bookkeeping, and payroll services",0.00029145098708660208
2,Grain farming,451,Custom computer programming services,5.1213358574552577E-06
2,Grain farming,452,Computer systems design services,5.1457531396216505E-05
2,Grain farming,453,"Other computer related services, including facilities management",0.00013932129314619957
2,Grain farming,457,"Advertising, public relations, and related services",5.6604620138457959E-08
2,Grain farming,460,"Marketing research and all other miscellaneous professional, scientific, and technical services",0.00041737074671538074
2,Grain farming,462,Office administrative services,3.6082950921165172E-07
2,Grain farming,465,Business support services,1.2330056748338408E-05
2,Grain farming,466,Travel arrangement and reservation services,1.3329344066904437E-06
2,Grain farming,468,Services to buildings,5.6128272318602037E-05
2,Grain farming,469,Landscape and horticultural services,2.4385691419501329E-05
2,Grain farming,470,Other support services,6.5828201780536867E-07
2,Grain farming,473,"Junior colleges, colleges, universities, and professional schools",2.0784482765785067E-05
2,Grain farming,488,Performing arts companies,1.8057117726265944E-05
2,Grain farming,491,Promoters of performing arts and sports and agents for public figures,7.258970794830487E-06
2,Grain farming,492,"Independent artists, writers, and performers",7.4417878293265687E-07
2,Grain farming,496,Other amusement and recreation industries,3.1937884524156288E-05
2,Grain farming,499,"Hotels and motels, including casino hotels",8.6397781599788573E-05
2,Grain farming,500,Other accommodations,4.9995324890812954E-07
