Regional SAM Balances IO Detail Accounts ,,,,
InstitutionPayments,TypeCodesAll.Description,InstitutionReceipts,TypeCodesAll_1.Description,Value
1,Oilseed farming,1,Oilseed farming,0.045603834920194597
1,Oilseed farming,2,Grain farming,0.026880015351286479
1,Oilseed farming,3,Vegetable and melon farming,0.0021975491577246181
1,Oilseed farming,4,Fruit farming,0.002126621193640918
1,Oilseed farming,5,Tree nut farming,3.057108541504143E-05
1,Oilseed farming,6,"Greenhouse, nursery, and floriculture production",0.0016617176546374415
1,Oilseed farming,9,Sugarcane and sugar beet farming,0.0010383813656407101
1,Oilseed farming,10,All other crop farming,0.089592214052961694
1,Oilseed farming,11,"Beef cattle ranching and farming, including feedlots and dual-purpose ranching and farming",0.044473069753444561
1,Oilseed farming,12,Dairy cattle and milk production,0.069437281489876046
1,Oilseed farming,13,Poultry and egg production,0.045649213811412181
1,Oilseed farming,14,"Animal production, except cattle and poultry and eggs",0.033419271818679874
1,Oilseed farming,19,Support activities for agriculture and forestry,0.45062129777677562
1,Oilseed farming,20,Extraction of natural gas and crude petroleum,0.0032563645168405958
1,Oilseed farming,31,Sand and gravel mining,0.0022082964196463162
1,Oilseed farming,49,Electric power transmission and distribution,0.067579216085476013
1,Oilseed farming,50,Natural gas distribution,0.00068955288075766424
1,Oilseed farming,51,"Water, sewage and other systems",0.07010225651807156
1,Oilseed farming,62,Maintenance and repair construction of nonresidential structures,0.18547054702629851
1,Oilseed farming,127,Mens and boys cut and sew apparel manufacturing,3.793841346312267E-08
1,Oilseed farming,134,Sawmills,0.00015588047245107452
1,Oilseed farming,140,"Cut stock, resawing lumber, and planing",0.0010105061812466301
1,Oilseed farming,154,Printing,6.6166681236560967E-06
1,Oilseed farming,155,Support activities for printing,2.6196999213871751E-07
1,Oilseed farming,164,Other basic inorganic chemical manufacturing,0.00046052590709351124
1,Oilseed farming,185,Custom compounding of purchased resins,1.6490091892426546E-07
1,Oilseed farming,195,Other plastics product manufacturing,0.00011589714005317154
1,Oilseed farming,209,Other concrete product manufacturing,5.0365821357188179E-06
1,Oilseed farming,212,Abrasive product manufacturing,5.7423240765160961E-08
1,Oilseed farming,234,Crown and closure manufacturing and metal stamping,5.8740138587054481E-08
1,Oilseed farming,238,Fabricated structural metal manufacturing,2.3009535230071089E-07
1,Oilseed farming,241,Sheet metal work manufacturing,1.3720012750295363E-08
1,Oilseed farming,244,Metal tank (heavy gauge) manufacturing,4.7731596394134335E-07
1,Oilseed farming,249,Machine shops,1.5959727782795469E-06
1,Oilseed farming,250,"Turned product and screw, nut, and bolt manufacturing",4.4411321844664471E-08
1,Oilseed farming,262,Farm machinery and equipment manufacturing,0.17481394910081072
1,Oilseed farming,271,All other industrial machinery manufacturing,4.0532806054505797E-08
1,Oilseed farming,279,"Special tool, die, jig, and fixture manufacturing",1.7085503400090026E-08
1,Oilseed farming,281,Machine tool manufacturing,4.0489591167399663E-08
1,Oilseed farming,287,Pump and pumping equipment manufacturing,1.553608528757047E-08
1,Oilseed farming,291,Conveyor and conveying equipment manufacturing,2.649886155228179E-05
1,Oilseed farming,318,Totalizing fluid meter and counting device manufacturing,8.6161391126978645E-08
1,Oilseed farming,346,Motor vehicle body manufacturing,1.303296394280037E-05
1,Oilseed farming,350,Motor vehicle gasoline engine and engine parts manufacturing,2.9160800869342874E-07
1,Oilseed farming,352,"Motor vehicle steering, suspension component (except spring), and brake systems manufacturing",1.4421034520899265E-07
1,Oilseed farming,356,Other motor vehicle parts manufacturing,4.1171782214381107E-06
1,Oilseed farming,376,"Showcase, partition, shelving, and locker manufacturing",1.4181169943634081E-07
1,Oilseed farming,388,Sign manufacturing,3.8500376121274175E-09
1,Oilseed farming,394,All other miscellaneous manufacturing,3.5950145052970808E-05
1,Oilseed farming,395,Wholesale trade,0.11129719759543555
1,Oilseed farming,397,Retail - Furniture and home furnishings stores,4.3797770700311012E-05
1,Oilseed farming,398,Retail - Electronics and appliance stores,2.5529006743778759E-05
1,Oilseed farming,399,Retail - Building material and garden equipment and supplies stores,0.00070249990924185421
1,Oilseed farming,401,Retail - Health and personal care stores,0.00072574610398571868
1,Oilseed farming,402,Retail - Gasoline stores,0.00071722077627967007
1,Oilseed farming,403,Retail - Clothing and clothing accessories stores,0.00046009049388689993
1,Oilseed farming,404,"Retail - Sporting goods, hobby, musical instrument and book stores",8.9984292535044783E-05
1,Oilseed farming,405,Retail - General merchandise stores,0.0033950869193438704
1,Oilseed farming,406,Retail - Miscellaneous store retailers,0.00053875875234415602
1,Oilseed farming,407,Retail - Nonstore retailers,0.0024050580011262673
1,Oilseed farming,408,Air transportation,0.0093720830320492832
1,Oilseed farming,409,Rail transportation,0.010482835071008279
1,Oilseed farming,411,Truck transportation,0.059620564786404984
1,Oilseed farming,413,Pipeline transportation,0.0063989373544112438
1,Oilseed farming,416,Warehousing and storage,0.080439708446254254
1,Oilseed farming,422,Software publishers,2.9198670471383817E-06
1,Oilseed farming,427,Wired telecommunications carriers,0.00066550305529921097
1,Oilseed farming,433,Monetary authorities and depository credit intermediation,0.11239064948630917
1,Oilseed farming,434,Nondepository credit intermediation and related activities,0.0040588810937077224
1,Oilseed farming,435,Securities and commodity contracts intermediation and brokerage,0.00038577666057770972
1,Oilseed farming,436,Other financial investment activities,0.0043165561888069415
1,Oilseed farming,437,Insurance carriers,0.0045616025424227158
1,Oilseed farming,438,"Insurance agencies, brokerages, and related activities",0.0086520196805531802
1,Oilseed farming,440,Real estate,0.14611311341283706
1,Oilseed farming,442,Automotive equipment rental and leasing,0.0010741810597375903
1,Oilseed farming,443,General and consumer goods rental except video tapes and discs,9.2640334410424869E-05
1,Oilseed farming,445,Commercial and industrial machinery and equipment rental and leasing,0.0060646077935962994
1,Oilseed farming,446,Lessors of nonfinancial intangible assets,0.00030435361827079246
1,Oilseed farming,447,Legal services,0.00066660935973960472
1,Oilseed farming,448,"Accounting, tax preparation, bookkeeping, and payroll services",0.010631453838592819
1,Oilseed farming,449,"Architectural, engineering, and related services",0.00039193609754165429
1,Oilseed farming,451,Custom computer programming services,2.4507925039973821E-06
1,Oilseed farming,452,Computer systems design services,1.3757334514932516E-06
1,Oilseed farming,453,"Other computer related services, including facilities management",1.8402465945115435E-05
1,Oilseed farming,454,Management consulting services,7.3424289616708972E-05
1,Oilseed farming,460,"Marketing research and all other miscellaneous professional, scientific, and technical services",0.00068795020206447594
1,Oilseed farming,462,Office administrative services,0.0005984316767010181
1,Oilseed farming,464,Employment services,0.00057962407491330206
1,Oilseed farming,465,Business support services,0.00094450583067923893
1,Oilseed farming,468,Services to buildings,0.00053708504124313355
1,Oilseed farming,469,Landscape and horticultural services,0.00018885260512064954
1,Oilseed farming,470,Other support services,2.934128023630812E-05
1,Oilseed farming,471,Waste management and remediation services,0.0011351940080703005
1,Oilseed farming,488,Performing arts companies,0.00056970468957683387
1,Oilseed farming,491,Promoters of performing arts and sports and agents for public figures,0.00013109847498688886
1,Oilseed farming,496,Other amusement and recreation industries,0.0012953993177141146
1,Oilseed farming,499,"Hotels and motels, including casino hotels",0.00019705382415261766
1,Oilseed farming,500,Other accommodations,1.0941840861926897E-05
1,Oilseed farming,501,Full-service restaurants,0.00012640605973770515
1,Oilseed farming,502,Limited-service restaurants,0.003593160015918806
1,Oilseed farming,503,All other food and drinking places,0.0011047362920833664
1,Oilseed farming,504,"Automotive repair and maintenance, except car washes",0.0056386303338117061
1,Oilseed farming,506,Electronic and precision equipment repair and maintenance,0.00042232334064084588
1,Oilseed farming,507,Commercial and industrial machinery and equipment repair and maintenance,0.00064725667880730087
1,Oilseed farming,515,Business and professional associations,0.0028325797363639993
1,Oilseed farming,518,Postal service,0.0011926900795446171
1,Oilseed farming,5001,Employee Compensation,0.21768569946289063
1,Oilseed farming,6001,Proprietor Income,4.7819061279296875
1,Oilseed farming,7001,Other Property Type Income,16.372989654541016
1,Oilseed farming,8001,Tax on Production and Imports,0.45740282535552979
1,Oilseed farming,11001,Federal Government NonDefense,0.0002326418616941343
1,Oilseed farming,12001,State/Local Govt NonEducation,0.016782693919223188
1,Oilseed farming,14002,Inventory Additions/Deletions,0.0058778488122721746
1,Oilseed farming,25001,Foreign Trade,0.4627325371690707
1,Oilseed farming,28001,Domestic Trade,5.0512375263148765
2,Grain farming,1,Oilseed farming,0.12675660677665679
2,Grain farming,2,Grain farming,0.38377375209952191
2,Grain farming,3,Vegetable and melon farming,0.012804036244288719
2,Grain farming,4,Fruit farming,0.012392128889563203
2,Grain farming,5,Tree nut farming,0.00017814221373911761
2,Grain farming,6,"Greenhouse, nursery, and floriculture production",0.0096820101764675814
2,Grain farming,9,Sugarcane and sugar beet farming,0.0060546822371305153
2,Grain farming,10,All other crop farming,0.26829867457890089
2,Grain farming,11,"Beef cattle ranching and farming, including feedlots and dual-purpose ranching and farming",0.3550761396475437
2,Grain farming,12,Dairy cattle and milk production,0.40458072583691518
2,Grain farming,13,Poultry and egg production,0.24796678462154631
2,Grain farming,14,"Animal production, except cattle and poultry and eggs",0.23817375396535212
2,Grain farming,19,Support activities for agriculture and forestry,2.6305408209678234
2,Grain farming,20,Extraction of natural gas and crude petroleum,0.017565828455368471
2,Grain farming,31,Sand and gravel mining,0.022260981225420862
2,Grain farming,49,Electric power transmission and distribution,0.14811449384424247
2,Grain farming,50,Natural gas distribution,0.013043684802200861
2,Grain farming,51,"Water, sewage and other systems",0.4048844637970106
2,Grain farming,62,Maintenance and repair construction of nonresidential structures,0.4585722470412783
2,Grain farming,154,Printing,4.1212128756329272E-05
2,Grain farming,155,Support activities for printing,5.1683504122080682E-06
2,Grain farming,164,Other basic inorganic chemical manufacturing,0.00105590726877694
2,Grain farming,185,Custom compounding of purchased resins,7.396255271632847E-07
2,Grain farming,195,Other plastics product manufacturing,0.00042711568341938927
2,Grain farming,212,Abrasive product manufacturing,4.2423875214014337E-07
2,Grain farming,234,Crown and closure manufacturing and metal stamping,1.0726208268114403E-06
2,Grain farming,238,Fabricated structural metal manufacturing,4.7463886451649785E-07
2,Grain farming,241,Sheet metal work manufacturing,8.7401790729151514E-08
2,Grain farming,244,Metal tank (heavy gauge) manufacturing,1.752895504453407E-06
2,Grain farming,249,Machine shops,1.0166964555599059E-05
2,Grain farming,250,"Turned product and screw, nut, and bolt manufacturing",2.8291731981533116E-07
2,Grain farming,262,Farm machinery and equipment manufacturing,0.7523648877409741
2,Grain farming,271,All other industrial machinery manufacturing,2.5820966966066849E-07
2,Grain farming,279,"Special tool, die, jig, and fixture manufacturing",1.0884127872974487E-07
2,Grain farming,281,Machine tool manufacturing,2.5793437383590692E-07
2,Grain farming,291,Conveyor and conveying equipment manufacturing,3.8299470908383353E-05
2,Grain farming,297,Industrial process furnace and oven manufacturing,3.9611438336700972E-07
2,Grain farming,317,Industrial process variable instruments manufacturing,5.7279448565630461E-10
2,Grain farming,318,Totalizing fluid meter and counting device manufacturing,3.1788235149013984E-07
2,Grain farming,346,Motor vehicle body manufacturing,5.9303590711641194E-05
2,Grain farming,350,Motor vehicle gasoline engine and engine parts manufacturing,1.1534694099964355E-06
2,Grain farming,352,"Motor vehicle steering, suspension component (except spring), and brake systems manufacturing",5.7836554353318383E-07
2,Grain farming,356,Other motor vehicle parts manufacturing,1.8734299363108698E-05
2,Grain farming,376,"Showcase, partition, shelving, and locker manufacturing",5.2209226674879253E-07
2,Grain farming,388,Sign manufacturing,1.3916545409399224E-06
2,Grain farming,394,All other miscellaneous manufacturing,0.00015267758068956711
2,Grain farming,395,Wholesale trade,0.46435523142828572
2,Grain farming,397,Retail - Furniture and home furnishings stores,0.00021016244252510495
2,Grain farming,398,Retail - Electronics and appliance stores,0.00012250026614037644
2,Grain farming,399,Retail - Building material and garden equipment and supplies stores,0.0033709273708446286
