Regional SAM Balances IO Detail Accounts ,,,,
InstitutionPayments,TypeCodesAll.Description,InstitutionReceipts,TypeCodesAll_1.Description,Value
1,Oilseed farming,5001,Employee Compensation,0
1,Oilseed farming,6001,Proprietor Income,0
1,Oilseed farming,7001,Other Property Type Income,0
1,Oilseed farming,8001,Tax on Production and Imports,0
2,Grain farming,2,Grain farming,9.2007433556294017E-05
2,Grain farming,3,Vegetable and melon farming,0.00090339387214592726
2,Grain farming,4,Fruit farming,7.0262890473268662E-05
2,Grain farming,5,Tree nut farming,2.728822925344186E-07
2,Grain farming,6,"Greenhouse, nursery, and floriculture production",5.3954394111276321E-05
2,Grain farming,10,All other crop farming,0.0013219194300816556
2,Grain farming,11,"Beef cattle ranching and farming, including feedlots and dual-purpose ranching and farming",0.001470400226354987
2,Grain farming,13,Poultry and egg production,1.4749614167906084E-05
2,Grain farming,14,"Animal production, except cattle and poultry and eggs",0.00042288604301636556
2,Grain farming,19,Support activities for agriculture and forestry,0.047131169371547266
2,Grain farming,20,Extraction of natural gas and crude petroleum,0.00011004247047896165
2,Grain farming,31,Sand and gravel mining,5.8026898747376952E-06
2,Grain farming,49,Electric power transmission and distribution,0.00016589820975779906
2,Grain farming,50,Natural gas distribution,0.0010071795436860584
2,Grain farming,62,Maintenance and repair construction of nonresidential structures,0.0021482172066777938
2,Grain farming,139,Wood windows and door manufacturing,6.8160742850746063E-09
2,Grain farming,154,Printing,5.0950237740131701E-08
2,Grain farming,180,Polish and other sanitation good manufacturing,0.00017395204483470518
2,Grain farming,236,Handtool manufacturing,1.0223244907215442E-07
2,Grain farming,271,All other industrial machinery manufacturing,1.4890503899444826E-08
2,Grain farming,395,Wholesale trade,0.0034962757328029781
2,Grain farming,397,Retail - Furniture and home furnishings stores,1.314446766097724E-06
2,Grain farming,398,Retail - Electronics and appliance stores,8.1161095560210831E-07
2,Grain farming,399,Retail - Building material and garden equipment and supplies stores,1.5890781601787481E-05
2,Grain farming,400,Retail - Food and beverage stores,2.3130342828267948E-05
2,Grain farming,401,Retail - Health and personal care stores,3.0397482436027258E-05
2,Grain farming,402,Retail - Gasoline stores,1.9972682573872469E-05
2,Grain farming,403,Retail - Clothing and clothing accessories stores,1.4911471581089981E-05
2,Grain farming,404,"Retail - Sporting goods, hobby, musical instrument and book stores",8.1722187331977622E-06
2,Grain farming,405,Retail - General merchandise stores,1.9401519238643346E-05
2,Grain farming,406,Retail - Miscellaneous store retailers,1.4214972350455385E-05
2,Grain farming,407,Retail - Nonstore retailers,0.00010047205500689563
2,Grain farming,411,Truck transportation,0.0022097645081373546
2,Grain farming,413,Pipeline transportation,0.00015621678744491465
2,Grain farming,416,Warehousing and storage,9.1019388711842571E-05
2,Grain farming,417,Newspaper publishers,5.0616424267656927E-07
2,Grain farming,422,Software publishers,7.2969036826936776E-06
2,Grain farming,426,Cable and other subscription programming,1.1825235515802274E-07
2,Grain farming,427,Wired telecommunications carriers,4.3146391027225773E-05
2,Grain farming,433,Monetary authorities and depository credit intermediation,0.0028310834589697631
2,Grain farming,434,Nondepository credit intermediation and related activities,1.0347040371609011E-05
2,Grain farming,437,Insurance carriers,0.00019435317107026947
2,Grain farming,438,"Insurance agencies, brokerages, and related activities",5.6466251460560515E-05
2,Grain farming,440,Real estate,0.0058126517909576625
2,Grain farming,442,Automotive equipment rental and leasing,0.00044881024935612343
2,Grain farming,443,General and consumer goods rental except video tapes and discs,6.8592179318596887E-06
2,Grain farming,445,Commercial and industrial machinery and equipment rental and leasing,2.297519912815326E-05
2,Grain farming,446,Lessors of nonfinancial intangible assets,6.4681673621133293E-05
2,Grain farming,447,Legal services,0.0002588268118163279
2,Grain farming,448,"Accounting, tax preparation, bookkeeping, and payroll services",0.00019325602759335658
2,Grain farming,451,Custom computer programming services,5.5355777756872389E-07
2,Grain farming,452,Computer systems design services,4.158108751324667E-07
2,Grain farming,457,"Advertising, public relations, and related services",2.8818653103916334E-06
2,Grain farming,460,"Marketing research and all other miscellaneous professional, scientific, and technical services",0.00027660670856028205
2,Grain farming,462,Office administrative services,2.7882231656214951E-06
2,Grain farming,465,Business support services,1.7744151230907556E-05
2,Grain farming,468,Services to buildings,1.521867563464925E-05
2,Grain farming,469,Landscape and horticultural services,1.2053691835597154E-05
2,Grain farming,470,Other support services,2.2033606833347946E-06
2,Grain farming,488,Performing arts companies,3.277893232926812E-07
2,Grain farming,492,"Independent artists, writers, and performers",5.7749222627967878E-07
2,Grain farming,496,Other amusement and recreation industries,4.6784984984691918E-05
2,Grain farming,499,"Hotels and motels, including casino hotels",4.3225489443968678E-05
2,Grain farming,500,Other accommodations,1.3230438410609025E-07
2,Grain farming,501,Full-service restaurants,3.4289526217637346E-06
2,Grain farming,502,Limited-service restaurants,2.3159468448489553E-05
2,Grain farming,503,All other food and drinking places,3.0527596803193264E-05
2,Grain farming,504,"Automotive repair and maintenance, except car washes",0.00013607521571006292
2,Grain farming,506,Electronic and precision equipment repair and maintenance,7.3799067707869953E-06
2,Grain farming,507,Commercial and industrial machinery and equipment repair and maintenance,2.0369768011565051E-05
2,Grain farming,515,Business and professional associations,1.4511078582245349E-05
2,Grain farming,516,Labor and civic organizations,7.0969316174892107E-10
2,Grain farming,518,Postal service,2.411019668834718E-05
2,Grain farming,526,Other local government enterprises,0.0017755442163362584
2,Grain farming,5001,Employee Compensation,0.0034996564500033855
2,Grain farming,6001,Proprietor Income,0.0094888778403401375
2,Grain farming,7001,Other Property Type Income,0.049786653369665146
2,Grain farming,8001,Tax on Production and Imports,-0.026635074988007545
2,Grain farming,11001,Federal Government NonDefense,0.00045167162798521104
2,Grain farming,12001,State/Local Govt NonEducation,0.0015837517969641316
2,Grain farming,14002,Inventory Additions/Deletions,3.3137467409185119E-05
2,Grain farming,25001,Foreign Trade,0.011614354247580979
2,Grain farming,28001,Domestic Trade,0.09502651969637213
3,Vegetable and melon farming,2,Grain farming,6.6407736233841351E-05
3,Vegetable and melon farming,3,Vegetable and melon farming,0.0059314051597680884
3,Vegetable and melon farming,4,Fruit farming,7.2677355832001175E-05
