Regional SAM Balances IO Detail Accounts ,,,,
InstitutionPayments,TypeCodesAll.Description,InstitutionReceipts,TypeCodesAll_1.Description,Value
1,Oilseed farming,1,Oilseed farming,0.03154848246260622
1,Oilseed farming,2,Grain farming,0.022601576293922232
1,Oilseed farming,3,Vegetable and melon farming,0.014520669960294219
1,Oilseed farming,4,Fruit farming,0.0029138404109986249
1,Oilseed farming,5,Tree nut farming,2.2017616230679592E-06
1,Oilseed farming,6,"Greenhouse, nursery, and floriculture production",0.0065196917954465361
1,Oilseed farming,9,Sugarcane and sugar beet farming,0.017007909570071256
1,Oilseed farming,10,All other crop farming,0.062071237473877439
1,Oilseed farming,11,"Beef cattle ranching and farming, including feedlots and dual-purpose ranching and farming",0.015052091004063906
1,Oilseed farming,12,Dairy cattle and milk production,0.013739129163945707
1,Oilseed farming,13,Poultry and egg production,0.00039520703637611898
1,Oilseed farming,14,"Animal production, except cattle and poultry and eggs",0.0021988200615084275
1,Oilseed farming,19,Support activities for agriculture and forestry,0.49266455331571279
1,Oilseed farming,20,Extraction of natural gas and crude petroleum,0.0013134977318427776
1,Oilseed farming,30,Stone mining and quarrying,0.0034316548405882163
1,Oilseed farming,31,Sand and gravel mining,0.00092493667654582057
1,Oilseed farming,49,Electric power transmission and distribution,0.028214393884007372
1,Oilseed farming,50,Natural gas distribution,0.0054134581214275723
1,Oilseed farming,51,"Water, sewage and other systems",0.0010677980058652337
1,Oilseed farming,62,Maintenance and repair construction of nonresidential structures,0.16300033102728762
1,Oilseed farming,123,Other textile product mills,6.0372409403863252E-08
1,Oilseed farming,139,Wood windows and door manufacturing,3.2718512639478441E-06
1,Oilseed farming,142,Wood container and pallet manufacturing,6.1324721827651224E-05
1,Oilseed farming,154,Printing,3.3537811282703493E-06
1,Oilseed farming,164,Other basic inorganic chemical manufacturing,0.0002879142911661782
1,Oilseed farming,185,Custom compounding of purchased resins,1.8537787366637061E-07
