Regional SAM Balances IO Detail Accounts ,,,,
InstitutionPayments,TypeCodesAll.Description,InstitutionReceipts,TypeCodesAll_1.Description,Value
1,Oilseed farming,1,Oilseed farming,0.00043679948291418247
1,Oilseed farming,2,Grain farming,4.9181139293561524E-06
1,Oilseed farming,3,Vegetable and melon farming,5.1924233835774379E-06
1,Oilseed farming,4,Fruit farming,0.00043079004615672115
1,Oilseed farming,5,Tree nut farming,6.9553352010638225E-07
1,Oilseed farming,6,"Greenhouse, nursery, and floriculture production",1.3206791839518199E-05
1,Oilseed farming,10,All other crop farming,0.00010551871396762263
1,Oilseed farming,11,"Beef cattle ranching and farming, including feedlots and dual-purpose ranching and farming",3.0359557237728384E-05
1,Oilseed farming,12,Dairy cattle and milk production,8.5192323662979332E-06
1,Oilseed farming,13,Poultry and egg production,2.2034537326287996E-06
1,Oilseed farming,14,"Animal production, except cattle and poultry and eggs",5.5059203400195222E-06
1,Oilseed farming,19,Support activities for agriculture and forestry,0.0016413559826600477
1,Oilseed farming,20,Extraction of natural gas and crude petroleum,6.8110557518516078E-06
1,Oilseed farming,31,Sand and gravel mining,1.2913038383967151E-06
1,Oilseed farming,49,Electric power transmission and distribution,1.4639594679326175E-05
1,Oilseed farming,62,Maintenance and repair construction of nonresidential structures,7.1121412832038898E-05
1,Oilseed farming,123,Other textile product mills,5.8390536027950424E-11
1,Oilseed farming,145,All other miscellaneous wood product manufacturing,9.0380804060850601E-07
1,Oilseed farming,154,Printing,6.8493892641740043E-10
1,Oilseed farming,195,Other plastics product manufacturing,1.1397739146169445E-09
1,Oilseed farming,239,Plate work manufacturing,1.2262724450516244E-08
1,Oilseed farming,249,Machine shops,7.3058761168601325E-10
1,Oilseed farming,254,"Valve and fittings, other than plumbing, manufacturing",2.9034937054742315E-09
1,Oilseed farming,279,"Special tool, die, jig, and fixture manufacturing",2.6628729968632968E-12
1,Oilseed farming,394,All other miscellaneous manufacturing,8.3246401517685655E-09
1,Oilseed farming,395,Wholesale trade,0.00025094282703287153
1,Oilseed farming,397,Retail - Furniture and home furnishings stores,5.2758675743486837E-08
1,Oilseed farming,398,Retail - Electronics and appliance stores,6.4676684314675608E-09
1,Oilseed farming,399,Retail - Building material and garden equipment and supplies stores,3.1231716669885234E-07
1,Oilseed farming,401,Retail - Health and personal care stores,1.7893389546685653E-07
1,Oilseed farming,402,Retail - Gasoline stores,6.7595724405556312E-07
1,Oilseed farming,403,Retail - Clothing and clothing accessories stores,2.5791741464738563E-06
1,Oilseed farming,404,"Retail - Sporting goods, hobby, musical instrument and book stores",2.2534312550317467E-07
1,Oilseed farming,405,Retail - General merchandise stores,3.7225537739616666E-07
1,Oilseed farming,406,Retail - Miscellaneous store retailers,1.0570671193413893E-06
1,Oilseed farming,407,Retail - Nonstore retailers,2.0503354748139938E-06
1,Oilseed farming,409,Rail transportation,2.2931380343879561E-05
1,Oilseed farming,410,Water transportation,1.3335947071106821E-05
1,Oilseed farming,411,Truck transportation,6.3016217945262472E-05
1,Oilseed farming,416,Warehousing and storage,4.0083841650542015E-05
1,Oilseed farming,418,Periodical publishers,2.781580235836496E-06
1,Oilseed farming,422,Software publishers,3.6044996330155054E-11
1,Oilseed farming,427,Wired telecommunications carriers,1.4446177658567481E-06
1,Oilseed farming,433,Monetary authorities and depository credit intermediation,2.556543357563586E-05
1,Oilseed farming,434,Nondepository credit intermediation and related activities,7.151680888741954E-08
1,Oilseed farming,436,Other financial investment activities,9.0390998270789688E-06
1,Oilseed farming,438,"Insurance agencies, brokerages, and related activities",1.0796891834773874E-05
