Regional SAM Balances IO Detail Accounts ,,,,
InstitutionPayments,TypeCodesAll.Description,InstitutionReceipts,TypeCodesAll_1.Description,Value
1,Oilseed farming,5001,Employee Compensation,0
1,Oilseed farming,6001,Proprietor Income,0
1,Oilseed farming,7001,Other Property Type Income,0
1,Oilseed farming,8001,Tax on Production and Imports,0
2,Grain farming,2,Grain farming,8.68100384547499E-05
2,Grain farming,3,Vegetable and melon farming,9.5303633620605452E-06
2,Grain farming,4,Fruit farming,6.1512108306920402E-05
2,Grain farming,5,Tree nut farming,2.1337028848745322E-07
2,Grain farming,6,"Greenhouse, nursery, and floriculture production",5.4345581163084151E-05
2,Grain farming,9,Sugarcane and sugar beet farming,0.00022166046220764048
2,Grain farming,10,All other crop farming,0.0011201259635037209
2,Grain farming,11,"Beef cattle ranching and farming, including feedlots and dual-purpose ranching and farming",0.0012829482758227317
2,Grain farming,12,Dairy cattle and milk production,0.0019184835491483643
2,Grain farming,13,Poultry and egg production,3.0688321910455176E-05
2,Grain farming,14,"Animal production, except cattle and poultry and eggs",4.4808879121681616E-05
2,Grain farming,19,Support activities for agriculture and forestry,0.0015572682513600028
2,Grain farming,20,Extraction of natural gas and crude petroleum,0.00016064532973722977
2,Grain farming,30,Stone mining and quarrying,0.00056467884826115131
2,Grain farming,31,Sand and gravel mining,1.1513875167250176E-06
2,Grain farming,49,Electric power transmission and distribution,0.00024754586151865855
2,Grain farming,50,Natural gas distribution,0.00070066611286695099
2,Grain farming,62,Maintenance and repair construction of nonresidential structures,0.00055947946982806349
2,Grain farming,123,Other textile product mills,1.4803047830794997E-08
2,Grain farming,139,Wood windows and door manufacturing,4.0639582645801468E-10
2,Grain farming,154,Printing,7.401828971080592E-09
2,Grain farming,199,"Pottery, ceramics, and plumbing fixture manufacturing",9.3277499919114848E-07
2,Grain farming,249,Machine shops,4.9617948898868146E-09
2,Grain farming,271,All other industrial machinery manufacturing,8.8906189009154715E-11
2,Grain farming,364,Boat building,3.9131358516068905E-11
2,Grain farming,394,All other miscellaneous manufacturing,3.1161690497255479E-07
2,Grain farming,395,Wholesale trade,0.0031752986835506536
2,Grain farming,397,Retail - Furniture and home furnishings stores,2.6862138244974768E-06
2,Grain farming,398,Retail - Electronics and appliance stores,1.9926601384140293E-07
2,Grain farming,399,Retail - Building material and garden equipment and supplies stores,1.4265377702042887E-05
2,Grain farming,400,Retail - Food and beverage stores,1.8305997407785197E-05
2,Grain farming,401,Retail - Health and personal care stores,1.0903153222261851E-05
2,Grain farming,402,Retail - Gasoline stores,1.74437909166641E-05
2,Grain farming,403,Retail - Clothing and clothing accessories stores,2.4066839095401339E-05
2,Grain farming,404,"Retail - Sporting goods, hobby, musical instrument and book stores",6.4225703125109354E-06
2,Grain farming,405,Retail - General merchandise stores,1.498207494232684E-05
2,Grain farming,406,Retail - Miscellaneous store retailers,1.8858222929429868E-05
2,Grain farming,407,Retail - Nonstore retailers,8.4215185864129107E-05
2,Grain farming,408,Air transportation,0.00019568218186853843
2,Grain farming,409,Rail transportation,0.00039893710623534195
2,Grain farming,410,Water transportation,0.00088356421859989848
2,Grain farming,411,Truck transportation,0.00053858373195958889
2,Grain farming,413,Pipeline transportation,0.00023023265532761544
2,Grain farming,416,Warehousing and storage,3.9551029832856971E-05
2,Grain farming,417,Newspaper publishers,4.5735278568519565E-07
2,Grain farming,427,Wired telecommunications carriers,3.4114697776850805E-06
2,Grain farming,429,"Satellite, telecommunications resellers, and all other telecommunications",1.9806038812537636E-06
2,Grain farming,430,"Data processing, hosting, and related services",1.3806729175698174E-08
2,Grain farming,433,Monetary authorities and depository credit intermediation,0.0009301841720202042
2,Grain farming,434,Nondepository credit intermediation and related activities,9.775158413456947E-06
2,Grain farming,436,Other financial investment activities,6.3375261211715515E-05
2,Grain farming,437,Insurance carriers,0.00014303721737683999
2,Grain farming,438,"Insurance agencies, brokerages, and related activities",4.9124167975071568E-05
2,Grain farming,440,Real estate,0.0072870461551940435
2,Grain farming,443,General and consumer goods rental except video tapes and discs,1.4252779655118866E-05
2,Grain farming,445,Commercial and industrial machinery and equipment rental and leasing,1.2934913188689199E-05
2,Grain farming,446,Lessors of nonfinancial intangible assets,0.00011799881200480911
2,Grain farming,447,Legal services,2.964235007150897E-05
2,Grain farming,448,"Accounting, tax preparation, bookkeeping, and payroll services",5.7583788487542559E-05
2,Grain farming,451,Custom computer programming services,1.7626351630170182E-07
2,Grain farming,452,Computer systems design services,1.4798544746912837E-05
2,Grain farming,453,"Other computer related services, including facilities management",1.2424272075082002E-05
2,Grain farming,457,"Advertising, public relations, and related services",1.2137266089704426E-08
2,Grain farming,465,Business support services,2.6139914227312616E-06
2,Grain farming,466,Travel arrangement and reservation services,1.3050059949805881E-05
2,Grain farming,469,Landscape and horticultural services,2.9081173452464009E-05
2,Grain farming,488,Performing arts companies,1.0038895061139708E-05
2,Grain farming,492,"Independent artists, writers, and performers",9.2193450782499181E-07
2,Grain farming,496,Other amusement and recreation industries,4.0788243196580214E-05
2,Grain farming,499,"Hotels and motels, including casino hotels",0.0012770536699819243
2,Grain farming,500,Other accommodations,5.3244986480193519E-06
2,Grain farming,501,Full-service restaurants,5.5934754375969512E-06
2,Grain farming,502,Limited-service restaurants,7.7730055270223107E-05
2,Grain farming,503,All other food and drinking places,3.0522115073137492E-05
2,Grain farming,504,"Automotive repair and maintenance, except car washes",7.1704214903936785E-05
2,Grain farming,506,Electronic and precision equipment repair and maintenance,8.8797390792772109E-06
2,Grain farming,507,Commercial and industrial machinery and equipment repair and maintenance,1.3513123747478347E-05
2,Grain farming,515,Business and professional associations,5.9508682118879826E-05
2,Grain farming,516,Labor and civic organizations,6.6089698025713308E-10
2,Grain farming,518,Postal service,2.0178591194884208E-05
2,Grain farming,526,Other local government enterprises,0.0054497137309472699
2,Grain farming,5001,Employee Compensation,0.0034382818266749382
2,Grain farming,6001,Proprietor Income,0.0083029614761471748
2,Grain farming,7001,Other Property Type Income,0.042715005576610565
2,Grain farming,8001,Tax on Production and Imports,-0.023306235671043396
2,Grain farming,11001,Federal Government NonDefense,0.00041093242675260523
