Regional SAM Balances IO Detail Accounts ,,,,
InstitutionPayments,TypeCodesAll.Description,InstitutionReceipts,TypeCodesAll_1.Description,Value
1,Oilseed farming,1,Oilseed farming,0.0098673085507052782
1,Oilseed farming,2,Grain farming,0.013063928994978991
1,Oilseed farming,3,Vegetable and melon farming,0.017851631511906607
1,Oilseed farming,4,Fruit farming,0.0015231624173826786
1,Oilseed farming,5,Tree nut farming,2.5765474019490836E-05
1,Oilseed farming,6,"Greenhouse, nursery, and floriculture production",0.0024833060432169485
1,Oilseed farming,9,Sugarcane and sugar beet farming,0.0012387342087365749
1,Oilseed farming,10,All other crop farming,0.031607656404869289
1,Oilseed farming,11,"Beef cattle ranching and farming, including feedlots and dual-purpose ranching and farming",0.013420355855279231
1,Oilseed farming,12,Dairy cattle and milk production,0.019812093316813773
1,Oilseed farming,13,Poultry and egg production,0.00015800074607326409
1,Oilseed farming,14,"Animal production, except cattle and poultry and eggs",0.0070842744427741522
1,Oilseed farming,19,Support activities for agriculture and forestry,0.15242630839036941
1,Oilseed farming,20,Extraction of natural gas and crude petroleum,0.00026152875205574452
1,Oilseed farming,31,Sand and gravel mining,2.9308980215923103E-06
1,Oilseed farming,49,Electric power transmission and distribution,0.020222483262028579
1,Oilseed farming,50,Natural gas distribution,0.0036292034876602153
1,Oilseed farming,62,Maintenance and repair construction of nonresidential structures,0.061588265486986593
1,Oilseed farming,130,Apparel accessories and other apparel manufacturing,1.4935791219212868E-07
1,Oilseed farming,134,Sawmills,0.00014598356731367057
1,Oilseed farming,141,"Other millwork, including flooring",0.00013699336078786505
1,Oilseed farming,145,All other miscellaneous wood product manufacturing,1.4641053309013153E-05
1,Oilseed farming,149,Paperboard container manufacturing,3.2861965381193248E-07
1,Oilseed farming,154,Printing,6.8938462896973515E-05
1,Oilseed farming,155,Support activities for printing,4.0400841232582E-07
1,Oilseed farming,185,Custom compounding of purchased resins,1.3855268929465782E-06
1,Oilseed farming,187,Other miscellaneous chemical product manufacturing,8.723297044301373E-05
1,Oilseed farming,192,Polystyrene foam product manufacturing,1.4603734992884448E-05
1,Oilseed farming,193,Urethane and other foam product (except polystyrene) manufacturing,2.0399115038465159E-08
1,Oilseed farming,195,Other plastics product manufacturing,9.1112210661409287E-05
1,Oilseed farming,229,Ferrous metal foundries,1.6381103491082015E-06
1,Oilseed farming,244,Metal tank (heavy gauge) manufacturing,6.6883237072455257E-07
1,Oilseed farming,249,Machine shops,5.4063502285452841E-06
1,Oilseed farming,252,Metal coating and nonprecious engraving,3.1517834152578835E-09
1,Oilseed farming,254,"Valve and fittings, other than plumbing, manufacturing",2.146155362796302E-08
1,Oilseed farming,262,Farm machinery and equipment manufacturing,0.061448443264842112
1,Oilseed farming,278,Industrial mold manufacturing,3.9440422598110763E-07
1,Oilseed farming,279,"Special tool, die, jig, and fixture manufacturing",1.4724942361753474E-07
1,Oilseed farming,341,Carbon and graphite product manufacturing,3.3328180115650479E-07
1,Oilseed farming,350,Motor vehicle gasoline engine and engine parts manufacturing,7.5474860456682322E-05
1,Oilseed farming,356,Other motor vehicle parts manufacturing,6.804916223640111E-05
1,Oilseed farming,364,Boat building,3.9204781959678865E-08
1,Oilseed farming,385,Sporting and athletic goods manufacturing,4.6393502468847379E-09
1,Oilseed farming,388,Sign manufacturing,3.0104099445456299E-09
1,Oilseed farming,394,All other miscellaneous manufacturing,1.0436175305886296E-05
1,Oilseed farming,395,Wholesale trade,0.057610466706782937
1,Oilseed farming,397,Retail - Furniture and home furnishings stores,2.0838761613623316E-05
1,Oilseed farming,398,Retail - Electronics and appliance stores,3.5012817248490083E-06
1,Oilseed farming,399,Retail - Building material and garden equipment and supplies stores,0.00015603623642274772
1,Oilseed farming,401,Retail - Health and personal care stores,0.00034257525927611915
1,Oilseed farming,402,Retail - Gasoline stores,0.00029727812217333893
1,Oilseed farming,403,Retail - Clothing and clothing accessories stores,0.0001897204053043812
1,Oilseed farming,404,"Retail - Sporting goods, hobby, musical instrument and book stores",5.2005083289542731E-05
1,Oilseed farming,405,Retail - General merchandise stores,0.0011977241420227935
1,Oilseed farming,406,Retail - Miscellaneous store retailers,0.0001514190025662613
1,Oilseed farming,407,Retail - Nonstore retailers,0.00074592012064643443
1,Oilseed farming,408,Air transportation,0.00011420252058365679
1,Oilseed farming,409,Rail transportation,0.0031307539613598667
1,Oilseed farming,411,Truck transportation,0.046183915976597767
1,Oilseed farming,413,Pipeline transportation,5.320432409400104E-05
1,Oilseed farming,416,Warehousing and storage,0.030159295770031402
1,Oilseed farming,419,Book publishers,3.1545187933906729E-05
1,Oilseed farming,427,Wired telecommunications carriers,0.00088969995352979059
1,Oilseed farming,429,"Satellite, telecommunications resellers, and all other telecommunications",1.7953915927450227E-05
1,Oilseed farming,433,Monetary authorities and depository credit intermediation,0.019713543383623744
1,Oilseed farming,434,Nondepository credit intermediation and related activities,0.00062952627841142417
1,Oilseed farming,435,Securities and commodity contracts intermediation and brokerage,1.4400022140818826E-05
1,Oilseed farming,436,Other financial investment activities,8.7618991415825548E-05
1,Oilseed farming,437,Insurance carriers,0.00033151578399841924
1,Oilseed farming,438,"Insurance agencies, brokerages, and related activities",0.0030597082601352965
1,Oilseed farming,440,Real estate,0.039457904096056318
1,Oilseed farming,442,Automotive equipment rental and leasing,0.0015332612642232069
1,Oilseed farming,443,General and consumer goods rental except video tapes and discs,1.3591911840423561E-05
1,Oilseed farming,445,Commercial and industrial machinery and equipment rental and leasing,0.002936832351384866
1,Oilseed farming,446,Lessors of nonfinancial intangible assets,0.00033090223806692132
1,Oilseed farming,447,Legal services,0.00023067868202877179
1,Oilseed farming,448,"Accounting, tax preparation, bookkeeping, and payroll services",0.0026289114869370578
1,Oilseed farming,449,"Architectural, engineering, and related services",9.2076339904429219E-05
1,Oilseed farming,451,Custom computer programming services,5.2153327249727059E-07
1,Oilseed farming,452,Computer systems design services,5.5256248775145504E-05
1,Oilseed farming,453,"Other computer related services, including facilities management",0.00021702685545013645
1,Oilseed farming,454,Management consulting services,2.9642269158083705E-05
1,Oilseed farming,460,"Marketing research and all other miscellaneous professional, scientific, and technical services",4.8160494650706029E-05
1,Oilseed farming,463,Facilities support services,3.9964518598453215E-05
1,Oilseed farming,464,Employment services,0.00011549548792380397
1,Oilseed farming,465,Business support services,8.4036049167089677E-05
1,Oilseed farming,468,Services to buildings,0.0001208795902112661
1,Oilseed farming,469,Landscape and horticultural services,3.2797189904312969E-05
1,Oilseed farming,471,Waste management and remediation services,0.0021214052753617263
1,Oilseed farming,488,Performing arts companies,5.9952008540360528E-06
1,Oilseed farming,490,Racing and Track Operation,0.0015037746438180955
1,Oilseed farming,496,Other amusement and recreation industries,0.00059613250274598295
1,Oilseed farming,499,"Hotels and motels, including casino hotels",0.00029507193809297921
1,Oilseed farming,500,Other accommodations,6.4887624921416065E-06
1,Oilseed farming,501,Full-service restaurants,6.8837168039502863E-05
1,Oilseed farming,502,Limited-service restaurants,0.0017537177759845424
1,Oilseed farming,503,All other food and drinking places,0.00044121539077453253
1,Oilseed farming,504,"Automotive repair and maintenance, except car washes",0.0027600503943477905
1,Oilseed farming,506,Electronic and precision equipment repair and maintenance,0.0002272364301289069
1,Oilseed farming,507,Commercial and industrial machinery and equipment repair and maintenance,0.0003754833095557103
