Regional SAM Balances IO Detail Accounts ,,,,
InstitutionPayments,TypeCodesAll.Description,InstitutionReceipts,TypeCodesAll_1.Description,Value
1,Oilseed farming,1,Oilseed farming,0.00092356910831750683
1,Oilseed farming,2,Grain farming,0.001459002305028767
1,Oilseed farming,3,Vegetable and melon farming,0.0013335691710203712
1,Oilseed farming,4,Fruit farming,0.0014642380869701877
1,Oilseed farming,5,Tree nut farming,1.2824013334665225E-05
1,Oilseed farming,6,"Greenhouse, nursery, and floriculture production",0.00045809198488211411
1,Oilseed farming,10,All other crop farming,0.0096150810805173403
1,Oilseed farming,11,"Beef cattle ranching and farming, including feedlots and dual-purpose ranching and farming",0.0046109517363466246
1,Oilseed farming,12,Dairy cattle and milk production,0.010544438584774829
1,Oilseed farming,13,Poultry and egg production,0.00020600882838710949
1,Oilseed farming,14,"Animal production, except cattle and poultry and eggs",0.0014155504004867148
1,Oilseed farming,19,Support activities for agriculture and forestry,0.17506980884694912
1,Oilseed farming,20,Extraction of natural gas and crude petroleum,0.00097952354196939595
1,Oilseed farming,31,Sand and gravel mining,5.6964602151703017E-07
1,Oilseed farming,49,Electric power transmission and distribution,0.0072783187024858531
1,Oilseed farming,62,Maintenance and repair construction of nonresidential structures,0.023009911372453562
1,Oilseed farming,123,Other textile product mills,2.2581334174158288E-08
1,Oilseed farming,134,Sawmills,1.9962022053393071E-05
1,Oilseed farming,139,Wood windows and door manufacturing,1.0191074856332827E-05
1,Oilseed farming,142,Wood container and pallet manufacturing,1.0475504407734572E-05
1,Oilseed farming,147,Paper mills,6.1712809824788128E-08
1,Oilseed farming,154,Printing,1.5842480544722031E-06
1,Oilseed farming,187,Other miscellaneous chemical product manufacturing,1.2213236225501467E-05
1,Oilseed farming,238,Fabricated structural metal manufacturing,8.0579360823245091E-08
1,Oilseed farming,241,Sheet metal work manufacturing,2.7362190489071852E-09
1,Oilseed farming,249,Machine shops,5.0537351269201735E-07
1,Oilseed farming,262,Farm machinery and equipment manufacturing,0.018195346760169873
1,Oilseed farming,276,Heating equipment (except warm air furnaces) manufacturing,2.0052677547622332E-10
1,Oilseed farming,287,Pump and pumping equipment manufacturing,1.430265456730043E-08
1,Oilseed farming,293,"Industrial truck, trailer, and stacker manufacturing",9.4301367656264351E-07
1,Oilseed farming,299,Fluid power pump and motor manufacturing,2.316997571150977E-09
1,Oilseed farming,356,Other motor vehicle parts manufacturing,2.4383622429768534E-05
1,Oilseed farming,376,"Showcase, partition, shelving, and locker manufacturing",1.8601274671416722E-07
