Regional SAM Balances IO Detail Accounts ,,,,
InstitutionPayments,TypeCodesAll.Description,InstitutionReceipts,TypeCodesAll_1.Description,Value
1,Oilseed farming,1,Oilseed farming,0.11263654759583375
1,Oilseed farming,2,Grain farming,0.070609050279914598
1,Oilseed farming,3,Vegetable and melon farming,0.00085951452158608554
1,Oilseed farming,4,Fruit farming,0.00077882394080232981
1,Oilseed farming,5,Tree nut farming,1.9546021317325569E-05
1,Oilseed farming,6,"Greenhouse, nursery, and floriculture production",0.0062315759054266673
1,Oilseed farming,9,Sugarcane and sugar beet farming,0.063529773014955992
1,Oilseed farming,10,All other crop farming,0.17516407952379609
1,Oilseed farming,11,"Beef cattle ranching and farming, including feedlots and dual-purpose ranching and farming",0.078919543784543578
1,Oilseed farming,12,Dairy cattle and milk production,0.11446022820206281
1,Oilseed farming,13,Poultry and egg production,0.00041778053014800837
1,Oilseed farming,14,"Animal production, except cattle and poultry and eggs",0.016418896659393445
1,Oilseed farming,19,Support activities for agriculture and forestry,0.19782254745640948
1,Oilseed farming,20,Extraction of natural gas and crude petroleum,0.0027459455035038771
1,Oilseed farming,31,Sand and gravel mining,0.00080864893636165003
1,Oilseed farming,36,Other nonmetallic minerals,0.00060542276456479471
1,Oilseed farming,51,"Water, sewage and other systems",0.020435441339687666
1,Oilseed farming,62,Maintenance and repair construction of nonresidential structures,0.4046986901956835
1,Oilseed farming,121,Textile bag and canvas mills,6.0788517503119013E-07
1,Oilseed farming,134,Sawmills,0.00022375346715853769
1,Oilseed farming,154,Printing,1.5115095859835484E-05
1,Oilseed farming,165,Other basic organic chemical manufacturing,4.4553826423768196E-06
1,Oilseed farming,171,Fertilizer mixing,0.0038411238387062729
1,Oilseed farming,185,Custom compounding of purchased resins,6.6300375626553339E-05
1,Oilseed farming,191,"Laminated plastics plate, sheet (except packaging), and shape manufacturing",3.8829305968863829E-07
1,Oilseed farming,193,Urethane and other foam product (except polystyrene) manufacturing,6.0240162451940008E-07
1,Oilseed farming,195,Other plastics product manufacturing,5.572567597867653E-06
1,Oilseed farming,198,Other rubber product manufacturing,1.4760570404270422E-05
1,Oilseed farming,209,Other concrete product manufacturing,3.313165396215097E-05
1,Oilseed farming,234,Crown and closure manufacturing and metal stamping,4.3359898466877665E-08
1,Oilseed farming,236,Handtool manufacturing,1.3167802983663656E-06
1,Oilseed farming,238,Fabricated structural metal manufacturing,1.3143166727751552E-06
1,Oilseed farming,239,Plate work manufacturing,2.8953357750245625E-05
1,Oilseed farming,241,Sheet metal work manufacturing,5.3683715935857393E-08
1,Oilseed farming,242,Ornamental and architectural metal work manufacturing,0.0015430412115547548
1,Oilseed farming,249,Machine shops,3.0428238278047508E-06
1,Oilseed farming,250,"Turned product and screw, nut, and bolt manufacturing",1.1377179667356916E-06
1,Oilseed farming,254,"Valve and fittings, other than plumbing, manufacturing",1.3805470458205691E-07
1,Oilseed farming,261,Other fabricated metal manufacturing,0.00021292710157126173
1,Oilseed farming,270,Printing machinery and equipment manufacturing,8.465994427796328E-06
1,Oilseed farming,271,All other industrial machinery manufacturing,2.2546241698709242E-09
1,Oilseed farming,279,"Special tool, die, jig, and fixture manufacturing",1.4506904630237916E-08
1,Oilseed farming,281,Machine tool manufacturing,9.3125551984292991E-09
1,Oilseed farming,293,"Industrial truck, trailer, and stacker manufacturing",2.6729489075823102E-05
1,Oilseed farming,335,Relay and industrial control manufacturing,1.2830926116828229E-07
1,Oilseed farming,346,Motor vehicle body manufacturing,2.0193315908005756E-07
1,Oilseed farming,376,"Showcase, partition, shelving, and locker manufacturing",3.0107510280104251E-07
1,Oilseed farming,388,Sign manufacturing,1.944718861337684E-08
1,Oilseed farming,394,All other miscellaneous manufacturing,2.5750830747515432E-05
1,Oilseed farming,395,Wholesale trade,0.78524876647458797
1,Oilseed farming,397,Retail - Furniture and home furnishings stores,1.9823399137925378E-05
1,Oilseed farming,398,Retail - Electronics and appliance stores,1.9761317451817738E-05
1,Oilseed farming,399,Retail - Building material and garden equipment and supplies stores,0.0013576305602561178
1,Oilseed farming,401,Retail - Health and personal care stores,0.0020665082841231364
1,Oilseed farming,402,Retail - Gasoline stores,0.0016267374739177554
1,Oilseed farming,403,Retail - Clothing and clothing accessories stores,0.00072312149369322537
1,Oilseed farming,404,"Retail - Sporting goods, hobby, musical instrument and book stores",0.00066566235982525035
1,Oilseed farming,405,Retail - General merchandise stores,0.0059725372857479808
1,Oilseed farming,406,Retail - Miscellaneous store retailers,0.0011388949957888972
1,Oilseed farming,407,Retail - Nonstore retailers,0.0062745701423336797
1,Oilseed farming,409,Rail transportation,0.013523943188217258
1,Oilseed farming,410,Water transportation,0.00095252472844688241
1,Oilseed farming,411,Truck transportation,0.26513111776991849
1,Oilseed farming,416,Warehousing and storage,0.036787038400737604
1,Oilseed farming,422,Software publishers,9.1209300900491244E-08
1,Oilseed farming,427,Wired telecommunications carriers,0.0010300362868988361
1,Oilseed farming,433,Monetary authorities and depository credit intermediation,0.16569824514040832
1,Oilseed farming,434,Nondepository credit intermediation and related activities,0.0064086433818376087
1,Oilseed farming,436,Other financial investment activities,0.0112177384109865
1,Oilseed farming,437,Insurance carriers,0.064525642038582909
1,Oilseed farming,438,"Insurance agencies, brokerages, and related activities",0.01704309200234233
1,Oilseed farming,440,Real estate,0.34674130951602677
1,Oilseed farming,443,General and consumer goods rental except video tapes and discs,6.6616224938335564E-05
1,Oilseed farming,445,Commercial and industrial machinery and equipment rental and leasing,0.00091203881613693971
1,Oilseed farming,447,Legal services,0.0033874511820068398
1,Oilseed farming,448,"Accounting, tax preparation, bookkeeping, and payroll services",0.040179088126675921
1,Oilseed farming,449,"Architectural, engineering, and related services",0.0014826124149652092
1,Oilseed farming,451,Custom computer programming services,1.2401381593212749E-05
1,Oilseed farming,452,Computer systems design services,0.00023433336706096819
