Regional SAM Balances IO Detail Accounts ,,,,
InstitutionPayments,TypeCodesAll.Description,InstitutionReceipts,TypeCodesAll_1.Description,Value
1,Oilseed farming,1,Oilseed farming,0.026470696578516417
1,Oilseed farming,2,Grain farming,0.026700190909599186
1,Oilseed farming,3,Vegetable and melon farming,0.015437480226207612
1,Oilseed farming,4,Fruit farming,0.00036933243874490151
1,Oilseed farming,5,Tree nut farming,6.7457811112504596E-07
1,Oilseed farming,6,"Greenhouse, nursery, and floriculture production",0.0010769662567775701
1,Oilseed farming,10,All other crop farming,0.061682510740076246
1,Oilseed farming,11,"Beef cattle ranching and farming, including feedlots and dual-purpose ranching and farming",0.020907210904442586
1,Oilseed farming,12,Dairy cattle and milk production,0.013390334777361623
1,Oilseed farming,13,Poultry and egg production,0.0041609933459757498
1,Oilseed farming,14,"Animal production, except cattle and poultry and eggs",0.016310398918137459
1,Oilseed farming,19,Support activities for agriculture and forestry,1.3627449416478896
1,Oilseed farming,20,Extraction of natural gas and crude petroleum,0.0011114623063306767
1,Oilseed farming,49,Electric power transmission and distribution,0.013879620542301741
1,Oilseed farming,50,Natural gas distribution,0.00010134782985842493
1,Oilseed farming,51,"Water, sewage and other systems",0.0017389195408342717
1,Oilseed farming,62,Maintenance and repair construction of nonresidential structures,0.10410954286630769
1,Oilseed farming,121,Textile bag and canvas mills,9.651257454626587E-08
1,Oilseed farming,134,Sawmills,0.00028865938527398299
1,Oilseed farming,135,Wood preservation,0.00017586399577151218
1,Oilseed farming,141,"Other millwork, including flooring",5.9431943645188445E-05
1,Oilseed farming,142,Wood container and pallet manufacturing,0.00012280975918914881
1,Oilseed farming,149,Paperboard container manufacturing,1.1564310425002909E-06
1,Oilseed farming,153,All other converted paper product manufacturing,8.493419091608515E-08
1,Oilseed farming,154,Printing,4.8891450226453033E-05
1,Oilseed farming,156,Petroleum refineries,0.29770753180109466
1,Oilseed farming,187,Other miscellaneous chemical product manufacturing,4.2460092827633841E-05
1,Oilseed farming,191,"Laminated plastics plate, sheet (except packaging), and shape manufacturing",1.5728730450471765E-06
1,Oilseed farming,192,Polystyrene foam product manufacturing,0.00015112199718826658
1,Oilseed farming,195,Other plastics product manufacturing,0.0004802370799330824
1,Oilseed farming,198,Other rubber product manufacturing,4.4574471907429065E-06
1,Oilseed farming,229,Ferrous metal foundries,4.0620854685456957E-06
1,Oilseed farming,234,Crown and closure manufacturing and metal stamping,1.8915755827854532E-07
1,Oilseed farming,236,Handtool manufacturing,1.2500720600887479E-05
1,Oilseed farming,239,Plate work manufacturing,2.6830801202206832E-05
1,Oilseed farming,248,Spring and wire product manufacturing,2.2745594952288187E-06
1,Oilseed farming,249,Machine shops,3.3576613781545559E-06
1,Oilseed farming,250,"Turned product and screw, nut, and bolt manufacturing",2.8438403122264215E-08
1,Oilseed farming,252,Metal coating and nonprecious engraving,7.6414023427763883E-08
1,Oilseed farming,260,Fabricated pipe and pipe fitting manufacturing,4.8179609683598502E-06
1,Oilseed farming,269,"Sawmill, woodworking, and paper machinery",8.1338171999260401E-07
1,Oilseed farming,271,All other industrial machinery manufacturing,4.0002010001779113E-08
1,Oilseed farming,277,"Air conditioning, refrigeration, and warm air heating equipment manufacturing",1.3333620799108899E-06
1,Oilseed farming,278,Industrial mold manufacturing,4.75269861565116E-08
1,Oilseed farming,279,"Special tool, die, jig, and fixture manufacturing",3.2612783799306334E-07
1,Oilseed farming,281,Machine tool manufacturing,7.5674299028589922E-08
1,Oilseed farming,282,Rolling mill and other metalworking machinery manufacturing,2.6164501496322012E-09
1,Oilseed farming,299,Fluid power pump and motor manufacturing,1.4479222812698299E-08
1,Oilseed farming,300,"Scales, balances, and miscellaneous general purpose machinery manufacturing",1.7181377535816801E-06
1,Oilseed farming,346,Motor vehicle body manufacturing,4.3017270638096689E-06
1,Oilseed farming,353,Motor vehicle transmission and power train parts manufacturing,2.4149152487694565E-05
1,Oilseed farming,356,Other motor vehicle parts manufacturing,0.0003411626094540314
1,Oilseed farming,367,All other transportation equipment manufacturing,0.013500652389960566
1,Oilseed farming,388,Sign manufacturing,1.8570371648320192E-08
1,Oilseed farming,394,All other miscellaneous manufacturing,1.7234131406909095E-05
1,Oilseed farming,395,Wholesale trade,0.13079027054729409
1,Oilseed farming,397,Retail - Furniture and home furnishings stores,6.6045550856093198E-05
1,Oilseed farming,398,Retail - Electronics and appliance stores,1.8290231833767694E-05
1,Oilseed farming,399,Retail - Building material and garden equipment and supplies stores,0.00056828923149375432
1,Oilseed farming,401,Retail - Health and personal care stores,0.00064341944614936669
1,Oilseed farming,402,Retail - Gasoline stores,0.00049830966277608635
1,Oilseed farming,403,Retail - Clothing and clothing accessories stores,0.00049642613693060694
1,Oilseed farming,404,"Retail - Sporting goods, hobby, musical instrument and book stores",0.00017665933275483152
1,Oilseed farming,405,Retail - General merchandise stores,0.0027918824994628555
1,Oilseed farming,406,Retail - Miscellaneous store retailers,0.00068394771020031941
1,Oilseed farming,407,Retail - Nonstore retailers,0.0034874900094594707
1,Oilseed farming,408,Air transportation,0.00062339812155907948
1,Oilseed farming,409,Rail transportation,0.021705076093737619
1,Oilseed farming,411,Truck transportation,0.038970851219910063
1,Oilseed farming,413,Pipeline transportation,0.0050892725604937405
1,Oilseed farming,416,Warehousing and storage,0.026134608522658809
1,Oilseed farming,427,Wired telecommunications carriers,0.00057588457628280493
1,Oilseed farming,428,Wireless telecommunications carriers (except satellite),0.00676857980964507
1,Oilseed farming,429,"Satellite, telecommunications resellers, and all other telecommunications",4.1395745591436307E-05
1,Oilseed farming,433,Monetary authorities and depository credit intermediation,0.04330069204004916
1,Oilseed farming,434,Nondepository credit intermediation and related activities,0.0032750307899011011
1,Oilseed farming,436,Other financial investment activities,0.0042966157541506345
1,Oilseed farming,437,Insurance carriers,0.0028723185790310857
1,Oilseed farming,438,"Insurance agencies, brokerages, and related activities",0.0072361602181399975
1,Oilseed farming,440,Real estate,0.10995238440288802
1,Oilseed farming,442,Automotive equipment rental and leasing,0.00093519363862326621
1,Oilseed farming,443,General and consumer goods rental except video tapes and discs,0.00033567404599605874
1,Oilseed farming,445,Commercial and industrial machinery and equipment rental and leasing,0.0080399497122657371
1,Oilseed farming,446,Lessors of nonfinancial intangible assets,0.00064526591944775308
1,Oilseed farming,447,Legal services,0.0013213430617871891
1,Oilseed farming,448,"Accounting, tax preparation, bookkeeping, and payroll services",0.025699437425805272
1,Oilseed farming,449,"Architectural, engineering, and related services",0.00013343723741531151
1,Oilseed farming,451,Custom computer programming services,3.1232119339849053E-06
1,Oilseed farming,452,Computer systems design services,2.8733013583114638E-05
1,Oilseed farming,453,"Other computer related services, including facilities management",4.7726015137221876E-05
1,Oilseed farming,454,Management consulting services,0.00016207578997420868
1,Oilseed farming,460,"Marketing research and all other miscellaneous professional, scientific, and technical services",0.00017976205620885352
1,Oilseed farming,462,Office administrative services,7.0480622149335023E-05
1,Oilseed farming,463,Facilities support services,1.8966372706915495E-05
1,Oilseed farming,464,Employment services,0.00033998581713943696
1,Oilseed farming,465,Business support services,0.00043888199278108164
1,Oilseed farming,468,Services to buildings,9.2413208574794112E-05
1,Oilseed farming,469,Landscape and horticultural services,8.7492613226240398E-05
1,Oilseed farming,470,Other support services,3.5967488679618936E-05
1,Oilseed farming,471,Waste management and remediation services,0.0037291047543553391
1,Oilseed farming,473,"Junior colleges, colleges, universities, and professional schools",0.0002507016790720476
1,Oilseed farming,488,Performing arts companies,1.2386353715423569E-05
1,Oilseed farming,491,Promoters of performing arts and sports and agents for public figures,0.00013588258799807074
1,Oilseed farming,496,Other amusement and recreation industries,0.0020110060953242304
1,Oilseed farming,499,"Hotels and motels, including casino hotels",0.00066527741464261769
1,Oilseed farming,500,Other accommodations,2.0824597207791482E-05
1,Oilseed farming,501,Full-service restaurants,0.00015282408521519533
1,Oilseed farming,502,Limited-service restaurants,0.0040029424797445867
1,Oilseed farming,503,All other food and drinking places,0.00085733012551963972
1,Oilseed farming,504,"Automotive repair and maintenance, except car washes",0.0058809816421721006
1,Oilseed farming,506,Electronic and precision equipment repair and maintenance,0.0019281726689489298
1,Oilseed farming,507,Commercial and industrial machinery and equipment repair and maintenance,0.00085111726382852693
1,Oilseed farming,515,Business and professional associations,0.0074975804255553724
1,Oilseed farming,518,Postal service,0.00088341486225411436
1,Oilseed farming,5001,Employee Compensation,0.12381864339113236
1,Oilseed farming,6001,Proprietor Income,3.8350732326507568
1,Oilseed farming,7001,Other Property Type Income,13.23394775390625
1,Oilseed farming,8001,Tax on Production and Imports,0.36683556437492371
