Regional SAM Balances IO Detail Accounts ,,,,
InstitutionPayments,TypeCodesAll.Description,InstitutionReceipts,TypeCodesAll_1.Description,Value
1,Oilseed farming,1,Oilseed farming,0.064514778820790042
1,Oilseed farming,2,Grain farming,0.053388828157452384
1,Oilseed farming,3,Vegetable and melon farming,0.0060079948349368584
1,Oilseed farming,4,Fruit farming,0.00073303032449133221
1,Oilseed farming,5,Tree nut farming,5.2248620915498832E-07
1,Oilseed farming,6,"Greenhouse, nursery, and floriculture production",0.00083001936116490482
1,Oilseed farming,9,Sugarcane and sugar beet farming,0.03524833523751747
1,Oilseed farming,10,All other crop farming,0.10219191192509847
1,Oilseed farming,11,"Beef cattle ranching and farming, including feedlots and dual-purpose ranching and farming",0.026918820515254183
1,Oilseed farming,12,Dairy cattle and milk production,0.021429162218160824
1,Oilseed farming,13,Poultry and egg production,0.047677461971138424
1,Oilseed farming,14,"Animal production, except cattle and poultry and eggs",0.0097475525868608859
1,Oilseed farming,19,Support activities for agriculture and forestry,0.21441555647637145
1,Oilseed farming,20,Extraction of natural gas and crude petroleum,0.0050404734963647724
1,Oilseed farming,31,Sand and gravel mining,0.00018788583835672654
1,Oilseed farming,49,Electric power transmission and distribution,0.046131826104848006
1,Oilseed farming,50,Natural gas distribution,7.7674069159842582E-05
1,Oilseed farming,51,"Water, sewage and other systems",0.0021780357482152901
1,Oilseed farming,62,Maintenance and repair construction of nonresidential structures,0.21632371019640395
1,Oilseed farming,134,Sawmills,0.00011917284062690214
1,Oilseed farming,154,Printing,1.3925538880325914E-05
1,Oilseed farming,165,Other basic organic chemical manufacturing,0.00011190249700954256
1,Oilseed farming,187,Other miscellaneous chemical product manufacturing,0.00056331535257910653
1,Oilseed farming,195,Other plastics product manufacturing,1.6111545070858968E-05
1,Oilseed farming,229,Ferrous metal foundries,3.3046456242204344E-06
1,Oilseed farming,234,Crown and closure manufacturing and metal stamping,7.2028194075057181E-08
1,Oilseed farming,238,Fabricated structural metal manufacturing,9.6056177090730335E-07
1,Oilseed farming,242,Ornamental and architectural metal work manufacturing,0.00060090167829913999
1,Oilseed farming,248,Spring and wire product manufacturing,4.6932675907052066E-07
1,Oilseed farming,249,Machine shops,2.2601274333960194E-05
1,Oilseed farming,254,"Valve and fittings, other than plumbing, manufacturing",7.4003689202063087E-09
1,Oilseed farming,262,Farm machinery and equipment manufacturing,0.028674886526815824
1,Oilseed farming,271,All other industrial machinery manufacturing,1.1837041434150064E-08
1,Oilseed farming,278,Industrial mold manufacturing,1.8317682034346422E-08
1,Oilseed farming,279,"Special tool, die, jig, and fixture manufacturing",1.2132487558673563E-08
1,Oilseed farming,280,Cutting tool and machine tool accessory manufacturing,1.8326967215676346E-07
1,Oilseed farming,281,Machine tool manufacturing,4.1535561150269234E-08
1,Oilseed farming,285,Mechanical power transmission equipment manufacturing,1.9717666694531546E-06
1,Oilseed farming,292,"Overhead cranes, hoists, and monorail systems manufacturing",5.0561006574721717E-07
1,Oilseed farming,296,Packaging machinery manufacturing,2.1461206187868391E-06
1,Oilseed farming,350,Motor vehicle gasoline engine and engine parts manufacturing,0.00016894666768454102
1,Oilseed farming,352,"Motor vehicle steering, suspension component (except spring), and brake systems manufacturing",6.2261497455310972E-05
1,Oilseed farming,356,Other motor vehicle parts manufacturing,0.0003610360229698191
1,Oilseed farming,376,"Showcase, partition, shelving, and locker manufacturing",6.3288884862570716E-08
1,Oilseed farming,394,All other miscellaneous manufacturing,6.3920178952387927E-05
1,Oilseed farming,395,Wholesale trade,0.43060685067224114
1,Oilseed farming,397,Retail - Furniture and home furnishings stores,2.1962844321776276E-05
1,Oilseed farming,398,Retail - Electronics and appliance stores,4.9514423272099079E-06
1,Oilseed farming,399,Retail - Building material and garden equipment and supplies stores,0.00060997503179316404
1,Oilseed farming,401,Retail - Health and personal care stores,0.00076298707558404566
1,Oilseed farming,402,Retail - Gasoline stores,0.00098532670564828451
1,Oilseed farming,403,Retail - Clothing and clothing accessories stores,0.00036575415460035274
1,Oilseed farming,404,"Retail - Sporting goods, hobby, musical instrument and book stores",5.2775757577245858E-05
1,Oilseed farming,405,Retail - General merchandise stores,0.0030979171977978948
1,Oilseed farming,406,Retail - Miscellaneous store retailers,0.00052075425051081176
1,Oilseed farming,407,Retail - Nonstore retailers,0.0038272483530553125
1,Oilseed farming,408,Air transportation,0.00057681418229548614
1,Oilseed farming,409,Rail transportation,0.025376571481819932
1,Oilseed farming,411,Truck transportation,0.1645223960837594
1,Oilseed farming,413,Pipeline transportation,0.0063853746844981241
1,Oilseed farming,416,Warehousing and storage,0.056673451584534629
1,Oilseed farming,418,Periodical publishers,0.0020330320920170925
1,Oilseed farming,422,Software publishers,1.403518659628619E-05
1,Oilseed farming,427,Wired telecommunications carriers,0.00037721472439862513
1,Oilseed farming,428,Wireless telecommunications carriers (except satellite),0.0029742549025645881
1,Oilseed farming,429,"Satellite, telecommunications resellers, and all other telecommunications",0.00018430510529804552
1,Oilseed farming,433,Monetary authorities and depository credit intermediation,0.065195116913769446
1,Oilseed farming,434,Nondepository credit intermediation and related activities,0.002877179586470241
1,Oilseed farming,436,Other financial investment activities,0.0033747366763561826
1,Oilseed farming,437,Insurance carriers,0.0062482177029104524
1,Oilseed farming,438,"Insurance agencies, brokerages, and related activities",0.010297142748107668
1,Oilseed farming,440,Real estate,0.11453163563044022
1,Oilseed farming,443,General and consumer goods rental except video tapes and discs,0.00015548232536375349
1,Oilseed farming,445,Commercial and industrial machinery and equipment rental and leasing,0.017679772511903336
1,Oilseed farming,446,Lessors of nonfinancial intangible assets,0.00053160857942137485
1,Oilseed farming,447,Legal services,0.0021137183396627013
1,Oilseed farming,448,"Accounting, tax preparation, bookkeeping, and payroll services",0.0279697994013417
1,Oilseed farming,449,"Architectural, engineering, and related services",0.00017768894827406047
1,Oilseed farming,451,Custom computer programming services,1.0537414079707179E-05
1,Oilseed farming,452,Computer systems design services,5.9221853963249433E-05
1,Oilseed farming,453,"Other computer related services, including facilities management",0.00045326479367707728
1,Oilseed farming,454,Management consulting services,0.00043229767579297529
1,Oilseed farming,462,Office administrative services,0.00013572325646703243
1,Oilseed farming,464,Employment services,0.00031276935907793846
1,Oilseed farming,465,Business support services,0.0004372868625105962
1,Oilseed farming,468,Services to buildings,0.00023965301860004971
1,Oilseed farming,469,Landscape and horticultural services,0.00040421701464775361
1,Oilseed farming,471,Waste management and remediation services,0.0041236230379594341
1,Oilseed farming,488,Performing arts companies,1.466470723766758E-05
1,Oilseed farming,490,Racing and Track Operation,0.0048881245123598149
1,Oilseed farming,496,Other amusement and recreation industries,0.001035849765281982
1,Oilseed farming,499,"Hotels and motels, including casino hotels",8.462254819011604E-05
1,Oilseed farming,500,Other accommodations,5.3252206126553053E-05
1,Oilseed farming,501,Full-service restaurants,0.00017208916404543549
1,Oilseed farming,502,Limited-service restaurants,0.0044612188129108943
1,Oilseed farming,503,All other food and drinking places,0.00086575476176850574
1,Oilseed farming,504,"Automotive repair and maintenance, except car washes",0.0049833321470942882
1,Oilseed farming,506,Electronic and precision equipment repair and maintenance,0.0027613943098810378
1,Oilseed farming,507,Commercial and industrial machinery and equipment repair and maintenance,0.0015480337761245716
1,Oilseed farming,515,Business and professional associations,0.0097056334621776763
1,Oilseed farming,518,Postal service,0.001350272569530922
1,Oilseed farming,5001,Employee Compensation,0.14961990714073181
1,Oilseed farming,6001,Proprietor Income,5.4678759574890137
1,Oilseed farming,7001,Other Property Type Income,18.922908782958984
1,Oilseed farming,8001,Tax on Production and Imports,0.5230177640914917
1,Oilseed farming,11001,Federal Government NonDefense,0.00050659272735118226
1,Oilseed farming,12001,State/Local Govt NonEducation,0.017998633896479242
1,Oilseed farming,14002,Inventory Additions/Deletions,0.0073852211194343357
1,Oilseed farming,25001,Foreign Trade,0.52279547368828772
1,Oilseed farming,28001,Domestic Trade,6.0120085628114408
2,Grain farming,1,Oilseed farming,0.25366561678814037
2,Grain farming,2,Grain farming,1.4404207384459511
2,Grain farming,3,Vegetable and melon farming,0.06305500275498499
2,Grain farming,4,Fruit farming,0.0076947844784072128
2,Grain farming,5,Tree nut farming,5.4846603596043911E-06
2,Grain farming,6,"Greenhouse, nursery, and floriculture production",0.0087112053200248951
2,Grain farming,9,Sugarcane and sugar beet farming,0.37043284327770465
2,Grain farming,10,All other crop farming,0.55206801280787943
2,Grain farming,11,"Beef cattle ranching and farming, including feedlots and dual-purpose ranching and farming",0.40572329719723399
2,Grain farming,12,Dairy cattle and milk production,0.22490682687017838
2,Grain farming,13,Poultry and egg production,0.45271025503021178
2,Grain farming,14,"Animal production, except cattle and poultry and eggs",0.14417599183163077
2,Grain farming,19,Support activities for agriculture and forestry,2.2579662735313946
2,Grain farming,20,Extraction of natural gas and crude petroleum,0.049049521941889829
2,Grain farming,31,Sand and gravel mining,0.0034167158939483189
2,Grain farming,49,Electric power transmission and distribution,0.1823949726370806
2,Grain farming,50,Natural gas distribution,0.0026505538831120834
2,Grain farming,51,"Water, sewage and other systems",0.022693000013983333
2,Grain farming,62,Maintenance and repair construction of nonresidential structures,0.96486097137264437
2,Grain farming,154,Printing,0.00015258590214029151
2,Grain farming,165,Other basic organic chemical manufacturing,0.00046101085703334488
2,Grain farming,187,Other miscellaneous chemical product manufacturing,0.0044733109771176172
2,Grain farming,195,Other plastics product manufacturing,0.00010718844803729415
2,Grain farming,229,Ferrous metal foundries,2.7126299300431807E-05
2,Grain farming,234,Crown and closure manufacturing and metal stamping,2.0566731038447516E-06
2,Grain farming,238,Fabricated structural metal manufacturing,3.5744447466214786E-06
2,Grain farming,242,Ornamental and architectural metal work manufacturing,0.0046653436955292893
2,Grain farming,248,Spring and wire product manufacturing,6.6314708694994225E-06
2,Grain farming,249,Machine shops,0.00025973268842248778
2,Grain farming,262,Farm machinery and equipment manufacturing,0.22262911271385377
2,Grain farming,271,All other industrial machinery manufacturing,1.3603068382895014E-07
2,Grain farming,278,Industrial mold manufacturing,2.105058650101927E-07
2,Grain farming,279,"Special tool, die, jig, and fixture manufacturing",1.394259276817095E-07
2,Grain farming,280,Cutting tool and machine tool accessory manufacturing,1.2173961818767596E-06
2,Grain farming,281,Machine tool manufacturing,4.7732454837300808E-07
2,Grain farming,285,Mechanical power transmission equipment manufacturing,1.4065098986263585E-05
2,Grain farming,292,"Overhead cranes, hoists, and monorail systems manufacturing",1.2450952699554234E-06
2,Grain farming,296,Packaging machinery manufacturing,5.3901179017144612E-06
2,Grain farming,350,Motor vehicle gasoline engine and engine parts manufacturing,0.0011970905763144385
2,Grain farming,352,"Motor vehicle steering, suspension component (except spring), and brake systems manufacturing",0.0004492996379248243
2,Grain farming,356,Other motor vehicle parts manufacturing,0.0029635762434542801
2,Grain farming,376,"Showcase, partition, shelving, and locker manufacturing",4.2033000758468072E-07
2,Grain farming,394,All other miscellaneous manufacturing,0.00048971166771083485
2,Grain farming,395,Wholesale trade,3.2409689811678959
2,Grain farming,397,Retail - Furniture and home furnishings stores,0.00019011636257122017
2,Grain farming,398,Retail - Electronics and appliance stores,4.2861034773385934E-05
2,Grain farming,399,Retail - Building material and garden equipment and supplies stores,0.0052801104114429398
2,Grain farming,400,Retail - Food and beverage stores,0.0072914073430618842
2,Grain farming,401,Retail - Health and personal care stores,0.0066046246648526763
2,Grain farming,402,Retail - Gasoline stores,0.0085292569960392361
2,Grain farming,403,Retail - Clothing and clothing accessories stores,0.0031660679088411081
2,Grain farming,404,"Retail - Sporting goods, hobby, musical instrument and book stores",0.00045684137065560293
2,Grain farming,405,Retail - General merchandise stores,0.015257616436827215
2,Grain farming,406,Retail - Miscellaneous store retailers,0.0045077908653631815
2,Grain farming,407,Retail - Nonstore retailers,0.033129708822921433
2,Grain farming,408,Air transportation,0.0052556269673874612
2,Grain farming,409,Rail transportation,0.27692240294305748
2,Grain farming,411,Truck transportation,0.92674254858829386
2,Grain farming,413,Pipeline transportation,0.099005293981214493
2,Grain farming,416,Warehousing and storage,0.090238756756776617
2,Grain farming,417,Newspaper publishers,0.00030165120557495637
2,Grain farming,418,Periodical publishers,0.011000046030134825
2,Grain farming,422,Software publishers,0.0085084219586818444
2,Grain farming,425,Radio and television broadcasting,8.7392864041364871E-05
2,Grain farming,427,Wired telecommunications carriers,0.0018170737769259981
2,Grain farming,428,Wireless telecommunications carriers (except satellite),0.014944622261309659
2,Grain farming,429,"Satellite, telecommunications resellers, and all other telecommunications",0.0011578095050641668
2,Grain farming,430,"Data processing, hosting, and related services",0.00010267777247210778
2,Grain farming,433,Monetary authorities and depository credit intermediation,0.60748489276927131
2,Grain farming,434,Nondepository credit intermediation and related activities,0.033076205196771902
2,Grain farming,436,Other financial investment activities,0.020655519719849247
2,Grain farming,437,Insurance carriers,0.086028647557322202
2,Grain farming,438,"Insurance agencies, brokerages, and related activities",0.024418172076524858
2,Grain farming,440,Real estate,1.2436396227916333
2,Grain farming,443,General and consumer goods rental except video tapes and discs,0.0028667257153119352
2,Grain farming,445,Commercial and industrial machinery and equipment rental and leasing,0.32597313649283066
2,Grain farming,446,Lessors of nonfinancial intangible assets,0.0086027766017505725
2,Grain farming,447,Legal services,0.049969528950358999
2,Grain farming,448,"Accounting, tax preparation, bookkeeping, and payroll services",0.15210408010112886
2,Grain farming,451,Custom computer programming services,0.00083036856946097637
2,Grain farming,452,Computer systems design services,0.0046667964025149944
2,Grain farming,453,"Other computer related services, including facilities management",0.032013434920396655
2,Grain farming,457,"Advertising, public relations, and related services",8.4687635546022884E-05
2,Grain farming,462,Office administrative services,0.00031776307755970387
2,Grain farming,465,Business support services,0.0021589044238131405
2,Grain farming,466,Travel arrangement and reservation services,0.0005735515884134762
2,Grain farming,468,Services to buildings,0.023212961808786403
2,Grain farming,469,Landscape and horticultural services,0.039152744724953337
2,Grain farming,488,Performing arts companies,7.2752343898080732E-05
2,Grain farming,490,Racing and Track Operation,0.024074602459914995
2,Grain farming,492,"Independent artists, writers, and performers",9.7195887750001556E-05
2,Grain farming,496,Other amusement and recreation industries,0.0048182579147966753
2,Grain farming,499,"Hotels and motels, including casino hotels",0.00091887698376798277
2,Grain farming,500,Other accommodations,0.00057823812200349239
2,Grain farming,501,Full-service restaurants,0.00084755995418708818
2,Grain farming,502,Limited-service restaurants,0.023436843039466027
2,Grain farming,503,All other food and drinking places,0.0049746045702986352
2,Grain farming,504,"Automotive repair and maintenance, except car washes",0.037269775676957551
2,Grain farming,506,Electronic and precision equipment repair and maintenance,0.020606365385675618
2,Grain farming,507,Commercial and industrial machinery and equipment repair and maintenance,0.011859948730269299
2,Grain farming,515,Business and professional associations,0.0070842400529704808
2,Grain farming,516,Labor and civic organizations,6.9821691854097634E-07
2,Grain farming,518,Postal service,0.010344841901114177
2,Grain farming,5001,Employee Compensation,1.5040121078491211
2,Grain farming,6001,Proprietor Income,4.052635669708252
2,Grain farming,7001,Other Property Type Income,21.242464065551758
2,Grain farming,8001,Tax on Production and Imports,-11.37566089630127
2,Grain farming,11001,Federal Government NonDefense,0.0031011288927359371
2,Grain farming,12001,State/Local Govt NonEducation,0.17889360328850484
2,Grain farming,14002,Inventory Additions/Deletions,0.014722757564931393
2,Grain farming,25001,Foreign Trade,4.9611600596231726
2,Grain farming,28001,Domestic Trade,57.549828037503652
3,Vegetable and melon farming,1,Oilseed farming,0.0020354244330191978
3,Vegetable and melon farming,2,Grain farming,0.0046228919683027059
3,Vegetable and melon farming,3,Vegetable and melon farming,0.017292028751954791
3,Vegetable and melon farming,4,Fruit farming,6.3228290597382338E-05
3,Vegetable and melon farming,5,Tree nut farming,4.5067632490556278E-08
3,Vegetable and melon farming,6,"Greenhouse, nursery, and floriculture production",7.1577354282938242E-05
3,Vegetable and melon farming,9,Sugarcane and sugar beet farming,0.003044579881165993
3,Vegetable and melon farming,11,"Beef cattle ranching and farming, including feedlots and dual-purpose ranching and farming",0.0010919466569495953
3,Vegetable and melon farming,12,Dairy cattle and milk production,0.0018479983792501487
3,Vegetable and melon farming,13,Poultry and egg production,0.0037197938043955492
3,Vegetable and melon farming,14,"Animal production, except cattle and poultry and eggs",0.0002036525625495611
3,Vegetable and melon farming,19,Support activities for agriculture and forestry,0.018566055299980122
3,Vegetable and melon farming,20,Extraction of natural gas and crude petroleum,0.00022573887076388077
3,Vegetable and melon farming,31,Sand and gravel mining,1.8373886486712726E-05
3,Vegetable and melon farming,49,Electric power transmission and distribution,0.005376038573805364
3,Vegetable and melon farming,50,Natural gas distribution,3.7618118558028742E-06
3,Vegetable and melon farming,51,"Water, sewage and other systems",0.00021221357480817778
