Regional SAM Balances IO Detail Accounts ,,,,
InstitutionPayments,TypeCodesAll.Description,InstitutionReceipts,TypeCodesAll_1.Description,Value
1,Oilseed farming,1,Oilseed farming,0.0023490862607311591
1,Oilseed farming,2,Grain farming,0.0060733989308400793
1,Oilseed farming,3,Vegetable and melon farming,0.006336505469554804
1,Oilseed farming,4,Fruit farming,0.019821243950518541
1,Oilseed farming,5,Tree nut farming,0.00010935548929934171
1,Oilseed farming,6,"Greenhouse, nursery, and floriculture production",0.0038008485456611507
1,Oilseed farming,10,All other crop farming,0.016812365441980504
1,Oilseed farming,11,"Beef cattle ranching and farming, including feedlots and dual-purpose ranching and farming",0.0029337357474733261
1,Oilseed farming,12,Dairy cattle and milk production,0.0086413651674752123
1,Oilseed farming,13,Poultry and egg production,0.00030732904204733118
1,Oilseed farming,14,"Animal production, except cattle and poultry and eggs",0.00088322110269902637
1,Oilseed farming,19,Support activities for agriculture and forestry,0.36483911033288408
1,Oilseed farming,20,Extraction of natural gas and crude petroleum,5.7447612697642588E-05
1,Oilseed farming,31,Sand and gravel mining,0.00018064407110085154
1,Oilseed farming,50,Natural gas distribution,1.4281118021658738E-05
1,Oilseed farming,62,Maintenance and repair construction of nonresidential structures,0.031520379292420131
1,Oilseed farming,145,All other miscellaneous wood product manufacturing,8.3318743795073686E-06
1,Oilseed farming,149,Paperboard container manufacturing,3.6741974247462168E-09
1,Oilseed farming,153,All other converted paper product manufacturing,1.2598759903506068E-09
1,Oilseed farming,154,Printing,2.8043291155506784E-07
1,Oilseed farming,166,Plastics material and resin manufacturing,1.8546663887536669E-07
1,Oilseed farming,192,Polystyrene foam product manufacturing,1.0803266990400638E-06
1,Oilseed farming,195,Other plastics product manufacturing,6.850053374971249E-06
1,Oilseed farming,197,Rubber and plastics hoses and belting manufacturing,5.2477746604894817E-06
1,Oilseed farming,237,Prefabricated metal buildings and components manufacturing,4.0223120072851168E-06
1,Oilseed farming,238,Fabricated structural metal manufacturing,7.863351040542701E-08
