Regional SAM Balances IO Aggregated Accounts ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Receipts,Description,1,2,3,4,5,6,7,8,9,10,11,5001,6001,7001,8001,10001,10002,10003,10004,10005,10006,10007,10008,10009,11001,11002,11003,12001,12002,12003,13001,14001,14002,25001,28001
1,"11 Ag, Forestry, Fish & Hunting",1477655.3334137541,470.5279153200766,29.041127489432334,1231113.9900596172,6169637.9834394408,7021.2314924485336,1445.1643733164679,178084.98796789293,481756.37676150427,86588.281480803853,2905.5739102675811,,,,,238003.54632270197,186275.04653266296,548047.82705635554,653857.98089813336,987878.27558046626,1637732.7124610578,1470033.6391975947,1808605.3292438525,1244131.3183936479,55.903983617846549,943.57327296843744,0,370248.18304236652,16720.773680992083,0,,0,60023.286648160414,10037490.857131999,56893526.807449803
2,21 Mining,23073.791183568061,21356609.944922216,5104861.8008319382,8346647.1245822376,3590855.2924406175,235195.09217105046,2244991.3003563322,244917.70876643393,1858526.0752851812,805432.46171426738,172847.67794467163,,,,,141571.36125938318,116789.44295572126,390019.4271263479,494759.2683825001,782247.0573720542,1280682.4360956869,1103749.6639166772,1228952.3351967258,626742.92830209236,196887.93994612413,171838.9193674594,0,994065.88733482431,13470.386673919038,0,,30161967.970541786,1211438.728897982,18828094.654572684,156275796.00472421
3,22 Utilities,66305.35140528591,973068.90098895854,2700007.564349473,4933575.2879619012,78569412.167908713,7344080.3691126248,3592096.0203835079,17124320.738133959,42626253.430546738,22719105.640905097,740659.49087623949,,,,,5858092.4543255828,5239066.0849019708,13865097.555895012,15676022.78512972,22568050.558753852,31849097.897487208,25470478.966427609,27849921.532371901,16192520.944989655,796126.39723542298,366487.83896351437,0,752831.09264992725,9010368.5051559377,0,,0,0,1861993.2789364567,15874933.380560609
4,23 Construction,920978.15163059591,15677409.04760344,1602648.4772202796,3077499.3049281389,114891113.42178401,9844714.5148370266,8898060.8988720831,15737908.002324982,339355068.89061701,34259203.782725222,2290431.6630872744,,,,,162716.77924478261,150446.71701272216,404263.82967766357,544452.11958915775,830054.02566784446,1472308.8804772003,1334556.0445610513,1793126.2261302276,1462340.6921770053,58664512.703560203,8673928.8570492733,51906907.8824187,99054938.92456983,548764.58191119938,430704238.84079176,,2494659414.4950514,457652.15905560181,16447125.348491121,383593820.65941107
5,31-33 Manufacturing,50022.955248723898,661198.08450728271,61997.931137196101,63746145.473353468,1210689834.6537275,15183252.756560551,4168483.1062705619,17175812.366286021,53476992.604408562,26778236.094503522,580796.70605691592,,,,,5644101.1742129233,3282851.2412090357,11579467.004234318,14653968.866097508,23931887.150446039,53572190.635931365,49549520.297646947,55683095.442074671,35856673.429926403,1993051.5041712562,750977.48887869716,1762889.4762979967,4321989.7937113661,1051861.7514928598,492070.12131880387,,136478635.74002737,4104803.4834142891,8534209638.3927536,36877336624.960861
6,42 Wholesale Trade,904212.66444187076,2072199.7005306801,471006.43836023752,114544684.53873935,1692207949.051652,43360224.304273285,23290952.036598112,22485999.598945681,60053594.1493259,72925035.883588716,1837350.8234802429,,,,,17952575.874311589,10991343.985756204,46001639.745391369,54961487.193415731,68563958.923138306,106670326.70001334,95542200.688485965,137882561.71632829,103500289.52501828,7363350.9039686518,3145164.3734992878,7894010.274678898,15049906.767691148,1563.4921385601542,2736684.2980325865,,117427052.11849219,6917562.4784251107,457621673.58398426,52338287.353515141
7,48-49 Transportation & Warehousing,553314.60111880174,4954600.7887674831,2222296.935329929,64715834.078919567,537140632.18952084,93779919.601502806,142167273.30695286,144809882.69450715,78591358.215366542,40397247.90292798,2791012.2203736114,,,,,7494940.6839026771,4068087.3487511026,17323679.492317874,21919654.75430809,31852964.180355065,57029994.93601653,54171187.793048687,77075935.34578833,67593627.362539038,10198445.863050563,5584334.351969162,1472884.8292975756,14857877.73082155,3457686.5238721631,714613.8881134385,,36918212.266970381,3339395.4914519163,212058324.56210506,106960268.27608885
8,44-45 Retail trade,32244.478003031498,88772.629759963995,94722.222852411782,425179267.13938874,128619496.07032237,2487349.8798386189,23373320.845491029,17748539.246370237,69245093.045548633,54594773.702769354,11214.265281682463,,,,,71111915.447478503,43537793.619464204,182217012.45002618,217707858.85749388,271588591.80011725,422531665.86968803,378452066.95096779,546166384.29104435,409974813.68867993,149809.47832240519,2387.5063529635913,0,379589.56972022494,830249.50427105278,0,,151673617.61267334,0,0,395155048.09525108
9,51-56 Professional Services,1638256.7420386737,20636081.761011846,5327609.7877087807,217879306.5595853,1513327445.2157211,411155235.82903427,145797866.08821711,469850652.55982053,2998598188.2785182,1023232294.3966924,35889542.249280773,,,,,193639970.61854991,143898033.20508221,431243026.82646948,518930069.89858723,770954055.50478148,1236175694.5947311,1105590723.0294249,1360450490.7925122,947657164.5099138,115063074.02315994,56477084.379787564,269195075.80647486,155831486.05239332,60593574.641660653,20529438.244064223,,991325504.75540972,586880.69135882589,554378168.34696674,919717377.9922452
10,"61-72 Educational, Health, Recreation Service",99046.203593544982,571439.18779504288,566077.87809898565,22994338.729807336,136036426.52110353,47639961.974200554,12419899.184738794,33624462.305278152,188616813.9762646,145084780.06882626,4199333.9550616806,,,,,154882667.64974201,134125250.49027251,427804065.91493034,521073668.06237173,769286707.59155989,1271272375.7855215,1143667579.4755702,1437947020.827822,944164469.9309181,18784610.047476787,3172661.5712481514,0,36128070.044097014,28190322.812801607,0,,2817975.7225088254,0,9587213.8978391085,406039412.20387214
11,92 Government & non NAICs,2734.2292137403947,1001.74366502361,53727.770279633965,243769.50073939061,6510342.6992653208,22547211.106126454,33360717.424775809,10550419.108791361,17135203.864803776,14700122.381364385,23659.48651635709,,,,,525656.6060298339,310663.84857395868,1256548.3529478349,1513276.3424362652,1952902.043965851,3163270.2418232094,2870821.7632290833,4209296.2852830989,3417142.1675217836,1124788516.1058505,401516342.23399538,0,800941278.65339017,1392775806.7725449,0,,9811.2083325029907,0.23538435560688531,655022.67328911216,16449342.589656971
5001,Employee Compensation,17498237.853869796,3053730.9870123863,46592791.855335236,876960363.6264801,6348814380.1866102,1015893432.6171875,575681357.23471642,1358601604.4616699,3803710562.4675751,3480659108.0958023,2981060726.1657715,,,,,,,,,,,,,,,,,,,,,,,,
6001,Proprietor Income,12961072.257719934,6323178.8747943938,509052.00839042664,268560193.97889036,116594982.78806132,187306396.484375,120537376.73629075,181497657.53746033,526091386.74661517,503993960.11803764,0,,,,,,,,,,,,,,,,,,,,,,,,
7001,Other Property Type Income,26269961.012527347,-4851001.1043399572,58702356.927096844,374958896.63696289,6400914058.3391705,626570678.7109375,160711716.34551138,371916351.79519653,4608878481.0006618,346841696.19972819,827258198.73809814,,,,,,,,,,,,,,,,,,,,,,,,
8001,Tax on Production and Imports,1749250.6105918437,4504638.5123860091,30175125.21147728,26570668.876171112,176910802.13867825,331320373.53515625,29583758.126944304,660368947.98278809,804031543.89373958,362428410.07880634,-48996334.58070457,,,,,,,,,,,,,,,,,,,,,,,,
10001,Households LT10k,,,,,22063.621946744337,,,,,,,44352662.310786754,0,12179076.552391052,,15956.180170178413,11150.78292787075,49676.317721605301,70009.171962738037,128339.72275257111,245387.7180814743,270706.44497871399,496929.5859336853,1295593.0233001709,108764726.87721252,0,0,26615155.220031738,0,0,8288934.7076416016,636284079.95519233,353.10233643663105,40455.065705232228,5886387.5052886736
10002,Households 10-15k,,,,,12611.565146032177,,,,,,,55182194.577013515,1165623.5133261478,8896886.5871429443,,11645.293794572353,8138.1723284721375,36255.251616239548,51094.774156808853,93666.143715381622,179091.24493598938,197569.60868835449,362673.96807670593,945562.30306625366,222885717.39196777,0,0,52545700.84810257,0,0,6049510.9558105469,278278747.33551323,201.83327696311642,23124.11343251069,7203813.3787222682
10003,Households 15-25k,,,,,44462.800070509897,,,,,,,345799846.89991391,18763213.205297474,44272070.169448853,,57916.533201932907,40474.265813827515,180311.33711338043,254114.00198936462,465837.83626556396,890689.79024887085,982589.78128433228,1803717.3748016357,4702645.7786560059,619536623.95477295,0,0,146487264.15634155,0,0,30086549.758911133,782513434.70453918,711.57485508531829,81525.395179122046,44863600.932539552
10004,Households 25-35k,,,,,56020.173335284482,,,,,,,653298348.71264684,41573963.236340031,66901465.177536011,,87481.632828712463,61135.482043027878,272356.27174377441,383833.55736732483,703637.65954971313,1345367.0740127564,1484179.9736022949,2724474.9069213867,7103241.9204711914,644842620.84960938,0,0,152844330.31082153,0,0,45445064.544677734,797925655.44812596,896.53703004972101,102716.5801955668,84532059.073929265
10005,Households 35-50k,,,,,91681.67895458336,,,,,,,1407178421.0236287,99964304.08159633,123583441.25747681,,161522.92490005493,112878.33750247955,502868.71194839478,708696.36535644531,1299171.0901260376,2484037.1608734131,2740336.1797332764,5030371.6659545898,13115167.617797852,823192848.20556641,0,0,193924585.34240723,0,0,83908119.201660156,793585402.27057981,1467.2575121816474,168104.23760097861,181844584.4063533
10006,Households 50-75k,,,,,211155.67320591328,,,,,,,3094289883.9045858,224753454.41252604,236670840.2633667,,309033.57267379761,215964.36202526093,962113.08240890503,1355912.5661849976,2485637.903213501,4752581.5963745117,5242945.671081543,9624354.362487793,25092582.702636719,1061215946.1975098,0,0,247444484.71069336,0,0,160537124.63378906,927250953.80753374,3379.2983645579357,387167.46752625774,399941064.0793674
10007,Households 75-100k,,,,,195007.64660115202,,,,,,,3266025571.2136302,246174049.74647722,286148082.7331543,,373195.02234458923,260802.83522605896,1161866.7840957642,1637426.8531799316,3001705.1696777344,5739311.2182617188,6331484.317779541,11622559.547424316,30302297.592163086,812856880.18798828,0,0,189421096.80175781,0,0,193867797.8515625,523207808.22075993,3120.8681785828062,357559.0252277868,421913065.69208676
